date,open,high,low,close
2023-11-18 00:00:00,2.82,2.82,2.82,2.82
2023-11-18 04:00:00,2.83,2.83,2.81,2.81
2023-11-18 08:00:00,2.81,2.81,2.8,2.8
2023-11-18 12:00:00,2.81,2.81,2.81,2.81
2023-11-18 16:00:00,2.81,2.82,2.81,2.82
2023-11-18 20:00:00,2.83,2.84,2.83,2.84
2023-11-19 00:00:00,2.83,2.83,2.82,2.82
2023-11-19 04:00:00,2.82,2.82,2.82,2.82
2023-11-19 08:00:00,2.82,2.83,2.82,2.83
2023-11-19 12:00:00,2.83,2.83,2.82,2.82
2023-11-19 16:00:00,2.81,2.82,2.81,2.81
2023-11-19 20:00:00,2.82,2.84,2.82,2.84
2023-11-20 00:00:00,2.85,2.86,2.85,2.85
2023-11-20 04:00:00,2.89,2.89,2.88,2.88
2023-11-20 08:00:00,2.86,2.87,2.86,2.87
2023-11-20 12:00:00,2.88,2.88,2.87,2.88
2023-11-20 16:00:00,2.87,2.89,2.86,2.89
2023-11-20 20:00:00,2.89,2.91,2.88,2.91
2023-11-21 00:00:00,2.9,2.9,2.89,2.89
2023-11-21 04:00:00,2.89,2.9,2.89,2.89
2023-11-21 08:00:00,2.89,2.89,2.88,2.89
2023-11-21 12:00:00,2.88,2.89,2.88,2.88
2023-11-21 16:00:00,2.87,2.87,2.82,2.82
2023-11-21 20:00:00,2.87,2.87,2.85,2.85
2023-11-22 00:00:00,2.85,2.86,2.82,2.82
2023-11-22 04:00:00,2.78,2.8,2.78,2.8
2023-11-22 08:00:00,2.81,2.82,2.81,2.82
2023-11-22 12:00:00,2.81,2.83,2.81,2.83
2023-11-22 16:00:00,2.82,2.83,2.81,2.81
2023-11-22 20:00:00,2.81,2.86,2.81,2.86
2023-11-23 00:00:00,2.88,2.9,2.88,2.89
2023-11-23 04:00:00,2.89,2.89,2.88,2.88
2023-11-23 08:00:00,2.88,2.88,2.88,2.88
2023-11-23 12:00:00,2.88,2.89,2.88,2.89
2023-11-23 16:00:00,2.88,2.88,2.87,2.87
2023-11-23 20:00:00,2.85,2.88,2.85,2.88
2023-11-24 00:00:00,2.88,2.88,2.88,2.88
2023-11-24 04:00:00,2.88,2.88,2.88,2.88
2023-11-26 04:00:00,2.92,2.92,2.91,2.91
2023-11-26 08:00:00,2.91,2.92,2.91,2.92
2023-11-26 12:00:00,2.92,2.92,2.92,2.92
2023-11-26 16:00:00,2.89,2.89,2.89,2.89
2023-11-26 20:00:00,2.89,2.89,2.87,2.87
2023-11-27 00:00:00,2.88,2.91,2.88,2.91
2023-11-27 04:00:00,2.89,2.9,2.88,2.88
2023-11-27 08:00:00,2.88,2.88,2.88,2.88
2023-11-27 12:00:00,2.88,2.89,2.87,2.87
2023-11-27 16:00:00,2.87,2.87,2.84,2.84
2023-11-27 20:00:00,2.84,2.86,2.84,2.86
2023-11-28 00:00:00,2.85,2.86,2.84,2.86
2023-11-28 04:00:00,2.88,2.88,2.87,2.87
2023-11-28 08:00:00,2.86,2.86,2.85,2.86
2023-11-28 12:00:00,2.86,2.86,2.85,2.86
2023-11-28 16:00:00,2.87,2.89,2.87,2.89
2023-11-28 20:00:00,2.89,2.95,2.89,2.93
2023-11-29 00:00:00,2.95,2.96,2.92,2.92
2023-11-29 04:00:00,2.92,2.93,2.92,2.93
2023-11-29 08:00:00,2.93,2.95,2.93,2.95
2023-11-29 12:00:00,2.94,2.96,2.93,2.93
2023-11-29 16:00:00,2.94,2.95,2.92,2.92
2023-11-29 20:00:00,2.92,2.92,2.92,2.92
2023-11-30 00:00:00,2.92,2.92,2.91,2.92
2023-11-30 04:00:00,2.92,2.92,2.91,2.92
2023-11-30 08:00:00,2.94,2.94,2.92,2.92
2023-11-30 12:00:00,2.92,2.92,2.91,2.91
2023-11-30 16:00:00,2.92,2.92,2.91,2.91
2023-11-30 20:00:00,2.9,2.91,2.9,2.91
2023-12-01 00:00:00,2.92,2.92,2.91,2.91
2023-12-01 04:00:00,2.91,2.93,2.91,2.93
2023-12-01 08:00:00,2.94,2.95,2.94,2.95
2023-12-01 12:00:00,2.95,2.99,2.95,2.98
2023-12-01 16:00:00,2.98,2.98,2.96,2.96
2023-12-01 20:00:00,2.97,3.0,2.97,2.99
2023-12-02 00:00:00,2.99,3.0,2.99,2.99
2023-12-02 04:00:00,2.99,2.99,2.99,2.99
2023-12-02 08:00:00,2.99,2.99,2.99,2.99
2023-12-02 12:00:00,2.99,2.99,2.99,2.99
2023-12-02 16:00:00,2.99,3.0,2.99,2.99
2023-12-02 20:00:00,3.0,3.0,2.99,3.0
