date,open,high,low,close
2023-11-18 00:00:00,3.35e-06,3.35e-06,3.35e-06,3.35e-06
2023-11-18 04:00:00,3.35e-06,3.35e-06,3.35e-06,3.35e-06
2023-11-18 08:00:00,3.35e-06,3.49e-06,3.35e-06,3.49e-06
2023-11-18 12:00:00,3.15e-06,3.44e-06,3.13e-06,3.44e-06
2023-11-18 16:00:00,3.03e-06,3.03e-06,2.85e-06,2.85e-06
2023-11-18 20:00:00,3.05e-06,3.08e-06,3.05e-06,3.08e-06
2023-11-19 00:00:00,3.08e-06,3.09e-06,2.85e-06,3.09e-06
2023-11-19 04:00:00,3.06e-06,3.49e-06,3.06e-06,3.49e-06
2023-11-19 08:00:00,3.49e-06,3.49e-06,3.2e-06,3.2e-06
2023-11-19 12:00:00,3.2e-06,3.2e-06,2.89e-06,3e-06
2023-11-19 16:00:00,3e-06,3.12e-06,2.89e-06,3.12e-06
2023-11-19 20:00:00,3.4e-06,3.4e-06,3.4e-06,3.4e-06
2023-11-20 00:00:00,3.4e-06,3.4e-06,3.07e-06,3.22e-06
2023-11-20 04:00:00,3.22e-06,3.22e-06,3.09e-06,3.09e-06
2023-11-20 08:00:00,3.09e-06,3.09e-06,3.09e-06,3.09e-06
2023-11-20 12:00:00,3.39e-06,3.39e-06,3.12e-06,3.39e-06
2023-11-20 16:00:00,3.39e-06,3.39e-06,3.36e-06,3.36e-06
2023-11-20 20:00:00,3.15e-06,3.16e-06,3.15e-06,3.16e-06
2023-11-21 00:00:00,2.88e-06,3.25e-06,2.88e-06,2.9e-06
2023-11-21 04:00:00,3.07e-06,3.08e-06,3.07e-06,3.08e-06
2023-11-21 08:00:00,3.08e-06,3.08e-06,3.08e-06,3.08e-06
2023-11-21 12:00:00,3.05e-06,3.05e-06,3.05e-06,3.05e-06
2023-11-21 16:00:00,3.05e-06,3.37e-06,2.89e-06,3.2e-06
2023-11-21 20:00:00,3.19e-06,3.39e-06,2.91e-06,3.39e-06
2023-11-22 00:00:00,3.39e-06,3.66e-06,3.26e-06,3.66e-06
2023-11-22 04:00:00,3.7e-06,3.7e-06,3.69e-06,3.69e-06
2023-11-22 08:00:00,3.69e-06,3.69e-06,3.27e-06,3.5e-06
2023-11-22 12:00:00,3.4e-06,3.4e-06,3.33e-06,3.33e-06
2023-11-22 16:00:00,3.33e-06,3.33e-06,3e-06,3e-06
2023-11-22 20:00:00,3.31e-06,3.31e-06,3.31e-06,3.31e-06
2023-11-23 00:00:00,3.31e-06,3.31e-06,3.29e-06,3.29e-06
2023-11-23 04:00:00,3.3e-06,3.3e-06,3.3e-06,3.3e-06
2023-11-23 08:00:00,3.3e-06,3.3e-06,3.3e-06,3.3e-06
2023-11-23 12:00:00,3.3e-06,3.69e-06,3.29e-06,3.69e-06
2023-11-23 16:00:00,3.69e-06,3.69e-06,3.69e-06,3.69e-06
2023-11-23 20:00:00,3.69e-06,3.69e-06,3.69e-06,3.69e-06
2023-11-24 00:00:00,3.69e-06,3.69e-06,3.34e-06,3.5e-06
2023-11-24 04:00:00,3.7e-06,3.7e-06,3.37e-06,3.37e-06
2023-11-24 08:00:00,3.67e-06,3.67e-06,3.36e-06,3.45e-06
2023-11-24 12:00:00,3.45e-06,3.6e-06,3.44e-06,3.48e-06
2023-11-24 16:00:00,3.55e-06,3.55e-06,3.55e-06,3.55e-06
2023-11-24 20:00:00,3.33e-06,3.54e-06,3.33e-06,3.5e-06
2023-11-25 00:00:00,3.33e-06,3.7e-06,3.33e-06,3.7e-06
2023-11-25 04:00:00,3.55e-06,3.56e-06,3.55e-06,3.56e-06
2023-11-25 08:00:00,3.56e-06,3.56e-06,3.22e-06,3.22e-06
2023-11-25 12:00:00,3.22e-06,3.22e-06,3.22e-06,3.22e-06
2023-11-25 16:00:00,3.38e-06,3.7e-06,3.31e-06,3.31e-06
2023-11-25 20:00:00,3.69e-06,3.7e-06,3.22e-06,3.22e-06
2023-11-26 00:00:00,3.27e-06,3.45e-06,3.22e-06,3.38e-06
2023-11-26 04:00:00,3.38e-06,3.38e-06,3.38e-06,3.38e-06
2023-11-26 08:00:00,3.21e-06,3.21e-06,3.21e-06,3.21e-06
2023-11-26 12:00:00,3.21e-06,3.37e-06,3.21e-06,3.37e-06
2023-11-26 16:00:00,3.36e-06,3.36e-06,3.36e-06,3.36e-06
2023-11-26 20:00:00,3.36e-06,3.5e-06,3.36e-06,3.5e-06
2023-11-27 00:00:00,3.24e-06,3.24e-06,3.23e-06,3.23e-06
2023-11-27 04:00:00,3.4e-06,3.4e-06,3.4e-06,3.4e-06
2023-11-27 08:00:00,3.4e-06,3.4e-06,3.25e-06,3.36e-06
2023-11-27 12:00:00,3.36e-06,3.36e-06,3.26e-06,3.27e-06
2023-11-27 16:00:00,3.56e-06,3.62e-06,3.56e-06,3.62e-06
2023-11-27 20:00:00,3.7e-06,3.7e-06,3.37e-06,3.37e-06
2023-11-28 00:00:00,3.65e-06,3.85e-06,3.5e-06,3.85e-06
2023-11-28 04:00:00,3.84e-06,3.84e-06,3.63e-06,3.63e-06
2023-11-28 08:00:00,3.63e-06,3.7e-06,3.63e-06,3.7e-06
2023-11-28 12:00:00,3.57e-06,3.8e-06,3.57e-06,3.8e-06
2023-11-28 16:00:00,3.7e-06,3.71e-06,3.7e-06,3.71e-06
2023-11-28 20:00:00,3.7e-06,3.7e-06,3.7e-06,3.7e-06
2023-11-29 00:00:00,3.71e-06,3.71e-06,3.7e-06,3.7e-06
2023-11-29 04:00:00,3.71e-06,3.71e-06,3.7e-06,3.71e-06
2023-11-29 08:00:00,3.71e-06,3.71e-06,3.7e-06,3.7e-06
2023-11-29 12:00:00,3.71e-06,3.82e-06,3.71e-06,3.82e-06
2023-11-29 16:00:00,3.82e-06,3.82e-06,3.82e-06,3.82e-06
2023-11-29 20:00:00,3.31e-06,4.29e-06,3.31e-06,3.5e-06
2023-11-30 00:00:00,3.41e-06,3.52e-06,3.41e-06,3.52e-06
2023-11-30 04:00:00,3.65e-06,3.65e-06,3.6e-06,3.6e-06
2023-11-30 08:00:00,3.6e-06,3.66e-06,3.51e-06,3.66e-06
2023-11-30 12:00:00,3.48e-06,3.53e-06,3.48e-06,3.5e-06
2023-11-30 16:00:00,3.5e-06,3.5e-06,3.49e-06,3.5e-06
2023-11-30 20:00:00,3.5e-06,3.5e-06,2.86e-06,2.86e-06
2023-12-01 00:00:00,2.98e-06,3.28e-06,2.98e-06,3.28e-06
2023-12-01 04:00:00,3.28e-06,3.5e-06,3.28e-06,3.5e-06
2023-12-01 08:00:00,3.5e-06,3.5e-06,3.33e-06,3.49e-06
2023-12-01 12:00:00,3.49e-06,3.5e-06,3.49e-06,3.49e-06
2023-12-01 16:00:00,3.5e-06,3.5e-06,3.3e-06,3.3e-06
2023-12-01 20:00:00,2.91e-06,3.3e-06,2.91e-06,3.3e-06
2023-12-02 00:00:00,3.3e-06,3.3e-06,3.3e-06,3.3e-06
2023-12-02 04:00:00,3.3e-06,3.3e-06,3.3e-06,3.3e-06
2023-12-02 08:00:00,2.96e-06,3.28e-06,2.96e-06,3.28e-06
2023-12-02 12:00:00,3.3e-06,3.3e-06,3.1e-06,3.1e-06
2023-12-02 16:00:00,3.29e-06,3.29e-06,2.97e-06,2.97e-06
2023-12-02 20:00:00,3.25e-06,3.25e-06,3.25e-06,3.25e-06
2023-12-03 00:00:00,3.03e-06,3.22e-06,3.02e-06,3.22e-06
2023-12-03 04:00:00,3.22e-06,3.22e-06,2.98e-06,2.98e-06
2023-12-03 08:00:00,2.98e-06,3.01e-06,2.98e-06,3.01e-06
2023-12-03 12:00:00,3.01e-06,3.2e-06,3e-06,3e-06
2023-12-03 16:00:00,3e-06,3.01e-06,3e-06,3e-06
2023-12-03 20:00:00,3.1e-06,3.1e-06,2.91e-06,2.91e-06
2023-12-04 00:00:00,2.9e-06,3.09e-06,2.9e-06,3.09e-06
2023-12-04 04:00:00,2.91e-06,2.91e-06,2.9e-06,2.9e-06
2023-12-04 08:00:00,3.09e-06,3.09e-06,2.9e-06,2.9e-06
2023-12-04 12:00:00,2.9e-06,3.03e-06,2.9e-06,3.02e-06
2023-12-04 16:00:00,2.9e-06,3e-06,2.9e-06,3e-06
2023-12-04 20:00:00,2.99e-06,3e-06,2.99e-06,2.99e-06
2023-12-05 00:00:00,3e-06,3e-06,2.9e-06,3e-06
2023-12-05 04:00:00,3e-06,3e-06,2.9e-06,2.9e-06
2023-12-05 08:00:00,2.9e-06,2.9e-06,2.89e-06,2.89e-06
