date,open,high,low,close
2023-11-18 00:00:00,2.38,2.38,2.38,2.38
2023-11-18 04:00:00,2.38,2.41,2.37,2.41
2023-11-18 08:00:00,2.38,2.38,2.35,2.35
2023-11-18 12:00:00,2.37,2.38,2.37,2.37
2023-11-18 16:00:00,2.35,2.35,2.33,2.33
2023-11-18 20:00:00,2.35,2.36,2.35,2.36
2023-11-19 00:00:00,2.35,2.38,2.35,2.38
2023-11-19 04:00:00,2.36,2.36,2.32,2.34
2023-11-19 08:00:00,2.33,2.36,2.33,2.36
2023-11-19 12:00:00,2.36,2.37,2.36,2.36
2023-11-19 16:00:00,2.37,2.39,2.37,2.39
2023-11-19 20:00:00,2.4,2.45,2.4,2.45
2023-11-20 00:00:00,2.48,2.48,2.46,2.46
2023-11-20 04:00:00,2.48,2.48,2.43,2.43
2023-11-20 08:00:00,2.42,2.46,2.42,2.43
2023-11-20 12:00:00,2.45,2.51,2.45,2.51
2023-11-20 16:00:00,2.47,2.47,2.44,2.47
2023-11-20 20:00:00,2.47,2.47,2.4,2.4
2023-11-21 00:00:00,2.37,2.38,2.36,2.36
2023-11-21 04:00:00,2.34,2.39,2.34,2.38
2023-11-21 08:00:00,2.37,2.39,2.36,2.38
2023-11-21 12:00:00,2.36,2.36,2.35,2.36
2023-11-21 16:00:00,2.34,2.34,2.3,2.3
2023-11-21 20:00:00,2.25,2.3,2.24,2.24
2023-11-22 00:00:00,2.26,2.29,2.22,2.22
2023-11-22 04:00:00,2.22,2.23,2.22,2.22
2023-11-22 08:00:00,2.24,2.25,2.24,2.25
2023-11-22 12:00:00,2.25,2.27,2.25,2.27
2023-11-22 16:00:00,2.26,2.27,2.26,2.27
2023-11-22 20:00:00,2.3,2.32,2.28,2.32
2023-11-23 00:00:00,2.36,2.41,2.36,2.38
2023-11-23 04:00:00,2.38,2.4,2.37,2.4
2023-11-23 08:00:00,2.31,2.34,2.31,2.34
2023-11-23 12:00:00,2.34,2.38,2.34,2.37
2023-11-23 16:00:00,2.35,2.36,2.35,2.35
2023-11-23 20:00:00,2.34,2.4,2.34,2.4
2023-11-24 00:00:00,2.39,2.43,2.39,2.43
2023-11-24 04:00:00,2.43,2.54,2.43,2.54
2023-11-24 08:00:00,2.52,2.52,2.43,2.43
2023-11-24 12:00:00,2.41,2.41,2.39,2.4
2023-11-24 16:00:00,2.41,2.41,2.39,2.39
2023-11-24 20:00:00,2.42,2.44,2.4,2.4
2023-11-25 00:00:00,2.39,2.41,2.39,2.4
2023-11-25 04:00:00,2.4,2.45,2.4,2.45
2023-11-25 08:00:00,2.44,2.45,2.44,2.45
2023-11-25 12:00:00,2.46,2.46,2.43,2.43
2023-11-25 16:00:00,2.42,2.46,2.42,2.43
