date,open,high,low,close
2023-11-18 00:00:00,165.16,165.16,165.16,165.16
2023-11-18 04:00:00,166.28,166.28,165.34,165.34
2023-11-18 08:00:00,165.02,165.02,161.11,161.11
2023-11-18 12:00:00,160.06,161.8,160.06,161.8
2023-11-18 16:00:00,161.88,161.88,161.36,161.83
2023-11-18 20:00:00,161.95,163.79,161.95,163.79
2023-11-19 00:00:00,164.27,164.27,163.38,163.38
2023-11-19 04:00:00,163.2,163.33,162.64,162.64
2023-11-19 08:00:00,162.43,163.44,162.43,163.44
2023-11-19 12:00:00,163.39,163.45,163.12,163.28
2023-11-19 16:00:00,162.47,162.89,162.47,162.49
2023-11-19 20:00:00,163.74,164.24,163.74,164.24
2023-11-20 00:00:00,164.83,165.34,164.83,164.94
2023-11-20 04:00:00,166.18,169.54,166.18,169.54
2023-11-20 08:00:00,169.95,169.95,169.29,169.46
2023-11-20 12:00:00,170.75,172.16,170.62,172.16
2023-11-20 16:00:00,171.15,172.05,170.69,172.05
2023-11-20 20:00:00,172.83,173.98,170.77,170.77
2023-11-21 00:00:00,169.69,169.69,168.45,168.75
2023-11-21 04:00:00,168.32,169.1,167.49,167.49
2023-11-21 08:00:00,167.99,167.99,167.57,167.82
2023-11-21 12:00:00,167.23,167.61,167.23,167.61
2023-11-21 16:00:00,166.82,167.21,165.38,165.38
2023-11-21 20:00:00,166.37,167.28,161.6,161.6
2023-11-22 00:00:00,162.79,163.21,159.9,159.9
2023-11-22 04:00:00,159.7,161.67,159.7,161.67
2023-11-22 08:00:00,161.92,163.5,161.92,163.5
2023-11-22 12:00:00,163.17,165.64,163.17,165.64
2023-11-22 16:00:00,165.26,166.73,165.26,165.37
2023-11-22 20:00:00,166.13,166.13,163.73,165.35
2023-11-23 00:00:00,167.24,167.42,166.62,166.62
2023-11-23 04:00:00,166.51,169.45,166.51,168.8
2023-11-23 08:00:00,168.92,169.07,168.81,168.81
2023-11-23 12:00:00,169.24,170.6,169.24,169.75
2023-11-23 16:00:00,168.51,168.8,168.16,168.8
2023-11-23 20:00:00,167.29,168.71,167.29,168.71
2023-11-24 00:00:00,169.17,169.38,169.17,169.36
2023-11-24 04:00:00,168.94,169.43,168.82,169.43
2023-11-24 08:00:00,168.98,169.61,168.98,169.61
2023-11-24 12:00:00,172.76,175.08,172.76,175.05
2023-11-24 16:00:00,175.25,175.25,174.58,175.12
2023-11-24 20:00:00,176.21,176.21,174.0,174.0
2023-11-25 00:00:00,173.71,173.97,172.65,172.65
2023-11-25 04:00:00,172.96,173.42,172.66,173.42
2023-11-25 08:00:00,173.51,173.51,173.18,173.29
2023-11-25 12:00:00,175.0,175.0,173.9,173.9
2023-11-25 16:00:00,173.37,174.15,173.37,173.83
2023-11-25 20:00:00,174.12,174.34,174.08,174.34
2023-11-26 00:00:00,174.53,174.58,174.33,174.55
2023-11-26 04:00:00,174.64,174.64,173.51,173.96
2023-11-26 08:00:00,173.93,174.71,173.93,174.71
2023-11-26 12:00:00,174.1,174.11,173.7,173.7
2023-11-26 16:00:00,173.48,173.49,172.05,172.05
2023-11-26 20:00:00,171.68,171.68,170.13,170.55
2023-11-27 00:00:00,170.86,173.09,170.86,172.81
2023-11-27 04:00:00,171.78,172.16,170.52,170.52
2023-11-27 08:00:00,170.5,170.81,170.5,170.81
2023-11-27 12:00:00,168.96,169.12,167.27,167.27
2023-11-27 16:00:00,167.6,167.6,166.46,166.48
2023-11-27 20:00:00,165.99,166.7,165.99,165.99
2023-11-28 00:00:00,164.71,164.71,162.13,164.13
2023-11-28 04:00:00,164.67,165.32,164.67,164.73
2023-11-28 08:00:00,164.6,164.6,162.42,163.47
2023-11-28 12:00:00,163.21,164.01,163.01,164.01
2023-11-28 16:00:00,164.88,165.27,164.35,165.09
2023-11-28 20:00:00,165.57,168.69,165.57,167.27
2023-11-29 00:00:00,167.17,169.02,167.17,168.51
2023-11-29 04:00:00,167.95,168.26,167.95,168.12
2023-11-29 08:00:00,168.02,169.39,168.02,169.39
2023-11-29 12:00:00,168.63,169.63,167.65,167.65
2023-11-29 16:00:00,168.67,168.67,167.05,167.05
2023-11-29 20:00:00,166.77,167.04,166.15,167.04
2023-11-30 00:00:00,167.02,167.02,166.09,166.6
2023-11-30 04:00:00,166.21,167.02,166.21,167.02
2023-11-30 08:00:00,167.42,169.57,166.96,169.57
2023-11-30 12:00:00,169.55,169.55,169.03,169.2
2023-11-30 16:00:00,170.19,170.67,169.47,169.47
2023-11-30 20:00:00,169.06,170.02,167.11,167.11
