date,open,high,low,close
2023-11-18 00:00:00,60.09,60.09,60.09,60.09
2023-11-18 04:00:00,60.5,60.5,60.16,60.16
2023-11-18 08:00:00,60.04,60.04,58.99,58.99
2023-11-18 12:00:00,58.61,59.25,58.61,59.25
2023-11-18 16:00:00,59.28,59.28,59.09,59.18
2023-11-18 20:00:00,59.3,59.79,59.3,59.79
2023-11-19 00:00:00,60.16,60.16,59.83,59.83
2023-11-19 04:00:00,59.77,59.82,59.77,59.82
2023-11-19 08:00:00,58.88,59.28,58.88,59.28
2023-11-19 12:00:00,59.25,59.28,59.18,59.22
2023-11-19 16:00:00,58.93,59.01,58.93,58.93
2023-11-19 20:00:00,58.91,59.78,58.91,59.78
2023-11-20 00:00:00,59.78,59.97,59.78,59.88
2023-11-20 04:00:00,60.27,60.68,60.27,60.68
2023-11-20 08:00:00,60.72,60.72,60.49,60.49
2023-11-20 12:00:00,61.0,61.63,60.96,61.63
2023-11-20 16:00:00,61.15,61.72,60.98,61.72
2023-11-20 20:00:00,61.78,62.04,61.08,61.39
2023-11-21 00:00:00,61.0,61.0,60.63,60.66
2023-11-21 04:00:00,60.51,60.79,60.21,60.21
2023-11-21 08:00:00,60.39,60.39,60.24,60.33
2023-11-21 12:00:00,60.13,60.25,60.13,60.25
2023-11-21 16:00:00,59.98,59.98,58.85,58.85
2023-11-21 20:00:00,58.27,59.53,57.85,57.85
2023-11-22 00:00:00,57.69,57.84,56.66,56.66
2023-11-22 04:00:00,56.43,57.07,56.43,56.72
2023-11-22 08:00:00,56.8,57.37,56.8,57.37
2023-11-22 12:00:00,57.25,58.12,57.25,58.12
2023-11-22 16:00:00,57.98,58.5,57.98,58.15
2023-11-22 20:00:00,57.69,58.36,57.69,58.36
2023-11-23 00:00:00,59.03,59.05,58.81,58.81
2023-11-23 04:00:00,59.37,59.43,59.0,59.28
2023-11-23 08:00:00,59.22,59.3,59.21,59.21
2023-11-23 12:00:00,59.36,59.99,59.36,59.51
2023-11-23 16:00:00,59.11,59.21,58.98,59.21
2023-11-23 20:00:00,58.68,59.18,58.68,59.18
2023-11-24 00:00:00,59.34,59.73,59.34,59.73
2023-11-24 04:00:00,59.58,59.83,59.58,59.83
2023-11-24 08:00:00,59.67,59.77,59.67,59.77
2023-11-24 12:00:00,60.04,60.88,59.99,60.84
2023-11-24 16:00:00,60.6,61.07,60.6,61.07
2023-11-24 20:00:00,61.24,61.24,60.47,60.47
2023-11-25 00:00:00,60.35,60.47,59.96,59.96
2023-11-25 04:00:00,60.62,60.82,60.52,60.82
2023-11-25 08:00:00,60.82,60.82,60.7,60.74
2023-11-25 12:00:00,60.88,60.88,60.51,60.51
2023-11-25 16:00:00,60.33,60.58,60.33,60.47
2023-11-25 20:00:00,61.19,61.26,61.16,61.26
2023-11-26 00:00:00,61.33,61.35,61.29,61.34
2023-11-26 04:00:00,61.37,61.37,60.97,61.13
2023-11-26 08:00:00,61.12,61.4,61.12,61.4
2023-11-26 12:00:00,61.56,61.57,61.42,61.42
2023-11-26 16:00:00,61.35,61.35,60.84,60.84
2023-11-26 20:00:00,60.31,60.31,59.85,59.85
2023-11-27 00:00:00,60.02,60.86,60.02,60.71
2023-11-27 04:00:00,60.35,60.48,59.9,59.9
2023-11-27 08:00:00,59.9,59.96,59.89,59.89
2023-11-27 12:00:00,59.2,59.25,58.61,58.61
2023-11-27 16:00:00,58.72,58.72,58.33,58.33
2023-11-27 20:00:00,58.16,58.41,58.16,58.16
2023-11-28 00:00:00,57.71,58.45,57.71,58.45
2023-11-28 04:00:00,58.65,58.88,58.65,58.67
2023-11-28 08:00:00,58.62,58.62,57.9,58.24
2023-11-28 12:00:00,58.37,58.47,58.21,58.47
2023-11-28 16:00:00,58.78,58.85,58.59,58.85
2023-11-28 20:00:00,59.02,59.97,59.02,59.43
2023-11-29 00:00:00,59.83,59.83,59.24,59.24
2023-11-29 04:00:00,59.35,59.44,59.33,59.4
2023-11-29 08:00:00,59.39,59.85,59.39,59.85
2023-11-29 12:00:00,60.0,60.17,59.49,59.49
2023-11-29 16:00:00,59.83,62.4,59.83,60.58
2023-11-29 20:00:00,60.47,61.17,60.47,61.17
2023-11-30 00:00:00,61.73,61.73,61.4,61.58
2023-11-30 04:00:00,61.44,62.35,61.44,62.35
2023-11-30 08:00:00,61.84,61.84,60.99,61.01
2023-11-30 12:00:00,60.99,60.99,60.82,60.88
2023-11-30 16:00:00,61.23,61.33,60.98,60.98
2023-11-30 20:00:00,60.84,61.17,60.84,61.11
2023-12-01 00:00:00,61.28,61.43,61.28,61.34
2023-12-01 04:00:00,61.56,62.12,61.5,62.12
2023-12-01 08:00:00,62.14,62.2,61.5,61.53
2023-12-01 12:00:00,61.45,61.81,61.45,61.64
2023-12-01 16:00:00,61.48,61.48,61.02,61.02
2023-12-01 20:00:00,61.18,61.92,61.18,61.53
2023-12-02 00:00:00,62.12,62.22,61.93,61.93
2023-12-02 04:00:00,61.94,62.18,61.94,62.14
2023-12-02 08:00:00,62.2,62.44,62.15,62.44
2023-12-02 12:00:00,62.34,62.51,62.34,62.44
2023-12-02 16:00:00,62.39,63.22,62.39,62.95
2023-12-02 20:00:00,63.16,65.15,63.16,65.15
2023-12-03 00:00:00,64.5,65.24,64.5,64.73
2023-12-03 04:00:00,64.96,65.09,64.32,64.32
2023-12-03 08:00:00,64.2,64.67,64.07,64.67
2023-12-03 12:00:00,65.64,65.64,65.03,65.03
2023-12-03 16:00:00,64.73,65.0,63.97,63.97
2023-12-03 20:00:00,64.16,64.23,63.95,64.18
2023-12-04 00:00:00,64.29,65.51,64.29,65.51
2023-12-04 04:00:00,65.18,65.24,64.73,65.07
2023-12-04 08:00:00,65.0,66.25,65.0,66.25
2023-12-04 12:00:00,66.03,66.68,66.03,66.68
2023-12-04 16:00:00,65.56,67.45,65.56,66.39
2023-12-04 20:00:00,66.0,66.99,66.0,66.99
2023-12-05 00:00:00,67.38,67.38,67.11,67.12
2023-12-05 04:00:00,67.54,67.75,67.08,67.08
2023-12-05 08:00:00,67.1,67.27,67.05,67.19
2023-12-05 12:00:00,66.29,66.48,66.16,66.3
2023-12-05 16:00:00,66.25,66.61,65.65,65.96
2023-12-05 20:00:00,66.45,68.17,66.45,67.52
2023-12-06 00:00:00,67.06,67.18,66.79,67.18
2023-12-06 04:00:00,67.67,67.72,67.52,67.52
2023-12-06 08:00:00,67.28,67.28,66.76,67.06
2023-12-06 12:00:00,66.98,67.36,66.98,67.02
2023-12-06 16:00:00,66.38,66.95,66.38,66.51
2023-12-06 20:00:00,66.46,66.98,66.46,66.86
2023-12-07 00:00:00,66.66,66.66,65.52,65.52
2023-12-07 04:00:00,65.78,66.19,65.78,66.19
2023-12-07 08:00:00,66.16,66.68,66.16,66.55
2023-12-07 12:00:00,66.55,66.55,65.77,65.77
2023-12-07 16:00:00,65.84,66.6,65.84,66.6
2023-12-07 20:00:00,68.41,68.41,67.93,68.21
2023-12-08 00:00:00,67.93,69.04,67.93,68.55
2023-12-08 04:00:00,68.61,69.38,68.61,69.38
2023-12-08 08:00:00,69.2,69.25,69.11,69.19
2023-12-08 12:00:00,68.77,68.81,68.47,68.81
2023-12-08 16:00:00,68.97,69.67,68.43,69.67
2023-12-08 20:00:00,69.23,69.36,69.23,69.25
2023-12-09 00:00:00,69.31,69.62,69.31,69.62
2023-12-09 04:00:00,70.14,70.33,70.03,70.03
2023-12-09 08:00:00,70.12,70.67,70.12,70.67
2023-12-09 12:00:00,70.89,70.89,70.16,70.2
2023-12-09 16:00:00,70.07,70.14,69.71,69.71
2023-12-09 20:00:00,70.42,70.42,69.94,70.18
2023-12-10 00:00:00,70.14,70.14,70.0,70.0
2023-12-10 04:00:00,69.87,70.13,69.87,70.08
2023-12-10 08:00:00,70.15,70.29,70.15,70.2
2023-12-10 12:00:00,70.22,70.22,68.8,69.02
2023-12-10 16:00:00,69.08,69.43,69.08,69.43
2023-12-10 20:00:00,69.53,69.6,69.23,69.6
2023-12-11 00:00:00,69.59,70.09,69.59,69.78
2023-12-11 04:00:00,69.49,69.49,65.89,65.89
2023-12-11 08:00:00,66.48,66.48,66.08,66.16
2023-12-11 12:00:00,66.08,66.08,65.57,65.68
2023-12-11 16:00:00,65.69,65.69,65.27,65.27
2023-12-11 20:00:00,64.9,64.9,63.97,63.97
2023-12-12 00:00:00,63.91,64.8,63.91,64.8
2023-12-12 04:00:00,65.09,65.48,65.09,65.48
2023-12-12 08:00:00,65.29,65.29,65.05,65.05
2023-12-12 12:00:00,65.86,65.92,65.63,65.63
2023-12-12 16:00:00,65.09,65.59,65.09,65.16
2023-12-12 20:00:00,64.73,64.73,63.99,64.54
2023-12-13 00:00:00,64.15,64.54,64.05,64.54
2023-12-13 04:00:00,64.91,65.58,64.71,64.71
2023-12-13 08:00:00,64.48,64.71,64.38,64.38
2023-12-13 12:00:00,64.7,65.02,64.7,64.79
2023-12-13 16:00:00,64.66,65.31,64.66,65.23
2023-12-13 20:00:00,65.4,65.4,65.03,65.4
2023-12-14 00:00:00,66.41,66.67,66.41,66.65
2023-12-14 04:00:00,66.66,66.66,66.39,66.39
2023-12-14 08:00:00,66.37,67.08,66.24,67.08
2023-12-14 12:00:00,67.27,67.47,67.11,67.45
2023-12-14 16:00:00,67.81,67.85,67.26,67.51
2023-12-14 20:00:00,67.23,68.13,67.23,67.57
2023-12-15 00:00:00,67.84,68.36,67.62,68.36
2023-12-15 04:00:00,68.47,68.47,67.66,67.66
2023-12-15 08:00:00,67.44,67.44,66.85,66.85
2023-12-15 12:00:00,67.03,67.35,67.03,67.33
2023-12-15 16:00:00,67.15,67.15,66.37,66.37
2023-12-15 20:00:00,66.05,66.39,65.96,66.39
2023-12-16 00:00:00,66.35,66.62,66.11,66.11
2023-12-16 04:00:00,65.58,65.69,65.23,65.69
2023-12-16 08:00:00,66.06,66.45,65.84,66.34
2023-12-16 12:00:00,66.24,66.46,66.24,66.43
2023-12-16 16:00:00,66.58,66.66,66.38,66.41
2023-12-16 20:00:00,66.75,66.75,66.31,66.31
2023-12-17 00:00:00,66.04,66.08,65.88,65.88
2023-12-17 04:00:00,65.86,65.94,65.44,65.44
2023-12-17 08:00:00,65.57,65.64,65.53,65.59
2023-12-17 12:00:00,65.37,65.68,65.37,65.61
2023-12-17 16:00:00,65.6,65.66,65.34,65.55
2023-12-17 20:00:00,65.78,66.16,65.78,66.16
2023-12-18 00:00:00,66.12,66.45,66.12,66.25
