date,open,high,low,close
2023-11-18 04:00:00,688.67,688.67,684.79,684.79
2023-11-18 08:00:00,683.47,683.47,678.41,678.41
2023-11-18 12:00:00,667.18,673.38,667.18,673.38
2023-11-18 16:00:00,674.77,674.77,672.61,672.61
2023-11-18 20:00:00,675.07,689.57,675.07,689.57
2023-11-19 00:00:00,691.61,691.61,687.83,687.83
2023-11-19 04:00:00,687.08,687.67,684.74,684.74
2023-11-19 08:00:00,683.89,688.5,683.89,688.5
2023-11-19 12:00:00,688.32,688.56,688.17,688.17
2023-11-19 16:00:00,684.42,685.3,684.42,684.5
2023-11-19 20:00:00,689.34,691.78,689.34,691.78
2023-11-20 00:00:00,695.22,695.22,694.22,694.22
2023-11-20 04:00:00,698.76,702.88,698.76,701.61
2023-11-20 08:00:00,703.35,703.35,699.78,701.3
2023-11-20 12:00:00,706.1,712.69,706.1,712.69
2023-11-20 16:00:00,708.98,712.05,706.39,712.05
2023-11-20 20:00:00,710.95,715.67,705.08,714.04
2023-11-21 00:00:00,709.51,709.51,705.29,705.59
2023-11-21 04:00:00,703.82,707.06,700.35,700.35
2023-11-21 08:00:00,702.38,702.38,700.74,701.63
2023-11-21 12:00:00,699.35,709.07,699.35,709.07
2023-11-21 16:00:00,704.96,706.89,692.09,692.09
2023-11-21 20:00:00,695.77,699.58,679.93,679.93
2023-11-22 00:00:00,684.94,686.71,668.33,668.33
2023-11-22 04:00:00,662.73,671.53,662.73,671.53
2023-11-22 08:00:00,674.1,680.68,674.1,680.68
2023-11-22 12:00:00,679.3,689.62,679.3,689.62
2023-11-22 16:00:00,688.81,694.13,688.47,688.47
2023-11-22 20:00:00,691.65,699.3,691.65,699.3
2023-11-23 00:00:00,707.72,714.12,707.72,712.25
2023-11-23 04:00:00,718.96,719.77,715.78,718.01
2023-11-23 08:00:00,717.21,718.22,716.86,716.86
2023-11-23 12:00:00,718.99,726.59,718.99,721.13
2023-11-23 16:00:00,715.79,717.12,714.4,717.12
2023-11-23 20:00:00,710.72,716.73,710.72,716.73
2023-11-24 00:00:00,718.69,719.59,718.69,718.96
2023-11-24 04:00:00,714.51,717.46,714.51,717.46
2023-11-24 08:00:00,715.55,724.47,715.55,723.97
2023-11-24 12:00:00,727.23,737.32,726.53,736.88
2023-11-24 16:00:00,734.65,736.18,729.72,729.72
2023-11-24 20:00:00,734.25,734.25,725.03,725.03
2023-11-25 00:00:00,723.84,724.92,719.41,719.41
2023-11-25 04:00:00,720.7,730.81,720.21,730.81
2023-11-25 08:00:00,730.39,730.39,729.03,729.46
2023-11-25 12:00:00,731.14,731.14,726.54,726.54
2023-11-25 16:00:00,724.6,727.61,724.6,726.27
2023-11-25 20:00:00,727.34,728.39,727.12,728.39
2023-11-26 00:00:00,729.17,729.26,728.36,729.26
2023-11-26 04:00:00,729.64,729.64,726.12,728.02
2023-11-26 08:00:00,727.87,731.14,727.87,731.14
2023-11-26 12:00:00,733.15,733.21,731.47,731.47
2023-11-26 16:00:00,730.56,730.6,724.55,724.55
2023-11-26 20:00:00,724.26,724.26,708.25,709.99
2023-11-27 00:00:00,711.29,720.57,711.29,719.4
2023-11-27 04:00:00,715.14,716.7,709.87,709.87
2023-11-27 08:00:00,709.78,711.08,709.78,711.08
2023-11-27 12:00:00,707.61,710.82,701.67,701.67
2023-11-27 16:00:00,702.66,702.66,698.36,698.36
2023-11-27 20:00:00,696.32,696.32,691.8,691.8
2023-11-28 00:00:00,686.44,695.33,686.44,695.33
2023-11-28 04:00:00,698.76,700.36,697.86,697.86
2023-11-28 08:00:00,697.31,697.31,688.09,692.82
2023-11-28 12:00:00,693.67,694.82,690.56,694.82
2023-11-28 16:00:00,698.51,699.39,696.26,699.39
2023-11-28 20:00:00,701.42,708.69,701.42,704.59
2023-11-29 00:00:00,707.01,707.01,700.02,700.02
2023-11-29 04:00:00,701.13,702.4,701.13,701.82
2023-11-29 08:00:00,701.78,704.33,701.78,704.33
2023-11-29 12:00:00,703.97,708.09,700.0,700.0
2023-11-29 16:00:00,704.12,704.12,697.38,697.38
2023-11-29 20:00:00,696.21,696.21,690.47,693.78
2023-11-30 00:00:00,693.54,693.54,689.79,691.9
