date,open,high,low,close
2023-11-18 00:00:00,163.7,163.7,163.7,163.7
2023-11-18 04:00:00,163.76,163.76,162.93,162.93
2023-11-18 08:00:00,162.61,162.61,162.15,162.23
2023-11-18 12:00:00,162.48,162.93,162.48,162.93
2023-11-18 16:00:00,163.01,163.01,162.74,162.74
2023-11-18 20:00:00,163.08,164.1,163.08,164.1
2023-11-19 00:00:00,164.59,164.59,163.69,163.69
2023-11-19 04:00:00,163.51,163.51,162.95,162.95
2023-11-19 08:00:00,162.75,163.84,162.75,163.84
2023-11-19 12:00:00,163.8,163.86,163.69,163.69
2023-11-19 16:00:00,162.87,163.11,162.87,162.89
2023-11-19 20:00:00,164.15,164.46,163.88,164.46
2023-11-20 00:00:00,164.77,164.77,164.21,164.21
2023-11-20 04:00:00,165.28,165.28,165.09,165.09
2023-11-20 08:00:00,165.49,165.49,164.85,164.85
2023-11-20 12:00:00,166.27,167.24,166.14,167.24
2023-11-20 16:00:00,165.81,166.73,165.6,166.73
2023-11-20 20:00:00,167.49,167.49,165.65,166.17
2023-11-21 00:00:00,166.29,166.29,165.68,166.21
2023-11-21 04:00:00,165.96,166.97,164.98,164.98
2023-11-21 08:00:00,165.47,165.47,165.05,165.26
2023-11-21 12:00:00,165.59,165.93,165.59,165.93
2023-11-21 16:00:00,165.19,165.64,163.83,163.83
2023-11-21 20:00:00,165.49,165.49,164.03,164.03
2023-11-22 00:00:00,164.41,164.84,163.16,163.16
2023-11-22 04:00:00,162.49,164.97,162.49,164.97
2023-11-22 08:00:00,164.39,165.13,164.39,165.11
2023-11-22 12:00:00,164.78,166.52,164.78,166.52
2023-11-22 16:00:00,166.02,166.64,165.29,165.29
2023-11-22 20:00:00,166.05,167.13,166.05,167.13
2023-11-23 00:00:00,168.1,168.15,167.47,167.47
2023-11-23 04:00:00,167.37,168.42,167.18,167.83
2023-11-23 08:00:00,167.81,168.04,167.78,167.78
2023-11-23 12:00:00,168.22,169.12,167.85,167.85
2023-11-23 16:00:00,167.47,167.47,167.12,167.2
2023-11-23 20:00:00,166.51,167.67,166.51,167.67
2023-11-24 00:00:00,168.13,168.34,168.13,168.19
2023-11-24 04:00:00,167.9,168.6,167.9,168.6
2023-11-24 08:00:00,168.15,168.55,168.15,168.55
2023-11-24 12:00:00,169.21,169.76,168.27,169.52
2023-11-24 16:00:00,169.2,169.81,169.2,169.81
2023-11-24 20:00:00,169.99,169.99,168.79,168.79
2023-11-25 00:00:00,168.52,168.77,168.52,168.73
2023-11-25 04:00:00,169.04,169.49,168.75,169.49
2023-11-25 08:00:00,169.57,169.57,169.26,169.36
2023-11-25 12:00:00,168.8,168.8,167.74,167.74
2023-11-25 16:00:00,168.15,168.84,168.15,168.53
2023-11-25 20:00:00,168.81,169.03,168.73,169.03
2023-11-26 00:00:00,169.1,169.19,169.1,169.19
2023-11-26 04:00:00,169.32,169.32,168.43,168.66
2023-11-26 08:00:00,168.63,169.34,168.63,169.34
2023-11-26 12:00:00,168.9,168.92,168.52,168.52
2023-11-26 16:00:00,168.49,168.49,167.79,167.79
2023-11-26 20:00:00,167.43,167.43,166.77,167.1
2023-11-27 00:00:00,167.49,168.68,167.49,168.41
