date,open,high,low,close
2023-11-18 00:00:00,43.54,43.54,43.54,43.54
2023-11-18 04:00:00,43.75,43.75,43.59,43.59
2023-11-18 08:00:00,43.52,43.52,42.28,42.29
2023-11-18 12:00:00,41.57,42.0,41.57,42.0
2023-11-18 16:00:00,42.47,42.47,42.33,42.4
2023-11-18 20:00:00,42.49,43.4,42.49,43.4
2023-11-19 00:00:00,43.53,43.53,43.29,43.29
2023-11-19 04:00:00,43.25,43.28,43.1,43.1
2023-11-19 08:00:00,43.05,43.79,43.05,43.79
2023-11-19 12:00:00,43.76,43.78,43.69,43.73
2023-11-19 16:00:00,43.52,43.58,43.52,43.52
2023-11-19 20:00:00,43.86,44.07,43.86,44.07
2023-11-20 00:00:00,44.15,44.31,44.15,44.23
2023-11-20 04:00:00,44.51,44.79,44.51,44.69
2023-11-20 08:00:00,44.82,44.82,44.22,44.22
2023-11-20 12:00:00,44.27,45.01,44.27,45.01
2023-11-20 16:00:00,44.71,44.9,44.63,44.9
2023-11-20 20:00:00,45.13,45.41,44.73,44.98
2023-11-21 00:00:00,45.01,45.01,44.05,44.05
2023-11-21 04:00:00,44.16,44.85,44.16,44.42
2023-11-21 08:00:00,44.54,44.54,44.44,44.49
2023-11-21 12:00:00,43.78,44.0,43.78,44.0
2023-11-21 16:00:00,43.77,43.87,43.43,43.43
2023-11-21 20:00:00,42.85,43.89,42.09,42.09
2023-11-22 00:00:00,42.44,42.52,41.22,41.22
2023-11-22 04:00:00,41.05,41.68,41.05,41.68
2023-11-22 08:00:00,41.81,42.15,41.81,42.15
2023-11-22 12:00:00,42.25,42.71,42.25,42.71
2023-11-22 16:00:00,42.16,42.53,42.16,42.19
2023-11-22 20:00:00,42.38,43.28,42.38,43.28
2023-11-23 00:00:00,43.81,43.83,43.64,43.64
2023-11-23 04:00:00,43.56,43.66,43.42,43.55
2023-11-23 08:00:00,43.48,43.56,43.48,43.48
2023-11-23 12:00:00,43.58,43.96,43.58,43.72
2023-11-23 16:00:00,43.42,43.49,43.32,43.49
2023-11-23 20:00:00,43.26,43.49,43.26,43.29
2023-11-24 00:00:00,43.4,43.45,43.4,43.45
2023-11-24 04:00:00,43.35,43.97,43.35,43.97
2023-11-24 08:00:00,43.88,43.93,43.88,43.93
2023-11-24 12:00:00,44.14,45.2,44.14,45.17
2023-11-24 16:00:00,45.04,45.34,45.04,45.34
2023-11-24 20:00:00,45.47,45.71,45.02,45.02
2023-11-25 00:00:00,44.94,45.02,44.68,44.68
2023-11-25 04:00:00,44.76,45.33,44.68,45.33
2023-11-25 08:00:00,45.35,45.35,45.27,45.27
2023-11-25 12:00:00,45.4,45.4,45.11,45.11
2023-11-25 16:00:00,44.99,45.18,44.99,45.04
2023-11-25 20:00:00,45.17,45.2,45.15,45.2
2023-11-26 00:00:00,45.28,45.29,45.27,45.27
2023-11-26 04:00:00,45.29,45.29,45.01,45.28
2023-11-26 08:00:00,45.27,45.47,45.27,45.47
2023-11-26 12:00:00,45.59,45.6,45.5,45.5
2023-11-26 16:00:00,45.44,45.44,45.07,45.07
2023-11-26 20:00:00,45.42,45.42,44.37,44.47
2023-11-27 00:00:00,44.56,45.1,44.56,45.06
2023-11-27 04:00:00,44.86,45.31,44.86,45.02
2023-11-27 08:00:00,44.46,44.5,44.33,44.33
2023-11-27 12:00:00,44.39,44.43,43.95,43.95
2023-11-27 16:00:00,44.03,44.03,43.74,43.74
2023-11-27 20:00:00,43.61,44.09,43.61,44.06
2023-11-28 00:00:00,43.27,43.83,43.27,43.83
2023-11-28 04:00:00,43.99,44.15,43.99,43.99
2023-11-28 08:00:00,43.91,43.91,43.37,43.62
2023-11-28 12:00:00,43.7,43.82,43.61,43.73
2023-11-28 16:00:00,44.03,44.13,43.99,44.09
2023-11-28 20:00:00,44.21,44.93,44.21,44.53
2023-11-29 00:00:00,44.82,45.03,44.79,44.79
2023-11-29 04:00:00,44.64,45.6,44.64,45.6
2023-11-29 08:00:00,45.59,46.13,45.59,45.75
2023-11-29 12:00:00,45.73,46.0,45.46,45.46
2023-11-29 16:00:00,45.76,45.76,44.83,44.83
2023-11-29 20:00:00,44.74,44.79,44.58,44.79
2023-11-30 00:00:00,45.22,45.22,44.97,45.09
2023-11-30 04:00:00,45.01,45.23,44.96,45.23
2023-11-30 08:00:00,45.34,45.34,45.18,45.19
2023-11-30 12:00:00,45.18,45.54,45.05,45.54
2023-11-30 16:00:00,45.81,45.81,45.16,45.16
2023-11-30 20:00:00,45.05,45.31,45.05,45.26
2023-12-01 00:00:00,45.39,45.5,44.97,44.97
2023-12-01 04:00:00,45.12,45.91,45.08,45.89
2023-12-01 08:00:00,46.01,46.05,46.0,46.01
2023-12-01 12:00:00,45.97,46.32,45.97,46.03
2023-12-01 16:00:00,45.98,45.98,45.72,45.72
2023-12-01 20:00:00,45.73,46.39,45.73,46.02
2023-12-02 00:00:00,45.95,46.05,45.95,46.01
2023-12-02 04:00:00,46.05,46.23,46.05,46.2
2023-12-02 08:00:00,46.25,47.39,46.22,47.39
2023-12-02 12:00:00,46.83,46.94,46.83,46.89
2023-12-02 16:00:00,46.87,46.99,46.79,46.79
2023-12-02 20:00:00,46.43,47.46,46.33,47.46
2023-12-03 00:00:00,47.55,48.01,47.55,47.64
2023-12-03 04:00:00,47.8,47.9,47.76,47.86
2023-12-03 08:00:00,47.76,47.76,47.63,47.63
2023-12-03 12:00:00,47.36,47.45,47.31,47.45
2023-12-03 16:00:00,47.23,47.23,46.6,46.6
2023-12-03 20:00:00,46.82,46.83,46.65,46.83
2023-12-04 00:00:00,46.95,47.66,46.95,47.66
2023-12-04 04:00:00,47.56,48.61,47.56,47.98
2023-12-04 08:00:00,49.19,49.99,49.19,49.99
2023-12-04 12:00:00,49.93,50.45,49.93,50.45
2023-12-04 16:00:00,47.9,49.32,47.9,49.32
2023-12-04 20:00:00,48.97,49.7,48.97,49.24
2023-12-05 00:00:00,49.38,49.92,49.34,49.8
2023-12-05 04:00:00,50.68,50.81,50.12,50.46
2023-12-05 08:00:00,50.39,50.98,50.36,50.98
2023-12-05 12:00:00,50.29,50.33,49.78,49.78
2023-12-05 16:00:00,49.85,50.53,49.85,50.03
2023-12-05 20:00:00,50.4,51.98,50.4,51.3
2023-12-06 00:00:00,51.44,51.5,51.02,51.02
