date,open,high,low,close
2023-11-18 00:00:00,461.16,461.16,461.16,461.16
2023-11-18 04:00:00,464.28,464.28,461.62,461.65
2023-11-18 08:00:00,460.77,460.77,457.37,457.37
2023-11-18 12:00:00,449.77,454.66,449.77,454.66
2023-11-18 16:00:00,453.4,454.75,453.4,454.12
2023-11-18 20:00:00,455.09,464.86,455.09,464.86
2023-11-19 00:00:00,465.48,465.48,463.69,463.69
2023-11-19 04:00:00,463.18,463.57,461.15,461.15
2023-11-19 08:00:00,461.02,462.94,461.02,462.89
2023-11-19 12:00:00,464.0,464.17,463.22,463.69
2023-11-19 16:00:00,461.38,462.06,461.38,461.44
2023-11-19 20:00:00,464.99,468.17,464.99,468.17
2023-11-20 00:00:00,468.16,469.85,468.16,468.95
2023-11-20 04:00:00,472.01,475.25,472.01,475.25
2023-11-20 08:00:00,475.11,475.11,472.7,473.72
2023-11-20 12:00:00,477.32,482.17,477.08,482.17
2023-11-20 16:00:00,478.91,482.93,477.83,482.93
2023-11-20 20:00:00,483.39,486.6,477.65,485.01
2023-11-21 00:00:00,482.11,482.11,478.78,479.27
2023-11-21 04:00:00,477.96,481.26,477.65,478.48
2023-11-21 08:00:00,477.1,477.1,475.93,476.53
2023-11-21 12:00:00,473.9,476.08,473.9,476.08
2023-11-21 16:00:00,468.91,470.64,464.81,464.81
2023-11-21 20:00:00,467.61,468.91,456.45,456.45
2023-11-22 00:00:00,459.41,463.88,456.37,456.37
2023-11-22 04:00:00,454.51,466.34,454.51,466.34
2023-11-22 08:00:00,472.55,476.4,472.55,476.4
2023-11-22 12:00:00,475.43,482.68,475.43,482.68
2023-11-22 16:00:00,481.58,492.02,481.58,492.02
2023-11-22 20:00:00,495.25,511.41,495.25,511.41
2023-11-23 00:00:00,517.35,525.89,517.35,525.89
2023-11-23 04:00:00,524.94,526.18,523.22,524.85
2023-11-23 08:00:00,523.97,524.85,523.97,524.28
2023-11-23 12:00:00,525.57,531.13,525.57,526.88
2023-11-23 16:00:00,523.31,529.84,522.84,529.84
2023-11-23 20:00:00,525.11,529.58,525.11,529.58
2023-11-24 00:00:00,531.03,532.06,531.03,531.64
2023-11-24 04:00:00,530.05,538.32,530.05,538.32
2023-11-24 08:00:00,531.23,531.23,526.69,526.69
2023-11-24 12:00:00,529.18,535.07,527.22,529.25
2023-11-24 16:00:00,533.02,536.66,533.02,536.66
2023-11-24 20:00:00,532.56,533.71,526.37,531.17
2023-11-25 00:00:00,530.3,531.09,527.05,527.05
2023-11-25 04:00:00,527.8,529.92,527.11,529.92
2023-11-25 08:00:00,529.68,529.68,528.71,528.78
2023-11-25 12:00:00,530.24,530.24,527.06,527.06
2023-11-25 16:00:00,525.34,527.69,525.34,526.45
2023-11-25 20:00:00,527.61,527.61,525.82,526.73
2023-11-26 00:00:00,527.3,527.46,527.3,527.36
2023-11-26 04:00:00,527.43,527.43,524.23,525.62
2023-11-26 08:00:00,525.51,527.04,525.51,525.88
2023-11-26 12:00:00,529.32,529.36,527.67,527.67
2023-11-26 16:00:00,527.46,527.49,517.75,517.75
2023-11-26 20:00:00,516.64,516.64,511.97,513.24
2023-11-27 00:00:00,519.46,525.76,519.46,525.39
2023-11-27 04:00:00,522.28,528.22,522.28,524.86
2023-11-27 08:00:00,518.47,518.87,516.91,516.91
2023-11-27 12:00:00,516.92,518.09,511.52,511.52
2023-11-27 16:00:00,518.48,521.26,516.0,521.26
2023-11-27 20:00:00,519.72,521.23,514.3,514.3
2023-11-28 00:00:00,510.32,516.39,510.32,516.39
2023-11-28 04:00:00,525.86,531.49,525.86,531.49
2023-11-28 08:00:00,536.37,536.37,518.51,522.08
2023-11-28 12:00:00,522.46,523.38,518.08,518.08
2023-11-28 16:00:00,520.83,522.06,519.15,521.49
2023-11-28 20:00:00,522.25,531.85,522.25,528.39
2023-11-29 00:00:00,530.21,530.29,527.04,527.59
2023-11-29 04:00:00,525.81,526.75,525.81,526.32
2023-11-29 08:00:00,526.29,534.67,526.29,534.67
2023-11-29 12:00:00,533.24,536.35,524.91,524.91
2023-11-29 16:00:00,527.97,527.97,523.02,523.02
2023-11-29 20:00:00,522.04,522.04,515.2,517.33
2023-11-30 00:00:00,517.14,517.14,514.41,515.62
2023-11-30 04:00:00,514.71,515.91,512.02,512.02
2023-11-30 08:00:00,513.23,513.23,511.86,512.16
2023-11-30 12:00:00,511.45,511.45,509.94,510.47
2023-11-30 16:00:00,512.99,514.25,511.3,511.3
2023-11-30 20:00:00,510.04,513.04,510.04,512.78
2023-12-01 00:00:00,513.89,515.08,513.89,514.34
2023-12-01 04:00:00,516.11,525.49,515.73,524.41
2023-12-01 08:00:00,524.6,525.08,524.39,524.64
2023-12-01 12:00:00,522.23,525.19,521.98,521.98
2023-12-01 16:00:00,521.85,521.85,518.51,518.51
2023-12-01 20:00:00,518.59,526.03,518.59,521.91
2023-12-02 00:00:00,521.54,522.43,519.62,519.62
2023-12-02 04:00:00,519.58,527.42,519.58,527.09
2023-12-02 08:00:00,527.71,529.84,527.19,529.84
2023-12-02 12:00:00,528.87,530.13,528.87,529.57
2023-12-02 16:00:00,529.24,530.76,528.52,528.52
2023-12-02 20:00:00,530.32,536.07,523.3,536.07
2023-12-03 00:00:00,537.67,542.25,537.49,538.02
2023-12-03 04:00:00,539.93,541.02,539.48,540.03
2023-12-03 08:00:00,538.92,538.92,537.41,537.41
2023-12-03 12:00:00,539.88,540.78,539.17,540.78
2023-12-03 16:00:00,538.25,540.51,536.52,536.55
2023-12-03 20:00:00,533.51,533.62,531.76,533.62
2023-12-04 00:00:00,534.91,539.24,534.91,539.24
2023-12-04 04:00:00,536.41,543.85,536.41,541.04
2023-12-04 08:00:00,540.52,549.66,540.52,549.66
2023-12-04 12:00:00,549.04,554.43,549.04,554.43
2023-12-04 16:00:00,539.17,550.54,539.17,543.17
2023-12-04 20:00:00,539.29,542.73,539.29,542.73
2023-12-05 00:00:00,544.17,544.67,536.77,536.77
2023-12-05 04:00:00,541.88,548.73,541.88,543.27
2023-12-05 08:00:00,543.45,545.06,543.09,544.21
2023-12-05 12:00:00,536.88,538.79,536.88,536.98
2023-12-05 16:00:00,536.57,544.99,536.57,544.99
2023-12-05 20:00:00,549.63,558.75,549.63,558.75
2023-12-06 00:00:00,554.66,556.39,552.56,555.56
2023-12-06 04:00:00,558.78,560.75,558.42,558.42
2023-12-06 08:00:00,556.72,556.72,547.38,547.38
2023-12-06 12:00:00,548.19,550.82,548.19,549.38
2023-12-06 16:00:00,542.41,546.21,542.41,544.33
2023-12-06 20:00:00,543.88,548.5,543.88,548.5
2023-12-07 00:00:00,546.71,546.71,539.09,539.09
2023-12-07 04:00:00,538.89,542.96,538.89,542.96
2023-12-07 08:00:00,542.8,548.85,542.8,547.98
2023-12-07 12:00:00,548.14,548.14,541.55,541.55
2023-12-07 16:00:00,542.13,548.36,542.13,548.36
2023-12-07 20:00:00,563.18,568.8,563.18,563.54
2023-12-08 00:00:00,559.69,568.28,559.69,564.2
2023-12-08 04:00:00,564.71,571.1,564.71,571.1
2023-12-08 08:00:00,569.6,575.75,569.6,575.75
2023-12-08 12:00:00,572.62,572.62,568.61,570.49
2023-12-08 16:00:00,571.79,572.03,567.8,567.8
2023-12-08 20:00:00,567.05,573.79,567.05,573.79
2023-12-09 00:00:00,574.27,576.83,574.27,576.83
2023-12-09 04:00:00,575.29,582.9,575.29,580.45
