date,open,high,low,close
2023-11-18 00:00:00,13.6,13.6,13.6,13.6
2023-11-18 04:00:00,13.69,13.69,13.46,13.46
2023-11-18 08:00:00,13.43,13.43,13.33,13.33
2023-11-18 12:00:00,13.34,13.37,13.34,13.37
2023-11-18 16:00:00,13.38,13.38,13.22,13.22
2023-11-18 20:00:00,13.25,13.63,13.25,13.63
2023-11-19 00:00:00,13.72,13.72,13.67,13.67
2023-11-19 04:00:00,13.64,13.65,13.46,13.46
2023-11-19 08:00:00,13.99,14.18,13.99,14.18
2023-11-19 12:00:00,14.33,14.33,14.31,14.33
2023-11-19 16:00:00,14.1,14.12,14.1,14.1
2023-11-19 20:00:00,14.21,14.63,14.21,14.63
2023-11-20 00:00:00,14.63,14.95,14.63,14.95
2023-11-20 04:00:00,14.89,14.98,14.89,14.95
2023-11-20 08:00:00,15.14,15.14,15.08,15.09
2023-11-20 12:00:00,15.21,15.36,15.2,15.36
2023-11-20 16:00:00,15.29,15.29,15.05,15.17
2023-11-20 20:00:00,15.24,15.24,14.91,14.99
2023-11-21 00:00:00,14.74,14.74,14.48,14.48
2023-11-21 04:00:00,14.46,14.51,14.37,14.37
2023-11-21 08:00:00,14.42,14.42,14.33,14.35
2023-11-21 12:00:00,14.15,14.2,14.15,14.2
2023-11-21 16:00:00,14.12,14.25,14.11,14.11
2023-11-21 20:00:00,14.35,14.35,13.84,13.84
2023-11-22 00:00:00,13.94,14.12,13.53,13.53
2023-11-22 04:00:00,13.61,13.79,13.61,13.79
2023-11-22 08:00:00,13.81,14.22,13.81,14.22
2023-11-22 12:00:00,14.21,14.3,14.19,14.29
2023-11-22 16:00:00,14.1,14.37,14.1,14.25
2023-11-22 20:00:00,14.17,14.51,14.17,14.51
2023-11-23 00:00:00,14.5,14.52,14.3,14.3
2023-11-23 04:00:00,14.29,14.41,14.2,14.41
2023-11-23 08:00:00,14.42,14.58,14.41,14.54
2023-11-23 12:00:00,14.59,14.66,14.48,14.48
2023-11-23 16:00:00,14.38,14.4,14.35,14.4
2023-11-23 20:00:00,14.13,14.46,14.13,14.46
2023-11-24 00:00:00,14.5,14.52,14.5,14.51
2023-11-24 04:00:00,14.48,14.48,14.4,14.46
2023-11-24 08:00:00,14.43,14.44,14.38,14.38
2023-11-24 12:00:00,14.44,14.64,14.43,14.63
2023-11-24 16:00:00,14.42,14.54,14.42,14.54
2023-11-24 20:00:00,14.58,14.61,14.54,14.54
2023-11-25 00:00:00,14.52,14.52,14.28,14.28
2023-11-25 04:00:00,14.45,14.65,14.43,14.65
2023-11-25 08:00:00,14.65,14.65,14.62,14.63
2023-11-25 12:00:00,14.66,14.87,14.66,14.87
2023-11-25 16:00:00,14.83,14.89,14.71,14.71
2023-11-25 20:00:00,14.74,14.76,14.73,14.76
2023-11-26 00:00:00,14.76,14.76,14.72,14.73
2023-11-26 04:00:00,14.74,14.76,14.67,14.76
2023-11-26 08:00:00,14.75,15.12,14.75,15.12
2023-11-26 12:00:00,15.14,15.29,15.14,15.28
2023-11-26 16:00:00,15.26,15.26,14.82,14.82
2023-11-26 20:00:00,14.78,14.78,14.49,14.67
2023-11-27 00:00:00,14.7,14.89,14.7,14.87
2023-11-27 04:00:00,14.75,15.12,14.75,14.98
2023-11-27 08:00:00,14.66,14.66,14.65,14.65
2023-11-27 12:00:00,14.46,14.5,14.31,14.31
2023-11-27 16:00:00,14.34,14.34,14.24,14.24
2023-11-27 20:00:00,14.2,14.24,14.2,14.2
2023-11-28 00:00:00,13.95,14.19,13.95,14.19
2023-11-28 04:00:00,14.26,14.29,14.26,14.28
2023-11-28 08:00:00,14.27,14.27,13.93,14.02
2023-11-28 12:00:00,14.04,14.1,14.0,14.1
2023-11-28 16:00:00,14.19,14.36,14.15,14.36
2023-11-28 20:00:00,14.41,14.64,14.41,14.51
2023-11-29 00:00:00,14.6,14.62,14.49,14.49
2023-11-29 04:00:00,14.52,14.58,14.52,14.58
2023-11-29 08:00:00,14.57,14.69,14.57,14.69
2023-11-29 12:00:00,14.7,14.91,14.7,14.77
2023-11-29 16:00:00,14.86,14.86,14.71,14.71
2023-11-29 20:00:00,14.53,14.56,14.49,14.56
2023-11-30 00:00:00,14.54,14.54,14.46,14.52
2023-11-30 04:00:00,14.49,14.56,14.49,14.56
2023-11-30 08:00:00,14.56,14.56,14.51,14.51
2023-11-30 12:00:00,14.51,14.54,14.47,14.54
2023-11-30 16:00:00,14.61,14.63,14.54,14.54
2023-11-30 20:00:00,14.37,14.44,14.37,14.43
2023-12-01 00:00:00,14.47,14.47,14.33,14.34
2023-12-01 04:00:00,14.39,14.64,14.37,14.56
2023-12-01 08:00:00,14.56,14.58,14.56,14.57
2023-12-01 12:00:00,14.7,14.79,14.7,14.72
2023-12-01 16:00:00,14.71,14.74,14.65,14.71
2023-12-01 20:00:00,14.92,15.08,14.92,15.0
2023-12-02 00:00:00,14.99,14.99,14.85,14.85
2023-12-02 04:00:00,14.86,15.2,14.86,15.2
2023-12-02 08:00:00,15.39,15.43,15.37,15.43
2023-12-02 12:00:00,15.73,15.77,15.73,15.76
2023-12-02 16:00:00,15.75,15.78,15.7,15.7
2023-12-02 20:00:00,15.73,16.06,15.7,16.06
2023-12-03 00:00:00,15.96,16.17,15.96,15.99
2023-12-03 04:00:00,16.05,16.08,15.89,15.89
2023-12-03 08:00:00,15.86,16.02,15.83,15.98
2023-12-03 12:00:00,16.23,16.23,16.03,16.08
2023-12-03 16:00:00,16.0,16.07,15.81,15.81
2023-12-03 20:00:00,15.87,15.87,15.81,15.87
2023-12-04 00:00:00,15.89,16.14,15.86,16.14
2023-12-04 04:00:00,15.7,15.91,15.7,15.87
2023-12-04 08:00:00,15.86,16.14,15.86,16.13
2023-12-04 12:00:00,16.11,16.19,16.11,16.11
2023-12-04 16:00:00,15.7,16.0,15.65,15.65
2023-12-04 20:00:00,15.54,15.65,15.54,15.64
2023-12-05 00:00:00,15.7,15.7,15.64,15.64
2023-12-05 04:00:00,15.74,15.95,15.63,15.63
2023-12-05 08:00:00,15.63,15.63,15.49,15.49
2023-12-05 12:00:00,15.29,15.34,15.25,15.29
2023-12-05 16:00:00,15.31,15.38,15.31,15.38
2023-12-05 20:00:00,15.51,15.83,15.51,15.83
2023-12-06 00:00:00,15.72,15.72,15.5,15.59
2023-12-06 04:00:00,15.7,16.04,15.7,15.82
2023-12-06 08:00:00,15.76,15.76,15.49,15.5
2023-12-06 12:00:00,15.68,15.96,15.68,15.88
2023-12-06 16:00:00,15.56,15.69,15.56,15.59
2023-12-06 20:00:00,15.58,15.65,15.58,15.59
2023-12-07 00:00:00,15.71,15.71,15.28,15.28
2023-12-07 04:00:00,15.33,15.44,15.33,15.44
2023-12-07 08:00:00,15.43,15.62,15.43,15.59
2023-12-07 12:00:00,15.59,15.59,15.22,15.22
2023-12-07 16:00:00,15.23,15.23,14.91,15.01
2023-12-07 20:00:00,15.24,15.45,15.24,15.35
2023-12-08 00:00:00,15.3,15.58,15.24,15.58
2023-12-08 04:00:00,15.6,15.77,15.6,15.61
2023-12-08 08:00:00,15.89,16.05,15.89,16.05
2023-12-08 12:00:00,15.95,16.32,15.95,16.32
2023-12-08 16:00:00,16.36,17.11,16.32,16.83
2023-12-08 20:00:00,16.77,16.8,16.58,16.58
2023-12-09 00:00:00,16.77,16.86,16.77,16.86
2023-12-09 04:00:00,16.97,17.01,16.75,16.75
2023-12-09 08:00:00,16.77,17.07,16.77,17.07
2023-12-09 12:00:00,17.12,17.12,16.76,16.77
2023-12-09 16:00:00,16.92,16.93,16.43,16.43
2023-12-09 20:00:00,16.59,16.59,16.48,16.54
2023-12-10 00:00:00,16.53,16.53,16.52,16.52
2023-12-10 04:00:00,16.26,16.33,16.26,16.31
2023-12-10 08:00:00,16.33,16.4,16.33,16.37
2023-12-10 12:00:00,16.38,16.38,15.87,15.92
2023-12-10 16:00:00,15.94,16.02,15.94,16.02
2023-12-10 20:00:00,16.03,16.16,16.03,16.16
