date,open,high,low,close
2023-11-18 00:00:00,13.6,13.6,13.6,13.6
2023-11-18 04:00:00,13.67,13.67,13.46,13.46
2023-11-18 08:00:00,13.45,13.45,13.33,13.33
2023-11-18 12:00:00,12.96,13.37,12.96,13.37
2023-11-18 16:00:00,13.34,13.38,13.22,13.22
2023-11-18 20:00:00,13.25,13.7,13.25,13.7
2023-11-19 00:00:00,13.72,13.72,13.65,13.66
2023-11-19 04:00:00,13.64,13.73,13.61,13.73
2023-11-19 08:00:00,13.72,14.18,13.72,14.18
2023-11-19 12:00:00,14.17,14.34,14.17,14.33
2023-11-19 16:00:00,14.1,14.11,14.1,14.1
2023-11-19 20:00:00,14.09,14.27,14.09,14.27
2023-11-20 00:00:00,14.63,14.96,14.63,14.95
2023-11-20 04:00:00,14.89,15.15,14.89,15.15
2023-11-20 08:00:00,15.14,15.14,15.07,15.09
2023-11-20 12:00:00,15.21,15.33,15.2,15.33
2023-11-20 16:00:00,15.1,15.23,15.06,15.23
2023-11-20 20:00:00,15.2,15.2,14.91,14.99
2023-11-21 00:00:00,14.74,14.74,14.41,14.41
2023-11-21 04:00:00,14.45,14.54,14.37,14.37
2023-11-21 08:00:00,14.42,14.42,14.33,14.35
2023-11-21 12:00:00,14.15,14.19,14.15,14.19
2023-11-21 16:00:00,14.12,14.25,14.11,14.11
2023-11-21 20:00:00,14.35,14.35,13.84,13.84
2023-11-22 00:00:00,13.93,14.12,13.53,13.53
2023-11-22 04:00:00,13.61,13.76,13.61,13.76
2023-11-22 08:00:00,13.83,14.22,13.83,14.22
2023-11-22 12:00:00,14.24,14.28,14.19,14.28
2023-11-22 16:00:00,14.12,14.37,14.12,14.28
2023-11-22 20:00:00,14.17,14.47,14.17,14.47
2023-11-23 00:00:00,14.5,14.52,14.32,14.32
2023-11-23 04:00:00,14.28,14.41,14.2,14.41
2023-11-23 08:00:00,14.4,14.58,14.4,14.55
2023-11-23 12:00:00,14.59,14.66,14.48,14.48
2023-11-23 16:00:00,14.37,14.4,14.34,14.4
2023-11-23 20:00:00,14.13,14.46,14.13,14.46
2023-11-24 00:00:00,14.5,14.53,14.5,14.51
2023-11-24 04:00:00,14.48,14.48,14.42,14.45
2023-11-24 08:00:00,14.42,14.44,14.37,14.37
2023-11-24 12:00:00,14.44,14.68,14.43,14.68
2023-11-24 16:00:00,14.44,14.53,14.44,14.53
2023-11-24 20:00:00,14.58,14.61,14.54,14.54
2023-11-25 00:00:00,14.52,14.52,14.36,14.43
2023-11-25 04:00:00,14.45,14.66,14.43,14.66
2023-11-25 08:00:00,14.65,14.65,14.62,14.62
2023-11-25 12:00:00,14.67,14.87,14.67,14.87
2023-11-25 16:00:00,14.82,14.89,14.71,14.71
