date,open,high,low,close
2023-11-18 00:00:00,2.76,2.76,2.76,2.76
2023-11-18 04:00:00,2.78,2.78,2.76,2.76
2023-11-18 08:00:00,2.75,2.75,2.74,2.74
2023-11-18 12:00:00,2.72,2.75,2.72,2.75
2023-11-18 16:00:00,2.75,2.75,2.74,2.75
2023-11-18 20:00:00,2.75,2.79,2.75,2.79
2023-11-19 00:00:00,2.79,2.79,2.78,2.78
2023-11-19 04:00:00,2.78,2.78,2.77,2.77
2023-11-19 08:00:00,2.76,2.78,2.76,2.78
2023-11-19 12:00:00,2.78,2.78,2.78,2.78
2023-11-19 16:00:00,2.77,2.77,2.77,2.77
2023-11-19 20:00:00,2.79,2.79,2.76,2.78
2023-11-20 00:00:00,2.78,2.79,2.78,2.78
2023-11-20 04:00:00,2.8,2.8,2.76,2.76
2023-11-20 08:00:00,2.76,2.76,2.75,2.76
2023-11-20 12:00:00,2.78,2.81,2.78,2.81
2023-11-20 16:00:00,2.79,2.8,2.78,2.8
2023-11-20 20:00:00,2.81,2.82,2.75,2.75
2023-11-21 00:00:00,2.75,2.75,2.73,2.73
2023-11-21 04:00:00,2.73,2.74,2.71,2.71
2023-11-21 08:00:00,2.72,2.72,2.71,2.72
2023-11-21 12:00:00,2.71,2.77,2.71,2.77
2023-11-21 16:00:00,2.76,2.76,2.74,2.74
2023-11-21 20:00:00,2.75,2.77,2.72,2.77
2023-11-22 00:00:00,2.73,2.75,2.73,2.75
2023-11-22 04:00:00,2.73,2.77,2.73,2.77
2023-11-22 08:00:00,2.77,2.8,2.77,2.8
2023-11-22 12:00:00,2.79,2.82,2.78,2.78
2023-11-22 16:00:00,2.77,2.79,2.77,2.77
2023-11-22 20:00:00,2.78,2.82,2.78,2.82
2023-11-23 00:00:00,2.79,2.79,2.78,2.78
2023-11-23 04:00:00,2.78,2.78,2.76,2.77
2023-11-23 08:00:00,2.77,2.77,2.77,2.77
2023-11-23 12:00:00,2.78,2.81,2.78,2.78
2023-11-23 16:00:00,2.76,2.76,2.76,2.76
2023-11-23 20:00:00,2.75,2.77,2.75,2.77
2023-11-24 00:00:00,2.79,2.8,2.79,2.8
2023-11-24 04:00:00,2.79,2.8,2.79,2.8
2023-11-24 08:00:00,2.79,2.8,2.79,2.8
2023-11-24 12:00:00,2.81,2.81,2.79,2.79
2023-11-24 16:00:00,2.78,2.8,2.78,2.8
2023-11-24 20:00:00,2.81,2.81,2.77,2.77
2023-11-25 00:00:00,2.77,2.77,2.75,2.75
2023-11-25 04:00:00,2.76,2.76,2.75,2.76
2023-11-25 08:00:00,2.76,2.76,2.76,2.76
2023-11-25 12:00:00,2.77,2.78,2.76,2.77
2023-11-25 16:00:00,2.76,2.77,2.76,2.76
2023-11-25 20:00:00,2.77,2.77,2.77,2.77
2023-11-26 00:00:00,2.78,2.78,2.77,2.78
2023-11-26 04:00:00,2.78,2.78,2.76,2.77
2023-11-26 08:00:00,2.77,2.78,2.77,2.78
2023-11-26 12:00:00,2.79,2.79,2.77,2.77
