date,open,high,low,close
2023-11-18 00:00:00,2.99,2.99,2.99,2.99
2023-11-18 04:00:00,3.01,3.01,2.93,2.93
2023-11-18 08:00:00,2.92,2.92,2.84,2.84
2023-11-18 12:00:00,2.85,2.85,2.85,2.85
2023-11-18 16:00:00,2.84,2.84,2.79,2.79
2023-11-18 20:00:00,2.79,2.95,2.79,2.95
2023-11-19 00:00:00,2.96,2.96,2.95,2.95
2023-11-19 04:00:00,2.94,2.94,2.93,2.93
2023-11-19 08:00:00,2.94,2.95,2.94,2.95
2023-11-19 12:00:00,2.94,3.01,2.94,3.01
2023-11-19 16:00:00,3.0,3.0,3.0,3.0
2023-11-19 20:00:00,3.08,3.22,3.08,3.22
2023-11-20 00:00:00,3.3,3.38,3.3,3.38
2023-11-20 04:00:00,3.42,3.57,3.42,3.57
2023-11-20 08:00:00,3.57,3.57,3.55,3.56
2023-11-20 12:00:00,3.58,3.69,3.58,3.69
2023-11-20 16:00:00,3.67,3.67,3.44,3.44
2023-11-20 20:00:00,3.46,3.47,3.37,3.37
2023-11-21 00:00:00,3.37,3.41,3.35,3.41
2023-11-21 04:00:00,3.48,3.48,3.39,3.39
2023-11-21 08:00:00,3.4,3.47,3.39,3.47
2023-11-21 12:00:00,3.45,3.53,3.38,3.38
2023-11-21 16:00:00,3.36,3.37,3.26,3.26
2023-11-21 20:00:00,3.28,3.3,3.18,3.27
2023-11-22 00:00:00,3.29,3.52,3.29,3.31
2023-11-22 04:00:00,3.3,3.35,3.3,3.35
2023-11-22 08:00:00,3.52,3.7,3.52,3.7
2023-11-22 12:00:00,3.69,3.72,3.63,3.63
2023-11-22 16:00:00,3.62,3.62,3.48,3.48
2023-11-22 20:00:00,3.43,3.46,3.43,3.46
2023-11-23 00:00:00,3.5,3.51,3.49,3.49
2023-11-23 04:00:00,3.49,3.49,3.4,3.41
2023-11-23 08:00:00,3.41,3.41,3.41,3.41
2023-11-23 12:00:00,3.42,3.45,3.42,3.43
2023-11-23 16:00:00,3.47,3.48,3.47,3.48
2023-11-23 20:00:00,3.45,3.45,3.39,3.41
2023-11-24 00:00:00,3.41,3.42,3.41,3.42
2023-11-24 04:00:00,3.41,3.43,3.41,3.43
2023-11-24 08:00:00,3.41,3.42,3.41,3.42
2023-11-24 12:00:00,3.51,3.57,3.5,3.57
2023-11-24 16:00:00,3.47,3.5,3.47,3.5
2023-11-24 20:00:00,3.58,3.62,3.58,3.61
2023-11-25 00:00:00,3.6,3.6,3.58,3.58
2023-11-25 04:00:00,3.58,3.59,3.58,3.59
2023-11-25 08:00:00,3.59,3.75,3.59,3.75
2023-11-25 12:00:00,3.75,3.75,3.73,3.73
2023-11-25 16:00:00,3.72,3.73,3.72,3.73
2023-11-25 20:00:00,3.66,3.66,3.66,3.66
2023-11-26 00:00:00,3.67,3.67,3.67,3.67
2023-11-26 04:00:00,3.67,3.67,3.65,3.66
2023-11-26 08:00:00,3.65,3.65,3.59,3.6
2023-11-26 12:00:00,3.61,3.61,3.53,3.53
2023-11-26 16:00:00,3.52,3.52,3.49,3.49
2023-11-26 20:00:00,3.49,3.49,3.45,3.46
2023-11-27 00:00:00,3.47,3.51,3.47,3.51
2023-11-27 04:00:00,3.49,3.49,3.39,3.39
2023-11-27 08:00:00,3.39,3.4,3.39,3.39
2023-11-27 12:00:00,3.32,3.32,3.29,3.29
2023-11-27 16:00:00,3.29,3.36,3.29,3.34
2023-11-27 20:00:00,3.33,3.34,3.33,3.33
2023-11-28 00:00:00,3.24,3.28,3.23,3.28
2023-11-28 04:00:00,3.29,3.3,3.29,3.29
2023-11-28 08:00:00,3.29,3.29,3.24,3.27
2023-11-28 12:00:00,3.27,3.28,3.25,3.27
2023-11-28 16:00:00,3.29,3.3,3.28,3.3
2023-11-28 20:00:00,3.3,3.36,3.3,3.34
2023-11-29 00:00:00,3.39,3.39,3.35,3.35
2023-11-29 04:00:00,3.36,3.37,3.36,3.36
2023-11-29 08:00:00,3.36,3.38,3.36,3.38
2023-11-29 12:00:00,3.52,3.54,3.43,3.43
2023-11-29 16:00:00,3.45,3.45,3.35,3.35
2023-11-29 20:00:00,3.34,3.35,3.33,3.35
2023-11-30 00:00:00,3.34,3.34,3.32,3.33
2023-11-30 04:00:00,3.33,3.34,3.33,3.34
2023-11-30 08:00:00,3.35,3.35,3.34,3.34
2023-11-30 12:00:00,3.34,3.34,3.33,3.34
2023-11-30 16:00:00,3.35,3.36,3.3,3.3
2023-11-30 20:00:00,3.29,3.31,3.29,3.31
2023-12-01 00:00:00,3.31,3.32,3.31,3.32
2023-12-01 04:00:00,3.33,3.39,3.33,3.39
2023-12-01 08:00:00,3.4,3.4,3.33,3.33
2023-12-01 12:00:00,3.33,3.4,3.33,3.4
2023-12-01 16:00:00,3.39,3.39,3.37,3.37
2023-12-01 20:00:00,3.38,3.42,3.38,3.39
2023-12-02 00:00:00,3.39,3.4,3.38,3.38
2023-12-02 04:00:00,3.38,3.48,3.38,3.48
2023-12-02 08:00:00,3.48,3.49,3.48,3.49
2023-12-02 12:00:00,3.56,3.57,3.56,3.57
2023-12-02 16:00:00,3.56,3.57,3.56,3.56
2023-12-02 20:00:00,3.64,3.65,3.63,3.64
2023-12-03 00:00:00,3.65,3.68,3.65,3.65
2023-12-03 04:00:00,3.67,3.68,3.67,3.67
2023-12-03 08:00:00,3.66,3.73,3.65,3.72
2023-12-03 12:00:00,3.74,3.9,3.74,3.9
2023-12-03 16:00:00,3.89,3.89,3.8,3.87
2023-12-03 20:00:00,3.89,3.89,3.87,3.88
2023-12-04 00:00:00,3.89,3.97,3.89,3.97
2023-12-04 04:00:00,3.87,3.91,3.87,3.9
2023-12-04 08:00:00,3.8,3.87,3.8,3.87
2023-12-04 12:00:00,3.85,3.88,3.8,3.82
2023-12-04 16:00:00,3.64,3.74,3.64,3.7
2023-12-04 20:00:00,3.67,3.7,3.67,3.7
2023-12-05 00:00:00,3.72,3.72,3.69,3.69
2023-12-05 04:00:00,3.73,3.74,3.71,3.71
2023-12-05 08:00:00,3.7,3.71,3.7,3.71
2023-12-05 12:00:00,3.56,3.58,3.56,3.57
2023-12-05 16:00:00,3.56,3.59,3.56,3.59
2023-12-05 20:00:00,3.61,3.71,3.61,3.71
2023-12-06 00:00:00,3.68,4.02,3.68,4.01
2023-12-06 04:00:00,4.05,4.05,3.95,3.95
2023-12-06 08:00:00,3.94,3.94,3.83,3.83
2023-12-06 12:00:00,3.84,3.86,3.84,3.84
2023-12-06 16:00:00,3.73,3.74,3.73,3.73
2023-12-06 20:00:00,3.72,3.74,3.68,3.68
2023-12-07 00:00:00,3.74,3.74,3.69,3.69
2023-12-07 04:00:00,3.69,3.79,3.69,3.79
2023-12-07 08:00:00,3.79,3.82,3.79,3.81
2023-12-07 12:00:00,3.81,3.81,3.69,3.69
2023-12-07 16:00:00,3.7,3.72,3.7,3.72
2023-12-07 20:00:00,3.76,3.8,3.76,3.79
2023-12-08 00:00:00,3.69,3.75,3.69,3.72
2023-12-08 04:00:00,3.72,3.76,3.72,3.76
2023-12-08 08:00:00,3.75,3.83,3.75,3.83
2023-12-08 12:00:00,3.81,3.81,3.79,3.81
2023-12-08 16:00:00,3.82,3.82,3.78,3.81
2023-12-08 20:00:00,3.79,3.8,3.79,3.79
2023-12-09 00:00:00,3.8,3.81,3.8,3.81
2023-12-09 04:00:00,3.8,3.89,3.8,3.87
2023-12-09 08:00:00,3.88,3.91,3.88,3.91
2023-12-09 12:00:00,3.92,3.92,3.8,3.81
2023-12-09 16:00:00,3.8,3.8,3.79,3.79
2023-12-09 20:00:00,3.82,3.82,3.79,3.81
2023-12-10 00:00:00,3.8,3.87,3.8,3.87
2023-12-10 04:00:00,3.85,4.03,3.85,4.03
2023-12-10 08:00:00,4.21,4.21,4.05,4.05
2023-12-10 12:00:00,4.04,4.04,4.01,4.02
2023-12-10 16:00:00,4.02,4.21,4.02,4.21
2023-12-10 20:00:00,4.22,4.32,4.22,4.32
2023-12-11 00:00:00,4.32,4.46,4.32,4.43
2023-12-11 04:00:00,4.41,4.47,4.34,4.34
2023-12-11 08:00:00,4.48,4.48,4.28,4.28
2023-12-11 12:00:00,4.37,4.57,4.37,4.57
2023-12-11 16:00:00,4.69,4.69,4.55,4.64
2023-12-11 20:00:00,4.52,4.59,4.44,4.44
2023-12-12 00:00:00,4.44,4.59,4.44,4.59
2023-12-12 04:00:00,4.61,4.85,4.61,4.85
2023-12-12 08:00:00,4.83,4.83,4.71,4.71
2023-12-12 12:00:00,4.74,4.74,4.72,4.72
