date,open,high,low,close
2023-11-18 00:00:00,88.62,88.62,88.62,88.62
2023-11-18 04:00:00,88.73,88.73,87.44,87.69
2023-11-18 08:00:00,86.7,87.1,83.83,83.83
2023-11-18 12:00:00,84.8,86.37,84.8,86.37
2023-11-18 16:00:00,85.71,86.04,85.41,86.04
2023-11-18 20:00:00,87.29,87.88,87.29,87.88
2023-11-19 00:00:00,87.95,87.95,87.7,87.92
2023-11-19 04:00:00,88.04,88.04,86.9,87.23
2023-11-19 08:00:00,87.56,88.49,87.56,88.49
2023-11-19 12:00:00,88.72,88.93,88.61,88.8
2023-11-19 16:00:00,88.4,88.55,88.37,88.37
2023-11-19 20:00:00,88.81,89.75,88.81,89.75
2023-11-20 00:00:00,90.2,90.2,89.62,89.62
2023-11-20 04:00:00,91.55,91.55,90.79,90.91
2023-11-20 08:00:00,90.7,91.48,90.7,91.48
2023-11-20 12:00:00,92.12,93.01,91.69,93.01
2023-11-20 16:00:00,91.87,91.87,90.96,91.79
2023-11-20 20:00:00,91.76,92.37,90.3,91.58
2023-11-21 00:00:00,91.01,91.01,90.08,90.68
2023-11-21 04:00:00,90.09,91.68,89.39,89.39
2023-11-21 08:00:00,90.14,90.29,89.89,90.29
2023-11-21 12:00:00,88.91,89.58,88.91,89.58
2023-11-21 16:00:00,88.93,89.22,88.2,88.2
2023-11-21 20:00:00,88.63,89.1,86.69,86.69
2023-11-22 00:00:00,88.22,88.34,85.4,85.4
2023-11-22 04:00:00,85.09,87.3,85.09,87.3
2023-11-22 08:00:00,87.88,89.0,87.88,89.0
2023-11-22 12:00:00,88.74,90.31,88.74,90.29
2023-11-22 16:00:00,89.72,93.04,89.72,93.04
2023-11-22 20:00:00,92.28,93.96,92.28,93.96
2023-11-23 00:00:00,94.85,95.43,94.85,95.43
2023-11-23 04:00:00,95.21,97.75,95.21,97.35
2023-11-23 08:00:00,96.86,96.86,95.21,95.21
2023-11-23 12:00:00,95.79,95.93,95.28,95.28
2023-11-23 16:00:00,95.96,96.23,95.96,96.11
2023-11-23 20:00:00,95.45,96.28,95.45,95.69
2023-11-24 00:00:00,96.06,96.11,95.85,96.11
2023-11-24 04:00:00,95.85,98.59,95.85,98.45
2023-11-24 08:00:00,97.85,97.85,96.89,96.89
2023-11-24 12:00:00,97.17,97.74,96.86,97.37
2023-11-24 16:00:00,96.69,96.69,96.41,96.61
2023-11-24 20:00:00,97.35,97.49,96.55,97.16
2023-11-25 00:00:00,96.99,98.53,96.99,98.53
2023-11-25 04:00:00,98.89,99.8,98.89,99.8
2023-11-25 08:00:00,99.51,99.51,98.42,98.57
2023-11-25 12:00:00,98.97,98.97,97.82,97.82
2023-11-25 16:00:00,97.71,100.46,97.71,100.46
2023-11-25 20:00:00,99.82,99.82,99.15,99.15
2023-11-26 00:00:00,99.17,99.29,98.99,98.99
2023-11-26 04:00:00,99.49,100.72,99.49,100.72
2023-11-26 08:00:00,101.82,102.82,101.12,102.82
2023-11-26 12:00:00,102.32,102.32,101.01,101.01
2023-11-26 16:00:00,101.33,101.33,99.47,99.47
2023-11-26 20:00:00,98.66,98.66,97.26,98.2
2023-11-27 00:00:00,98.08,99.04,98.08,98.49
2023-11-27 04:00:00,98.05,98.44,96.74,96.74
2023-11-27 08:00:00,96.28,96.56,95.85,95.85
2023-11-27 12:00:00,95.5,95.73,94.86,94.86
2023-11-27 16:00:00,95.54,95.54,94.36,94.36
2023-11-27 20:00:00,94.67,95.19,94.64,94.64
2023-11-28 00:00:00,94.17,95.26,93.81,95.26
2023-11-28 04:00:00,96.13,96.13,95.4,95.42
2023-11-28 08:00:00,95.03,95.03,93.66,94.26
2023-11-28 12:00:00,94.25,94.25,93.42,93.42
2023-11-28 16:00:00,94.07,94.2,93.28,94.13
2023-11-28 20:00:00,94.69,98.51,94.69,98.09
2023-11-29 00:00:00,98.16,98.24,97.04,97.04
2023-11-29 04:00:00,96.85,97.19,96.85,97.02
2023-11-29 08:00:00,97.22,98.24,96.93,98.24
2023-11-29 12:00:00,98.01,98.36,96.82,96.82
2023-11-29 16:00:00,97.48,98.08,97.2,97.2
2023-11-29 20:00:00,96.94,96.94,96.27,96.85
2023-11-30 00:00:00,96.89,96.89,96.47,96.49
2023-11-30 04:00:00,96.3,96.3,95.49,96.0
2023-11-30 08:00:00,96.42,96.42,96.12,96.29
2023-11-30 12:00:00,95.82,95.82,95.19,95.78
2023-11-30 16:00:00,96.08,96.94,96.08,96.94
2023-11-30 20:00:00,96.54,97.42,96.54,97.42
2023-12-01 00:00:00,97.81,97.81,97.45,97.45
2023-12-01 04:00:00,98.23,100.04,98.23,100.04
2023-12-01 08:00:00,99.82,100.05,99.82,99.97
2023-12-01 12:00:00,99.81,100.38,99.76,99.77
2023-12-01 16:00:00,99.82,100.04,99.65,100.04
2023-12-01 20:00:00,100.47,101.54,100.47,101.07
2023-12-02 00:00:00,100.83,100.97,100.4,100.4
2023-12-02 04:00:00,100.11,100.9,100.11,100.9
2023-12-02 08:00:00,100.93,101.49,100.91,101.49
2023-12-02 12:00:00,102.26,102.99,102.26,102.75
2023-12-02 16:00:00,102.65,102.71,101.31,101.31
2023-12-02 20:00:00,101.32,102.69,101.32,102.69
2023-12-03 00:00:00,102.82,103.91,102.82,103.76
2023-12-03 04:00:00,104.46,104.78,104.44,104.44
2023-12-03 08:00:00,103.84,103.84,103.41,103.41
2023-12-03 12:00:00,103.47,103.47,102.73,102.73
2023-12-03 16:00:00,102.3,102.35,101.49,102.35
2023-12-03 20:00:00,102.29,102.52,102.28,102.28
2023-12-04 00:00:00,102.24,103.62,102.24,103.62
2023-12-04 04:00:00,102.76,104.18,101.35,101.35
2023-12-04 08:00:00,101.24,102.28,101.24,102.28
2023-12-04 12:00:00,102.67,102.9,102.06,102.06
2023-12-04 16:00:00,99.4,100.99,98.89,98.89
2023-12-04 20:00:00,98.31,98.95,98.31,98.38
2023-12-05 00:00:00,99.1,99.1,98.72,98.74
2023-12-05 04:00:00,99.94,100.39,98.26,98.26
2023-12-05 08:00:00,98.43,98.94,98.43,98.83
2023-12-05 12:00:00,96.84,97.13,96.32,96.32
2023-12-05 16:00:00,96.3,96.49,96.15,96.49
2023-12-05 20:00:00,96.78,98.48,96.78,98.48
2023-12-06 00:00:00,98.01,98.21,97.84,97.86
2023-12-06 04:00:00,98.71,99.72,98.24,98.24
2023-12-06 08:00:00,97.66,97.82,96.75,96.77
2023-12-06 12:00:00,97.55,98.29,97.55,98.04
2023-12-06 16:00:00,96.58,97.49,96.58,96.67
2023-12-06 20:00:00,97.52,97.97,97.52,97.97
2023-12-07 00:00:00,98.12,98.12,96.38,96.38
2023-12-07 04:00:00,96.22,97.15,96.22,97.15
2023-12-07 08:00:00,97.56,98.47,97.56,98.46
2023-12-07 12:00:00,98.48,98.48,95.86,95.86
2023-12-07 16:00:00,95.91,96.7,95.91,96.35
2023-12-07 20:00:00,98.25,99.34,98.25,98.65
2023-12-08 00:00:00,97.81,99.04,97.81,98.34
2023-12-08 04:00:00,98.61,99.05,98.59,99.05
2023-12-08 08:00:00,99.43,100.32,99.37,100.32
2023-12-08 12:00:00,99.7,99.7,98.8,99.48
2023-12-08 16:00:00,100.05,100.38,98.34,98.34
2023-12-08 20:00:00,97.19,97.48,96.77,97.48
2023-12-09 00:00:00,97.92,98.47,97.92,98.34
2023-12-09 04:00:00,99.45,100.61,99.45,100.1
2023-12-09 08:00:00,101.27,101.97,101.02,101.97
2023-12-09 12:00:00,103.01,103.01,101.37,101.47
2023-12-09 16:00:00,101.21,101.53,100.77,100.77
2023-12-09 20:00:00,100.49,100.49,99.12,99.83
2023-12-10 00:00:00,99.7,100.13,99.39,100.13
2023-12-10 04:00:00,98.55,99.73,98.55,98.64
2023-12-10 08:00:00,98.6,99.35,98.6,99.06
2023-12-10 12:00:00,98.95,98.95,96.27,97.22
2023-12-10 16:00:00,97.17,98.07,97.17,98.07
2023-12-10 20:00:00,98.05,98.05,96.77,97.57
2023-12-11 00:00:00,97.61,98.53,97.61,98.04
2023-12-11 04:00:00,97.82,97.82,91.14,91.14
2023-12-11 08:00:00,92.85,92.85,91.09,91.09
2023-12-11 12:00:00,90.82,91.39,90.82,91.34
2023-12-11 16:00:00,91.34,91.34,89.92,89.92
2023-12-11 20:00:00,90.62,90.62,89.48,89.48
2023-12-12 00:00:00,89.89,91.49,89.89,91.49
2023-12-12 04:00:00,91.62,92.25,91.62,92.25
2023-12-12 08:00:00,92.08,92.18,91.75,92.11
2023-12-12 12:00:00,93.0,93.0,91.91,92.1
2023-12-12 16:00:00,91.85,92.73,91.85,92.7
2023-12-12 20:00:00,92.26,92.26,90.73,91.89
2023-12-13 00:00:00,91.75,91.75,90.96,91.66
2023-12-13 04:00:00,92.57,92.57,90.18,90.18
2023-12-13 08:00:00,89.68,90.29,89.23,89.23
2023-12-13 12:00:00,89.85,90.6,89.85,90.16
2023-12-13 16:00:00,89.6,90.75,89.6,90.75
2023-12-13 20:00:00,93.05,93.05,92.46,92.83
2023-12-14 00:00:00,94.36,94.72,94.36,94.7
2023-12-14 04:00:00,94.66,94.68,94.51,94.57
2023-12-14 08:00:00,94.45,95.13,94.06,95.13
2023-12-14 12:00:00,95.28,97.19,95.06,97.19
2023-12-14 16:00:00,97.51,97.51,95.58,96.14
2023-12-14 20:00:00,97.24,98.89,97.24,98.75
2023-12-15 00:00:00,99.88,104.89,99.88,104.89
2023-12-15 04:00:00,107.19,107.19,104.36,104.77
2023-12-15 08:00:00,104.56,106.91,104.56,106.91
2023-12-15 12:00:00,108.35,114.62,108.35,114.62
2023-12-15 16:00:00,114.83,116.75,114.83,115.25
2023-12-15 20:00:00,110.72,111.94,108.99,111.94
2023-12-16 00:00:00,111.55,112.52,110.48,110.48
2023-12-16 04:00:00,108.14,108.14,106.57,107.18
2023-12-16 08:00:00,107.19,107.46,106.12,106.12
2023-12-16 12:00:00,105.11,105.45,105.11,105.45
2023-12-16 16:00:00,107.52,107.74,106.71,106.71
2023-12-16 20:00:00,107.56,108.02,105.81,105.81
2023-12-17 00:00:00,104.79,104.79,104.21,104.21
2023-12-17 04:00:00,104.66,104.66,103.94,103.94
2023-12-17 08:00:00,103.6,103.86,102.84,102.84
2023-12-17 12:00:00,102.61,104.87,102.61,104.87
2023-12-17 16:00:00,104.55,104.55,102.04,102.04
2023-12-17 20:00:00,103.21,104.19,103.21,104.19
2023-12-18 00:00:00,103.85,103.88,102.47,102.47
