date,open,high,low,close
2023-12-06 04:00:00,1.33,1.33,1.27,1.27
2023-12-06 08:00:00,1.3,1.31,1.28,1.31
2023-12-06 12:00:00,1.26,1.26,1.26,1.26
2023-12-06 16:00:00,1.29,1.3,1.29,1.3
2023-12-06 20:00:00,1.31,1.48,1.31,1.48
2023-12-07 00:00:00,1.39,1.47,1.37,1.37
2023-12-07 04:00:00,1.36,1.38,1.35,1.38
2023-12-07 08:00:00,1.37,1.37,1.3,1.3
2023-12-07 12:00:00,1.34,1.35,1.29,1.3
2023-12-07 16:00:00,1.26,1.28,1.24,1.24
2023-12-07 20:00:00,1.28,1.29,1.26,1.29
2023-12-08 00:00:00,1.23,1.26,1.22,1.24
2023-12-08 04:00:00,1.22,1.25,1.22,1.25
2023-12-08 08:00:00,1.25,1.25,1.17,1.17
2023-12-08 12:00:00,1.17,1.19,1.15,1.19
2023-12-08 16:00:00,1.15,1.19,1.069,1.069
2023-12-08 20:00:00,1.04,1.2,1.04,1.2
2023-12-09 00:00:00,1.19,1.19,1.16,1.16
2023-12-09 04:00:00,1.19,1.19,1.06,1.06
2023-12-09 08:00:00,1.048,1.099,1.048,1.099
2023-12-09 12:00:00,1.071,1.071,1.055,1.071
2023-12-09 16:00:00,1.05,1.072,1.048,1.072
2023-12-09 20:00:00,1.077,1.087,1.011,1.011
2023-12-10 00:00:00,1.05,1.081,1.048,1.081
2023-12-10 04:00:00,1.091,1.19,1.091,1.15
2023-12-10 08:00:00,1.18,1.18,1.075,1.075
2023-12-10 12:00:00,1.063,1.063,1.041,1.041
2023-12-10 16:00:00,1.03,1.06,1.03,1.034
2023-12-10 20:00:00,1.05,1.12,1.05,1.12
2023-12-11 00:00:00,1.096,1.1,1.068,1.068
2023-12-11 04:00:00,1.069,1.087,1.029,1.029
2023-12-11 08:00:00,1.012,1.013,0.913137,0.913137
2023-12-11 12:00:00,0.990044,0.990044,0.905028,0.905028
2023-12-11 16:00:00,0.924604,0.977023,0.924604,0.950917
2023-12-11 20:00:00,0.915951,0.915951,0.851647,0.851647
2023-12-12 00:00:00,0.904101,0.958942,0.888797,0.930943
2023-12-12 04:00:00,0.902718,0.948446,0.902718,0.939714
2023-12-12 08:00:00,0.920179,0.920179,0.899222,0.899222
2023-12-12 12:00:00,0.903407,0.925213,0.889694,0.923445
2023-12-12 16:00:00,0.930273,1.018,0.930273,1.018
2023-12-12 20:00:00,0.99669,0.99669,0.944227,0.96734
2023-12-13 00:00:00,0.974383,1.01,0.974383,1.0
2023-12-13 04:00:00,1.0,1.0,0.929159,0.929159
2023-12-13 08:00:00,0.939773,0.939773,0.903403,0.903403
2023-12-13 12:00:00,0.93363,0.93363,0.904545,0.933525
2023-12-13 16:00:00,0.897717,0.909581,0.897717,0.909581
2023-12-13 20:00:00,0.954287,1.053,0.954287,1.053
2023-12-14 00:00:00,1.2,1.2,1.12,1.12
2023-12-14 04:00:00,1.13,1.13,1.06,1.06
2023-12-14 08:00:00,1.028,1.076,1.023,1.076
2023-12-14 12:00:00,1.049,1.08,1.02,1.029
2023-12-14 16:00:00,1.061,1.12,1.06,1.11
2023-12-14 20:00:00,1.24,1.31,1.19,1.31
2023-12-15 00:00:00,1.38,1.39,1.32,1.34
2023-12-15 04:00:00,1.28,1.38,1.28,1.37
2023-12-15 08:00:00,1.34,1.37,1.28,1.34
2023-12-15 12:00:00,1.3,1.3,1.24,1.29
2023-12-15 16:00:00,1.32,1.32,1.25,1.25
2023-12-15 20:00:00,1.23,1.27,1.23,1.23
2023-12-16 00:00:00,1.24,1.24,1.23,1.23
2023-12-16 04:00:00,1.23,1.27,1.23,1.24
2023-12-16 08:00:00,1.25,1.25,1.23,1.23
2023-12-16 12:00:00,1.23,1.23,1.23,1.23
2023-12-16 16:00:00,1.28,1.28,1.25,1.25
2023-12-16 20:00:00,1.29,1.31,1.26,1.3
2023-12-17 00:00:00,1.29,1.29,1.27,1.27
2023-12-17 04:00:00,1.3,1.3,1.25,1.25
2023-12-17 08:00:00,1.24,1.25,1.23,1.23
2023-12-17 12:00:00,1.23,1.25,1.23,1.24
2023-12-17 16:00:00,1.3,1.3,1.25,1.25
2023-12-17 20:00:00,1.27,1.27,1.24,1.24
2023-12-18 00:00:00,1.25,1.28,1.25,1.28
