date,open,high,low,close
2023-11-18 00:00:00,1.52,1.52,1.52,1.52
2023-11-18 04:00:00,1.52,1.74,1.52,1.74
2023-11-18 08:00:00,1.74,1.76,1.74,1.76
2023-11-18 12:00:00,1.77,1.77,1.75,1.77
2023-11-18 16:00:00,1.76,1.77,1.76,1.77
2023-11-18 20:00:00,1.77,1.78,1.77,1.78
2023-11-19 00:00:00,1.79,1.79,1.79,1.79
2023-11-19 04:00:00,1.79,1.79,1.77,1.77
2023-11-19 08:00:00,1.78,1.78,1.77,1.77
2023-11-19 12:00:00,1.77,1.77,1.77,1.77
2023-11-19 16:00:00,1.77,1.77,1.77,1.77
2023-11-20 04:00:00,1.77,1.77,1.66,1.66
2023-11-20 08:00:00,1.66,1.67,1.66,1.66
2023-11-20 12:00:00,1.66,1.66,1.66,1.66
2023-11-20 16:00:00,0.550348,1.67,0.542599,1.67
2023-11-21 04:00:00,1.67,1.68,1.67,1.68
2023-11-21 08:00:00,1.67,1.67,1.67,1.67
2023-11-21 12:00:00,1.67,1.67,1.67,1.67
2023-11-21 16:00:00,1.66,1.66,1.66,1.66
2023-11-21 20:00:00,1.76,1.77,1.76,1.77
2023-11-22 00:00:00,1.77,1.77,1.77,1.77
2023-11-22 04:00:00,1.77,2.06,1.76,2.06
2023-11-22 08:00:00,2.07,2.07,2.02,2.02
2023-11-22 12:00:00,2.01,2.01,2.01,2.01
2023-11-22 16:00:00,2.01,2.01,1.99,1.99
2023-11-22 20:00:00,1.99,2.01,1.99,2.01
2023-11-23 00:00:00,2.0,2.0,1.99,1.99
2023-11-23 04:00:00,1.99,1.99,1.81,1.86
2023-11-23 08:00:00,1.86,1.86,1.85,1.85
2023-11-23 12:00:00,1.87,1.87,1.87,1.87
2023-11-23 16:00:00,1.87,1.87,1.85,1.85
2023-11-23 20:00:00,1.86,1.87,1.86,1.87
2023-11-24 00:00:00,1.87,1.87,1.87,1.87
2023-11-24 04:00:00,1.87,1.87,1.86,1.86
2023-11-24 08:00:00,1.86,1.86,1.85,1.85
2023-11-24 12:00:00,1.85,1.85,1.85,1.85
2023-11-24 16:00:00,1.85,1.85,1.85,1.85
2023-11-24 20:00:00,1.85,1.85,1.85,1.85
2023-11-25 00:00:00,1.85,1.85,1.84,1.84
2023-11-25 04:00:00,1.84,1.84,1.84,1.84
2023-11-25 08:00:00,1.84,1.85,1.77,1.77
2023-11-25 12:00:00,1.77,1.77,1.77,1.77
2023-11-25 16:00:00,1.77,1.77,0.574097,0.574097
2023-11-25 20:00:00,1.76,1.76,1.76,1.76
2023-11-26 00:00:00,1.76,1.76,1.74,1.74
2023-11-26 04:00:00,1.74,1.74,1.74,1.74
2023-11-26 08:00:00,1.74,1.74,1.73,1.74
2023-11-26 12:00:00,1.74,1.74,1.73,1.73
2023-11-26 16:00:00,1.73,1.75,1.73,1.75
2023-11-26 20:00:00,1.75,1.75,1.72,1.72
2023-11-27 00:00:00,1.71,1.71,1.71,1.71
2023-11-27 04:00:00,1.69,1.7,1.69,1.69
2023-11-27 08:00:00,1.69,1.7,1.69,1.7
2023-11-27 12:00:00,1.7,1.75,1.7,1.75
2023-11-27 16:00:00,1.75,1.75,1.71,1.71
2023-11-27 20:00:00,1.71,1.71,1.71,1.71
2023-11-28 00:00:00,1.71,1.72,1.71,1.72
2023-11-28 04:00:00,1.72,1.72,1.7,1.7
2023-11-28 08:00:00,1.77,1.77,1.77,1.77
2023-11-28 12:00:00,1.77,1.82,1.76,1.76
2023-11-28 16:00:00,1.76,1.8,1.76,1.8
2023-11-28 20:00:00,1.8,1.8,1.8,1.8
2023-11-29 00:00:00,1.8,1.8,1.8,1.8
2023-11-29 04:00:00,1.8,1.8,1.79,1.79
2023-11-29 08:00:00,1.79,1.79,1.79,1.79
2023-11-29 12:00:00,1.8,1.8,1.79,1.79
2023-11-29 16:00:00,0.563362,1.85,0.563362,1.85
2023-11-29 20:00:00,1.85,1.85,1.85,1.85
2023-11-30 00:00:00,1.85,1.85,1.84,1.84
2023-11-30 04:00:00,1.84,1.84,1.84,1.84
2023-11-30 08:00:00,1.84,1.84,1.73,1.73
2023-11-30 12:00:00,1.77,1.77,1.77,1.77
2023-11-30 16:00:00,1.77,1.77,1.77,1.77
2023-11-30 20:00:00,1.77,1.81,1.7,1.7
2023-12-01 00:00:00,1.71,1.77,1.71,1.77
2023-12-01 04:00:00,1.75,1.75,1.72,1.72
2023-12-01 08:00:00,1.69,1.7,1.69,1.7
2023-12-01 12:00:00,1.69,1.81,1.69,1.81
2023-12-01 16:00:00,1.81,1.81,1.8,1.8
2023-12-01 20:00:00,1.81,1.81,1.81,1.81
2023-12-02 00:00:00,1.81,1.81,1.81,1.81
