date,open,high,low,close
2023-11-18 04:00:00,7.93,7.93,7.88,7.88
2023-11-18 08:00:00,7.82,7.82,7.44,7.44
2023-11-18 12:00:00,7.48,7.59,7.44,7.59
2023-11-18 16:00:00,7.55,7.6,7.51,7.57
2023-11-18 20:00:00,7.7,8.1,7.7,8.1
2023-11-19 00:00:00,8.16,8.19,7.84,7.84
2023-11-19 04:00:00,7.69,7.77,7.62,7.77
2023-11-19 08:00:00,7.8,8.32,7.8,8.27
2023-11-19 12:00:00,8.33,8.36,8.25,8.25
2023-11-19 16:00:00,8.25,8.28,8.25,8.28
2023-11-19 20:00:00,8.3,8.37,8.27,8.37
2023-11-20 00:00:00,8.32,8.36,8.29,8.35
2023-11-20 04:00:00,8.4,8.4,8.36,8.4
2023-11-20 08:00:00,8.22,8.24,8.19,8.19
2023-11-20 12:00:00,8.22,8.24,7.78,7.78
2023-11-20 16:00:00,7.8,7.82,7.09,7.09
2023-11-20 20:00:00,6.99,7.38,6.99,7.08
2023-11-21 00:00:00,7.04,7.04,6.9,6.97
2023-11-21 04:00:00,6.92,7.26,6.92,7.18
2023-11-21 08:00:00,7.16,7.16,6.99,7.04
2023-11-21 12:00:00,7.02,7.08,7.02,7.05
2023-11-21 16:00:00,7.0,7.07,6.78,6.78
2023-11-21 20:00:00,6.78,7.0,6.41,6.42
2023-11-22 00:00:00,6.45,6.94,6.45,6.59
2023-11-22 04:00:00,6.49,6.49,6.2,6.22
2023-11-22 08:00:00,6.33,6.38,6.33,6.38
2023-11-22 12:00:00,6.71,6.76,6.7,6.7
2023-11-22 16:00:00,6.26,6.26,6.05,6.05
2023-11-22 20:00:00,5.99,6.41,5.98,6.41
2023-11-23 00:00:00,6.46,6.58,6.3,6.58
2023-11-23 04:00:00,6.56,6.84,6.56,6.79
2023-11-23 08:00:00,6.7,6.7,6.36,6.36
2023-11-23 12:00:00,6.36,6.36,6.24,6.24
2023-11-23 16:00:00,6.2,6.28,6.11,6.16
2023-11-23 20:00:00,6.1,6.18,6.1,6.16
2023-11-24 00:00:00,6.19,6.24,6.19,6.24
2023-11-24 04:00:00,6.2,6.26,6.2,6.24
2023-11-24 08:00:00,6.22,6.25,6.22,6.23
2023-11-24 12:00:00,6.26,6.29,6.22,6.29
2023-11-24 16:00:00,6.25,6.34,6.24,6.34
2023-11-24 20:00:00,6.43,6.43,6.32,6.33
2023-11-25 00:00:00,6.34,6.44,6.34,6.43
2023-11-25 04:00:00,6.45,6.52,6.45,6.52
2023-11-25 08:00:00,6.61,6.64,6.6,6.64
2023-11-25 12:00:00,6.62,6.66,6.59,6.59
2023-11-25 16:00:00,6.61,6.87,6.59,6.59
2023-11-25 20:00:00,6.27,6.32,6.23,6.23
2023-11-26 00:00:00,6.21,6.33,6.2,6.29
2023-11-26 04:00:00,6.31,6.31,6.28,6.3
2023-11-26 08:00:00,6.31,6.38,6.31,6.38
2023-11-26 12:00:00,6.45,6.45,6.4,6.45
