date,open,high,low,close
2023-11-18 04:00:00,9.05,9.05,8.84,8.84
2023-11-18 08:00:00,8.74,8.77,8.42,8.42
2023-11-18 12:00:00,8.03,8.59,8.03,8.59
2023-11-18 16:00:00,8.56,8.56,8.53,8.53
2023-11-18 20:00:00,8.9,9.06,8.83,8.83
2023-11-19 00:00:00,8.85,8.93,8.81,8.81
2023-11-19 04:00:00,9.04,9.25,9.04,9.25
2023-11-19 08:00:00,9.22,9.29,9.14,9.29
2023-11-19 12:00:00,9.35,9.35,9.0,9.0
2023-11-19 16:00:00,8.79,9.08,8.79,8.94
2023-11-19 20:00:00,9.03,9.29,9.03,9.29
2023-11-20 00:00:00,9.2,9.2,8.64,8.68
2023-11-20 04:00:00,8.73,8.77,8.53,8.59
2023-11-20 08:00:00,8.57,8.6,8.53,8.6
2023-11-20 12:00:00,8.75,8.75,8.45,8.71
2023-11-20 16:00:00,8.72,8.72,8.59,8.62
2023-11-20 20:00:00,8.15,8.24,8.15,8.23
2023-11-21 00:00:00,8.38,8.6,8.38,8.6
2023-11-21 04:00:00,8.6,8.6,8.33,8.33
2023-11-21 08:00:00,8.29,8.29,8.22,8.22
2023-11-21 12:00:00,8.08,8.55,8.08,8.55
2023-11-21 16:00:00,9.01,9.02,8.54,8.54
2023-11-21 20:00:00,8.16,8.35,8.16,8.21
2023-11-22 00:00:00,8.35,8.35,8.06,8.1
2023-11-22 04:00:00,8.24,8.44,8.14,8.14
2023-11-22 08:00:00,8.11,8.54,8.11,8.54
2023-11-22 12:00:00,8.48,8.54,8.48,8.5
2023-11-22 16:00:00,8.47,9.66,8.4,9.66
2023-11-22 20:00:00,9.63,10.06,9.46,10.06
2023-11-23 00:00:00,12.1,12.1,11.67,11.8
2023-11-23 04:00:00,11.6,11.63,10.24,10.57
2023-11-23 08:00:00,10.87,11.27,10.55,11.27
2023-11-23 12:00:00,11.34,12.35,11.34,12.35
2023-11-23 16:00:00,12.6,13.22,11.56,11.56
2023-11-23 20:00:00,11.81,12.02,11.69,12.02
2023-11-24 00:00:00,12.29,12.73,12.29,12.73
2023-11-24 04:00:00,12.73,12.75,12.03,12.03
2023-11-24 08:00:00,11.94,12.0,11.85,11.85
2023-11-24 12:00:00,11.81,12.13,11.26,11.9
2023-11-24 16:00:00,11.84,12.41,11.79,12.41
2023-11-24 20:00:00,12.48,12.48,12.17,12.17
2023-11-25 00:00:00,12.24,12.24,11.85,11.86
2023-11-25 04:00:00,11.84,12.76,11.84,12.71
2023-11-25 08:00:00,12.9,12.9,12.6,12.6
2023-11-25 12:00:00,12.56,13.34,12.54,13.34
2023-11-25 16:00:00,13.5,13.86,13.37,13.75
2023-11-25 20:00:00,14.13,14.13,13.51,13.76
2023-11-26 00:00:00,13.6,14.1,13.35,14.1
2023-11-26 04:00:00,14.05,14.12,13.99,14.12
2023-11-26 08:00:00,14.72,15.38,14.28,15.01
2023-11-26 12:00:00,14.5,14.5,13.85,14.17
2023-11-26 16:00:00,13.79,14.08,13.62,13.62
2023-11-26 20:00:00,13.93,13.98,13.73,13.98
2023-11-27 00:00:00,13.33,13.5,13.08,13.5
2023-11-27 04:00:00,13.73,14.71,13.73,14.71
2023-11-27 08:00:00,14.69,14.75,13.76,13.76
2023-11-27 12:00:00,13.75,14.25,13.61,13.61
2023-11-27 16:00:00,13.37,13.86,13.11,13.11
2023-11-27 20:00:00,13.51,13.51,13.23,13.46
2023-11-28 00:00:00,13.57,14.04,13.39,14.04
2023-11-28 04:00:00,14.35,14.35,13.86,13.86
2023-11-28 08:00:00,13.95,13.95,13.66,13.66
2023-11-28 12:00:00,13.62,13.66,13.58,13.66
2023-11-28 16:00:00,14.18,15.36,14.18,15.36
2023-11-28 20:00:00,15.48,15.48,14.92,14.92
2023-11-29 00:00:00,13.75,14.53,13.75,14.53
2023-11-29 04:00:00,14.72,14.86,14.72,14.76
2023-11-29 08:00:00,13.89,14.22,13.76,14.22
2023-11-29 12:00:00,14.3,14.65,14.3,14.48
2023-11-29 16:00:00,14.53,14.66,14.32,14.32
2023-11-29 20:00:00,14.55,14.55,13.76,13.76
2023-11-30 00:00:00,13.83,15.4,13.83,15.3
2023-11-30 04:00:00,15.41,15.53,15.14,15.38
2023-11-30 08:00:00,15.64,15.68,15.51,15.51
2023-11-30 12:00:00,15.57,15.57,14.98,14.98
2023-11-30 16:00:00,15.9,16.4,15.7,15.7
2023-11-30 20:00:00,15.83,16.09,15.83,15.95
2023-12-01 00:00:00,15.98,17.12,15.88,17.12
2023-12-01 04:00:00,17.04,17.04,16.34,16.93
2023-12-01 08:00:00,16.89,16.96,16.81,16.96
2023-12-01 12:00:00,17.0,17.0,16.08,16.18
2023-12-01 16:00:00,15.98,16.34,15.98,16.0
2023-12-01 20:00:00,16.04,16.66,16.04,16.54
2023-12-02 00:00:00,16.17,16.43,16.04,16.43
2023-12-02 04:00:00,16.47,16.47,15.95,16.27
2023-12-02 08:00:00,16.12,16.12,15.76,15.97
2023-12-02 12:00:00,16.28,16.28,16.16,16.16
2023-12-02 16:00:00,16.07,16.07,14.72,14.92
2023-12-02 20:00:00,14.82,15.59,14.82,15.59
2023-12-03 00:00:00,15.74,15.74,14.68,15.21
2023-12-03 04:00:00,15.47,15.47,14.9,14.9
2023-12-03 08:00:00,15.16,15.16,14.62,14.62
2023-12-03 12:00:00,14.52,15.31,14.52,15.31
2023-12-03 16:00:00,15.48,15.6,15.16,15.16
2023-12-03 20:00:00,14.99,14.99,14.58,14.62
2023-12-04 00:00:00,14.82,14.82,14.59,14.59
2023-12-04 04:00:00,15.96,16.54,15.96,16.02
2023-12-04 08:00:00,15.16,16.47,15.16,16.47
2023-12-04 12:00:00,16.53,16.53,15.37,15.37
2023-12-04 16:00:00,15.88,16.01,15.84,15.84
2023-12-04 20:00:00,15.73,15.73,15.49,15.53
2023-12-05 00:00:00,15.84,15.84,15.62,15.63
2023-12-05 04:00:00,15.34,15.53,15.34,15.53
2023-12-05 08:00:00,15.33,15.33,14.52,14.52
2023-12-05 12:00:00,13.24,14.15,13.24,14.15
2023-12-05 16:00:00,13.81,13.81,13.46,13.53
2023-12-05 20:00:00,13.36,14.01,13.36,13.42
2023-12-06 00:00:00,13.62,13.62,12.9,12.9
2023-12-06 04:00:00,13.15,13.48,12.65,12.65
2023-12-06 08:00:00,12.68,12.78,12.66,12.72
2023-12-06 12:00:00,13.13,13.33,13.13,13.28
2023-12-06 16:00:00,12.75,12.75,12.56,12.56
2023-12-06 20:00:00,12.73,13.08,12.73,13.08
2023-12-07 00:00:00,13.14,13.17,12.97,13.12
2023-12-07 04:00:00,12.88,13.11,12.68,12.84
2023-12-07 08:00:00,12.85,14.03,12.85,14.03
2023-12-07 12:00:00,13.4,13.4,12.63,13.09
2023-12-07 16:00:00,13.55,13.8,13.46,13.46
2023-12-07 20:00:00,14.15,14.47,14.05,14.47
2023-12-08 00:00:00,13.97,13.97,13.77,13.77
2023-12-08 04:00:00,13.81,14.14,13.42,14.14
2023-12-08 08:00:00,14.64,14.99,14.18,14.18
2023-12-08 12:00:00,13.28,13.28,12.2,12.2
2023-12-08 16:00:00,12.15,12.54,11.22,12.54
2023-12-08 20:00:00,12.29,12.8,12.29,12.8
2023-12-09 00:00:00,12.82,12.82,11.41,11.44
2023-12-09 04:00:00,11.66,12.25,11.66,11.85
2023-12-09 08:00:00,11.52,11.52,10.01,10.94
2023-12-09 12:00:00,11.24,11.92,11.24,11.92
2023-12-09 16:00:00,12.15,12.16,12.1,12.1
2023-12-09 20:00:00,12.24,12.24,11.92,11.92
2023-12-10 00:00:00,11.58,11.58,10.83,11.17
2023-12-10 04:00:00,11.17,11.17,10.99,11.0
2023-12-10 08:00:00,11.03,11.26,10.98,11.26
2023-12-10 12:00:00,11.4,11.4,11.19,11.19
2023-12-10 16:00:00,11.29,11.53,11.25,11.53
2023-12-10 20:00:00,11.68,11.86,11.68,11.86
2023-12-11 00:00:00,12.08,12.38,12.08,12.38
2023-12-11 04:00:00,11.78,11.78,11.1,11.1
2023-12-11 08:00:00,10.84,10.84,10.53,10.53
2023-12-11 12:00:00,10.95,11.28,10.95,11.04
2023-12-11 16:00:00,10.85,11.0,10.85,11.0
2023-12-11 20:00:00,10.63,10.63,9.56,9.56
2023-12-12 00:00:00,10.24,10.24,9.73,9.73
2023-12-12 04:00:00,10.03,10.93,10.03,10.93
2023-12-12 08:00:00,10.3,11.16,9.42,11.16
2023-12-12 12:00:00,11.73,11.73,11.19,11.31
2023-12-12 16:00:00,11.37,11.37,10.68,10.68
2023-12-12 20:00:00,10.57,10.57,10.23,10.23
2023-12-13 00:00:00,10.46,10.65,10.39,10.65
2023-12-13 04:00:00,11.13,11.13,10.46,10.46
2023-12-13 08:00:00,10.35,10.38,10.32,10.37
2023-12-13 12:00:00,10.39,10.39,9.7,9.73
2023-12-13 16:00:00,9.73,10.65,9.73,10.22
2023-12-13 20:00:00,10.41,10.46,10.29,10.46
2023-12-14 00:00:00,10.72,11.14,10.72,11.07
2023-12-14 04:00:00,11.0,11.21,11.0,11.11
2023-12-14 08:00:00,10.97,10.97,10.84,10.96
2023-12-14 12:00:00,11.11,11.42,11.11,11.42
2023-12-14 16:00:00,11.2,11.2,10.77,10.91
2023-12-14 20:00:00,10.91,10.91,10.67,10.67
2023-12-15 00:00:00,10.7,10.7,10.24,10.24
2023-12-15 04:00:00,10.56,10.56,9.84,9.84
2023-12-15 08:00:00,9.78,9.87,9.78,9.87
2023-12-15 12:00:00,9.88,9.88,9.58,9.58
2023-12-15 16:00:00,9.69,10.07,9.11,10.07
2023-12-15 20:00:00,9.45,9.45,9.09,9.09
2023-12-16 00:00:00,9.28,9.71,9.28,9.68
2023-12-16 04:00:00,9.67,9.7,9.54,9.54
2023-12-16 08:00:00,9.69,10.01,9.69,9.79
2023-12-16 12:00:00,9.41,9.75,9.28,9.7
2023-12-16 16:00:00,9.69,10.3,9.69,10.3
2023-12-16 20:00:00,10.43,10.6,10.32,10.41
2023-12-17 00:00:00,10.44,10.48,10.32,10.48
2023-12-17 04:00:00,10.56,10.62,10.55,10.57
2023-12-17 08:00:00,10.39,10.39,10.29,10.29
2023-12-17 12:00:00,10.13,10.16,10.0,10.16
2023-12-17 16:00:00,10.37,11.18,10.37,11.18
2023-12-17 20:00:00,11.22,11.35,11.11,11.11
2023-12-18 00:00:00,10.85,10.85,10.47,10.47
