date,open,high,low,close
2023-11-18 04:00:00,0.973848,0.973848,0.960049,0.960049
2023-11-18 08:00:00,0.955566,0.955566,0.948694,0.948694
2023-11-18 12:00:00,0.939229,0.9462,0.939229,0.9462
2023-11-18 16:00:00,0.945396,0.947673,0.944263,0.944263
2023-11-18 20:00:00,0.950047,0.967155,0.950047,0.960262
2023-11-19 00:00:00,0.966348,0.966348,0.957218,0.957218
2023-11-19 04:00:00,0.958472,0.958472,0.948913,0.948913
2023-11-19 08:00:00,0.948018,0.95722,0.948018,0.95722
2023-11-19 12:00:00,0.956662,0.961724,0.953283,0.953283
2023-11-19 16:00:00,0.948007,0.954576,0.948007,0.954576
2023-11-19 20:00:00,0.963457,0.970074,0.962203,0.970074
2023-11-20 00:00:00,0.978296,0.978296,0.970734,0.973633
2023-11-20 04:00:00,0.980811,0.985253,0.980811,0.985253
2023-11-20 08:00:00,0.983555,0.983555,0.973061,0.973061
2023-11-20 12:00:00,0.990742,1.004,0.990742,1.004
2023-11-20 16:00:00,0.998159,0.998159,0.980803,0.985584
2023-11-20 20:00:00,0.987772,0.99619,0.96942,0.986089
2023-11-21 00:00:00,0.980479,0.980479,0.970237,0.970237
2023-11-21 04:00:00,0.970467,0.988277,0.963874,0.963874
2023-11-21 08:00:00,0.972796,0.978124,0.968795,0.978124
2023-11-21 12:00:00,0.965971,0.993988,0.965971,0.993988
2023-11-21 16:00:00,0.983584,0.983584,0.953521,0.953521
2023-11-21 20:00:00,0.959212,0.983569,0.936436,0.936436
2023-11-22 00:00:00,0.943465,0.943465,0.902739,0.902739
2023-11-22 04:00:00,0.897925,0.917108,0.897925,0.917108
2023-11-22 08:00:00,0.921429,0.92422,0.913201,0.92422
2023-11-22 12:00:00,0.922433,0.932258,0.922433,0.932258
2023-11-22 16:00:00,0.928795,0.940929,0.928795,0.930711
2023-11-22 20:00:00,0.938568,0.964642,0.934298,0.964642
2023-11-23 00:00:00,0.971526,0.989514,0.971526,0.989514
2023-11-23 04:00:00,0.998373,1.006,0.989427,1.004
2023-11-23 08:00:00,0.999292,0.999292,0.987498,0.987498
2023-11-23 12:00:00,0.993507,1.002,0.993507,0.995122
2023-11-23 16:00:00,0.988896,0.988896,0.97591,0.979002
2023-11-23 20:00:00,0.975493,0.985085,0.975493,0.985085
2023-11-24 00:00:00,0.9815,0.988744,0.9815,0.988744
2023-11-24 04:00:00,0.987778,1.0,0.987778,1.0
2023-11-24 08:00:00,1.0,1.005,1.0,1.005
2023-11-24 12:00:00,1.01,1.02,1.006,1.017
2023-11-24 16:00:00,1.016,1.016,1.013,1.014
2023-11-24 20:00:00,1.016,1.016,1.001,1.001
2023-11-25 00:00:00,1.001,1.004,1.001,1.001
2023-11-25 04:00:00,1.007,1.019,1.007,1.019
2023-11-25 08:00:00,1.022,1.022,1.017,1.02
2023-11-25 12:00:00,1.027,1.027,1.02,1.02
2023-11-25 16:00:00,1.014,1.018,1.014,1.017
2023-11-25 20:00:00,1.019,1.025,1.019,1.023
2023-11-26 00:00:00,1.022,1.022,1.018,1.021
2023-11-26 04:00:00,1.022,1.026,1.016,1.018
2023-11-26 08:00:00,1.017,1.031,1.017,1.031
2023-11-26 12:00:00,1.031,1.031,1.022,1.022
2023-11-26 16:00:00,1.022,1.022,1.006,1.006
2023-11-26 20:00:00,1.0,1.0,0.98404,0.985336
2023-11-27 00:00:00,0.984715,0.999852,0.984715,0.999852
2023-11-27 04:00:00,0.994747,0.998631,0.980682,0.980682
2023-11-27 08:00:00,0.97672,0.97901,0.968103,0.968103
2023-11-27 12:00:00,0.969134,0.971908,0.962629,0.962629
2023-11-27 16:00:00,0.963794,0.963794,0.953004,0.953004
2023-11-27 20:00:00,0.951513,0.958011,0.94918,0.94918
2023-11-28 00:00:00,0.941465,0.949133,0.937986,0.949133
2023-11-28 04:00:00,0.956023,0.964766,0.956023,0.962574
2023-11-28 08:00:00,0.958782,0.958782,0.944466,0.950667
2023-11-28 12:00:00,1.46,1.47,1.46,1.46
2023-11-28 16:00:00,1.47,1.47,1.47,1.47
2023-11-28 20:00:00,1.47,1.5,1.47,1.49
2023-11-29 00:00:00,1.5,1.5,1.48,1.48
2023-11-29 04:00:00,1.48,1.49,1.48,1.48
2023-11-29 08:00:00,1.49,1.5,1.49,1.5
2023-11-29 12:00:00,1.49,1.5,1.47,1.47
2023-11-29 16:00:00,1.48,1.48,1.46,1.46
2023-11-29 20:00:00,1.46,1.46,1.45,1.45
2023-11-30 00:00:00,1.45,1.45,1.44,1.45
2023-11-30 04:00:00,1.45,1.46,1.45,1.46
2023-11-30 08:00:00,1.47,1.47,1.46,1.46
2023-11-30 12:00:00,1.45,1.45,1.44,1.44
2023-11-30 16:00:00,1.45,1.46,1.44,1.44
2023-11-30 20:00:00,1.45,1.47,1.45,1.46
2023-12-01 00:00:00,1.46,1.47,1.46,1.47
2023-12-01 04:00:00,1.47,1.5,1.47,1.5
2023-12-01 08:00:00,1.5,1.5,1.5,1.5
2023-12-01 12:00:00,1.49,1.51,1.49,1.5
2023-12-01 16:00:00,1.5,1.5,1.49,1.49
2023-12-01 20:00:00,1.49,1.51,1.49,1.5
2023-12-02 00:00:00,1.5,1.51,1.49,1.49
2023-12-02 04:00:00,1.51,1.52,1.51,1.51
2023-12-02 08:00:00,1.52,1.52,1.51,1.52
2023-12-02 12:00:00,1.52,1.53,1.52,1.53
2023-12-02 16:00:00,1.53,1.54,1.53,1.53
2023-12-02 20:00:00,1.53,1.57,1.53,1.57
2023-12-03 00:00:00,1.58,1.6,1.58,1.59
2023-12-03 04:00:00,1.6,1.61,1.6,1.6
2023-12-03 08:00:00,1.59,1.59,1.58,1.58
2023-12-03 12:00:00,1.58,1.58,1.57,1.57
2023-12-03 16:00:00,1.57,1.57,1.55,1.55
2023-12-03 20:00:00,1.56,1.56,1.56,1.56
2023-12-04 00:00:00,1.56,1.58,1.56,1.58
2023-12-04 04:00:00,1.59,1.62,1.59,1.61
2023-12-04 08:00:00,1.6,1.61,1.6,1.61
2023-12-04 12:00:00,1.61,1.62,1.61,1.61
