date,open,high,low,close
2023-11-18 04:00:00,15.37,15.39,15.34,15.34
2023-11-18 08:00:00,15.16,15.16,14.81,14.81
2023-11-18 12:00:00,14.84,14.92,14.84,14.89
2023-11-18 16:00:00,14.88,14.93,14.85,14.85
2023-11-18 20:00:00,15.02,15.02,14.99,15.02
2023-11-19 00:00:00,15.02,15.02,14.94,14.94
2023-11-19 04:00:00,14.96,14.96,14.91,14.93
2023-11-19 08:00:00,14.94,15.15,14.94,15.15
2023-11-19 12:00:00,15.16,15.19,15.12,15.13
2023-11-19 16:00:00,15.05,15.16,15.02,15.16
2023-11-19 20:00:00,15.15,15.27,15.08,15.27
2023-11-20 00:00:00,15.33,15.55,15.33,15.53
2023-11-20 04:00:00,15.61,15.62,15.53,15.53
2023-11-20 08:00:00,15.49,15.51,15.35,15.35
2023-11-20 12:00:00,15.43,15.74,15.43,15.74
2023-11-20 16:00:00,15.74,15.74,15.65,15.72
2023-11-20 20:00:00,15.84,16.04,15.75,15.98
2023-11-21 00:00:00,15.99,15.99,15.83,15.85
2023-11-21 04:00:00,15.85,16.06,15.85,15.95
2023-11-21 08:00:00,15.84,15.9,15.8,15.8
2023-11-21 12:00:00,15.65,15.67,15.65,15.66
2023-11-21 16:00:00,15.88,16.18,15.88,16.0
2023-11-21 20:00:00,16.06,16.51,15.53,15.53
2023-11-22 00:00:00,15.7,16.04,15.43,15.43
2023-11-22 04:00:00,15.18,15.34,15.18,15.34
2023-11-22 08:00:00,15.34,15.82,15.34,15.82
2023-11-22 12:00:00,15.76,15.76,15.74,15.75
2023-11-22 16:00:00,15.68,15.77,15.6,15.6
2023-11-22 20:00:00,15.78,16.02,15.78,16.02
2023-11-23 00:00:00,16.1,16.16,15.89,15.89
2023-11-23 04:00:00,15.9,15.98,15.9,15.92
2023-11-23 08:00:00,15.91,15.91,15.75,15.75
2023-11-23 12:00:00,15.76,16.47,15.76,16.47
2023-11-23 16:00:00,16.31,16.32,16.14,16.32
2023-11-23 20:00:00,16.15,16.24,16.15,16.21
2023-11-24 00:00:00,16.11,16.23,16.09,16.23
2023-11-24 04:00:00,16.19,16.29,16.19,16.29
2023-11-24 08:00:00,16.36,16.4,16.33,16.33
2023-11-24 12:00:00,16.31,16.37,16.24,16.24
2023-11-24 16:00:00,16.23,16.23,16.21,16.21
2023-11-24 20:00:00,16.29,16.29,16.15,16.28
2023-11-25 00:00:00,16.14,16.26,16.14,16.22
2023-11-25 04:00:00,16.2,16.33,16.2,16.33
2023-11-25 08:00:00,16.37,16.37,16.27,16.27
2023-11-25 12:00:00,16.29,16.29,16.14,16.14
2023-11-25 16:00:00,16.06,16.15,16.06,16.11
2023-11-25 20:00:00,16.03,16.04,15.92,15.92
2023-11-26 00:00:00,15.93,15.94,15.88,15.88
2023-11-26 04:00:00,15.82,15.97,15.82,15.97
2023-11-26 08:00:00,16.01,16.01,15.89,15.89
2023-11-26 12:00:00,15.95,15.95,15.86,15.86
2023-11-26 16:00:00,15.86,16.11,15.82,16.11
2023-11-26 20:00:00,16.1,16.1,15.87,15.9
2023-11-27 00:00:00,15.88,16.13,15.88,16.13
2023-11-27 04:00:00,16.0,16.14,15.99,15.99
2023-11-27 08:00:00,15.95,16.09,15.87,15.87
2023-11-27 12:00:00,15.77,15.88,15.65,15.65
2023-11-27 16:00:00,15.65,15.65,15.47,15.47
2023-11-27 20:00:00,15.42,15.51,15.42,15.51
2023-11-28 00:00:00,15.43,15.51,15.4,15.51
2023-11-28 04:00:00,15.65,15.65,15.55,15.6
2023-11-28 08:00:00,15.62,15.62,15.36,15.42
2023-11-28 12:00:00,15.35,15.35,15.28,15.28
2023-11-28 16:00:00,15.36,15.4,15.3,15.38
2023-11-28 20:00:00,15.39,15.51,15.39,15.47
2023-11-29 00:00:00,15.61,15.79,15.61,15.79
2023-11-29 04:00:00,15.84,15.84,15.66,15.66
2023-11-29 08:00:00,15.68,15.91,15.68,15.91
2023-11-29 12:00:00,15.88,16.02,15.71,15.71
2023-11-29 16:00:00,15.74,15.78,15.74,15.76
2023-11-29 20:00:00,15.57,15.61,15.47,15.61
2023-11-30 00:00:00,15.57,15.57,15.49,15.51
2023-11-30 04:00:00,15.47,15.65,15.47,15.65
2023-11-30 08:00:00,15.72,15.74,15.66,15.74
2023-11-30 12:00:00,15.64,15.64,15.55,15.62
2023-11-30 16:00:00,15.69,15.78,15.63,15.63
2023-11-30 20:00:00,15.66,15.69,15.66,15.69
2023-12-01 00:00:00,15.79,15.79,15.69,15.73
2023-12-01 04:00:00,15.75,15.86,15.71,15.86
2023-12-01 08:00:00,15.83,15.98,15.83,15.98
2023-12-01 12:00:00,15.95,15.97,15.95,15.96
2023-12-01 16:00:00,15.94,15.98,15.81,15.98
2023-12-01 20:00:00,16.05,17.4,16.05,17.35
2023-12-02 00:00:00,17.39,20.96,17.39,20.96
2023-12-02 04:00:00,20.38,21.43,20.36,21.43
2023-12-02 08:00:00,22.19,24.67,22.19,24.67
2023-12-02 12:00:00,24.7,24.7,23.01,23.01
2023-12-02 16:00:00,22.85,22.85,21.58,21.69
2023-12-02 20:00:00,22.45,22.45,21.9,21.9
2023-12-03 00:00:00,21.86,21.86,20.79,20.79
2023-12-03 04:00:00,21.08,21.08,20.65,20.68
2023-12-03 08:00:00,20.93,21.4,20.93,21.12
2023-12-03 12:00:00,21.48,22.07,21.48,21.85
2023-12-03 16:00:00,21.58,21.58,20.85,20.85
2023-12-03 20:00:00,20.97,20.97,20.59,20.62
2023-12-04 00:00:00,19.98,20.07,19.95,20.07
2023-12-04 04:00:00,19.97,20.62,19.97,20.62
2023-12-04 08:00:00,20.31,20.44,20.19,20.44
2023-12-04 12:00:00,20.45,20.58,20.41,20.46
2023-12-04 16:00:00,19.44,19.6,19.31,19.31
2023-12-04 20:00:00,19.21,19.4,19.21,19.21
2023-12-05 00:00:00,19.22,19.44,19.22,19.42
2023-12-05 04:00:00,19.63,19.79,19.63,19.7
2023-12-05 08:00:00,19.67,19.68,19.6,19.6
2023-12-05 12:00:00,19.16,19.3,19.11,19.11
2023-12-05 16:00:00,19.11,19.3,19.11,19.3
2023-12-05 20:00:00,19.35,19.35,19.28,19.28
2023-12-06 00:00:00,19.12,19.33,19.12,19.26
2023-12-06 04:00:00,19.22,19.33,19.22,19.25
2023-12-06 08:00:00,19.26,19.28,18.96,18.96
2023-12-06 12:00:00,19.0,19.28,19.0,19.2
2023-12-06 16:00:00,18.96,19.09,18.96,19.09
2023-12-06 20:00:00,19.01,19.17,18.92,18.92
2023-12-07 00:00:00,18.9,19.14,18.9,19.01
2023-12-07 04:00:00,18.84,19.01,18.84,19.01
2023-12-07 08:00:00,19.01,19.47,19.01,19.47
2023-12-07 12:00:00,19.54,19.54,19.06,19.06
2023-12-07 16:00:00,19.03,19.08,19.0,19.08
2023-12-07 20:00:00,19.3,19.41,19.3,19.39
2023-12-08 00:00:00,20.02,20.32,19.93,19.93
2023-12-08 04:00:00,20.12,20.21,19.74,19.74
2023-12-08 08:00:00,19.78,19.78,19.5,19.5
2023-12-08 12:00:00,19.34,19.44,19.29,19.44
2023-12-08 16:00:00,19.5,19.5,19.19,19.31
2023-12-08 20:00:00,19.25,19.25,19.15,19.22
2023-12-09 00:00:00,19.3,19.59,19.3,19.49
2023-12-09 04:00:00,19.53,19.84,19.53,19.84
2023-12-09 08:00:00,19.85,19.96,19.84,19.89
2023-12-09 12:00:00,19.95,19.95,19.46,19.84
2023-12-09 16:00:00,20.16,20.16,19.66,19.66
2023-12-09 20:00:00,19.8,20.03,19.75,20.03
2023-12-10 00:00:00,20.05,20.15,19.92,19.92
2023-12-10 04:00:00,19.91,20.09,19.91,20.07
2023-12-10 08:00:00,20.08,20.13,20.08,20.12
2023-12-10 12:00:00,20.35,20.37,19.78,19.78
2023-12-10 16:00:00,19.67,19.83,19.67,19.83
2023-12-10 20:00:00,19.86,19.86,19.57,19.58
2023-12-11 00:00:00,19.67,19.79,19.67,19.68
2023-12-11 04:00:00,19.6,19.6,18.53,18.53
2023-12-11 08:00:00,18.6,18.6,18.45,18.45
2023-12-11 12:00:00,18.79,18.8,18.46,18.46
2023-12-11 16:00:00,18.8,18.8,18.45,18.45
2023-12-11 20:00:00,18.37,18.4,18.05,18.05
2023-12-12 00:00:00,17.93,18.33,17.93,18.33
2023-12-12 04:00:00,18.34,18.6,18.34,18.6
2023-12-12 08:00:00,18.56,18.56,18.46,18.5
2023-12-12 12:00:00,18.61,18.61,18.35,18.35
2023-12-12 16:00:00,18.16,18.16,17.75,17.75
2023-12-12 20:00:00,17.68,17.9,17.6,17.9
2023-12-13 00:00:00,17.82,17.9,17.66,17.86
2023-12-13 04:00:00,18.13,18.13,17.54,17.54
2023-12-13 08:00:00,17.39,17.5,17.39,17.39
2023-12-13 12:00:00,17.47,17.57,17.47,17.51
2023-12-13 16:00:00,17.46,17.74,17.46,17.67
2023-12-13 20:00:00,17.94,18.04,17.93,18.04
2023-12-14 00:00:00,18.33,18.88,18.33,18.76
2023-12-14 04:00:00,18.81,18.85,18.76,18.76
2023-12-14 08:00:00,18.63,18.65,18.58,18.65
2023-12-14 12:00:00,18.63,18.79,18.63,18.79
2023-12-14 16:00:00,18.93,18.93,18.41,18.41
2023-12-14 20:00:00,18.48,18.67,18.48,18.67
2023-12-15 00:00:00,18.81,19.07,18.66,19.07
2023-12-15 04:00:00,19.1,19.14,18.85,18.85
2023-12-15 08:00:00,18.81,18.81,18.47,18.55
2023-12-15 12:00:00,18.49,18.52,18.41,18.41
2023-12-15 16:00:00,18.4,18.4,17.99,17.99
2023-12-15 20:00:00,17.89,18.01,17.75,18.01
2023-12-16 00:00:00,18.01,18.07,17.74,17.74
2023-12-16 04:00:00,17.53,17.76,17.52,17.76
2023-12-16 08:00:00,17.85,17.86,17.84,17.86
2023-12-16 12:00:00,17.85,18.05,17.83,18.05
2023-12-16 16:00:00,18.09,18.18,18.09,18.12
2023-12-16 20:00:00,18.29,18.29,18.11,18.11
2023-12-17 00:00:00,17.97,18.01,17.91,17.96
2023-12-17 04:00:00,17.97,18.17,17.97,18.17
2023-12-17 08:00:00,18.06,18.06,17.76,17.76
2023-12-17 12:00:00,17.79,17.99,17.79,17.88
2023-12-17 16:00:00,17.94,18.01,17.72,17.73
2023-12-17 20:00:00,18.06,18.12,18.05,18.1
2023-12-18 00:00:00,18.05,18.07,17.81,17.81
