date,open,high,low,close
2023-11-18 04:00:00,1.38,1.39,1.38,1.38
2023-11-18 08:00:00,1.36,1.37,1.35,1.35
2023-11-18 12:00:00,1.35,1.36,1.35,1.36
2023-11-18 16:00:00,1.36,1.37,1.36,1.37
2023-11-18 20:00:00,1.39,1.39,1.37,1.37
2023-11-19 00:00:00,1.38,1.38,1.34,1.34
2023-11-19 04:00:00,1.34,1.34,1.33,1.33
2023-11-19 08:00:00,1.33,1.35,1.33,1.34
2023-11-19 12:00:00,1.32,1.33,1.32,1.32
2023-11-19 16:00:00,1.31,1.32,1.31,1.32
2023-11-19 20:00:00,1.33,1.34,1.32,1.34
2023-11-20 00:00:00,1.37,1.37,1.36,1.36
2023-11-20 04:00:00,1.38,1.4,1.37,1.4
2023-11-20 08:00:00,1.4,1.41,1.4,1.41
2023-11-20 12:00:00,1.44,1.47,1.44,1.47
2023-11-20 16:00:00,1.48,1.51,1.48,1.48
2023-11-20 20:00:00,1.5,1.5,1.46,1.46
2023-11-21 00:00:00,1.48,1.5,1.46,1.46
2023-11-21 04:00:00,1.45,1.45,1.42,1.42
2023-11-21 08:00:00,1.42,1.44,1.42,1.44
2023-11-21 12:00:00,1.42,1.43,1.42,1.43
2023-11-21 16:00:00,1.41,1.41,1.35,1.35
2023-11-21 20:00:00,1.37,1.39,1.33,1.33
2023-11-22 00:00:00,1.32,1.37,1.32,1.36
2023-11-22 04:00:00,1.3,1.33,1.3,1.33
2023-11-22 08:00:00,1.34,1.37,1.34,1.37
2023-11-22 12:00:00,1.37,1.38,1.37,1.38
2023-11-22 16:00:00,1.37,1.42,1.37,1.41
2023-11-22 20:00:00,1.41,1.43,1.4,1.43
2023-11-23 00:00:00,1.44,1.46,1.44,1.45
2023-11-23 04:00:00,1.45,1.45,1.44,1.44
2023-11-23 08:00:00,1.44,1.44,1.43,1.43
2023-11-23 12:00:00,1.42,1.42,1.4,1.4
2023-11-23 16:00:00,1.39,1.4,1.39,1.4
2023-11-23 20:00:00,1.37,1.37,1.35,1.35
2023-11-24 00:00:00,1.36,1.37,1.34,1.37
2023-11-24 04:00:00,1.36,1.38,1.35,1.38
2023-11-24 08:00:00,1.38,1.38,1.37,1.37
2023-11-24 12:00:00,1.39,1.42,1.39,1.42
2023-11-24 16:00:00,1.41,1.42,1.4,1.4
2023-11-24 20:00:00,1.4,1.4,1.38,1.38
2023-11-25 00:00:00,1.37,1.37,1.36,1.36
2023-11-25 04:00:00,1.35,1.39,1.35,1.39
2023-11-25 08:00:00,1.39,1.39,1.39,1.39
2023-11-25 12:00:00,1.39,1.39,1.39,1.39
2023-11-25 16:00:00,1.38,1.38,1.36,1.36
2023-11-25 20:00:00,1.37,1.38,1.37,1.38
2023-11-26 00:00:00,1.39,1.39,1.39,1.39
2023-11-26 04:00:00,1.39,1.39,1.38,1.39
2023-11-26 08:00:00,1.38,1.38,1.38,1.38
2023-11-26 12:00:00,1.39,1.41,1.39,1.4
2023-11-26 16:00:00,1.4,1.4,1.39,1.4
2023-11-26 20:00:00,1.4,1.4,1.39,1.39
2023-11-27 00:00:00,1.39,1.42,1.39,1.42
2023-11-27 04:00:00,1.41,1.42,1.41,1.42
2023-11-27 08:00:00,1.5,1.5,1.43,1.46
2023-11-27 12:00:00,1.45,1.46,1.45,1.45
2023-11-27 16:00:00,1.44,1.48,1.44,1.46
2023-11-27 20:00:00,1.43,1.43,1.43,1.43
2023-11-28 00:00:00,1.39,1.39,1.38,1.39
2023-11-28 04:00:00,1.41,1.43,1.41,1.42
2023-11-28 08:00:00,1.42,1.42,1.4,1.4
2023-11-28 12:00:00,1.4,1.4,1.39,1.39
2023-11-28 16:00:00,1.42,1.44,1.42,1.43
2023-11-28 20:00:00,1.44,1.45,1.44,1.45
2023-11-29 00:00:00,1.46,1.46,1.45,1.45
2023-11-29 04:00:00,1.45,1.45,1.44,1.45
2023-11-29 08:00:00,1.44,1.44,1.42,1.43
2023-11-29 12:00:00,1.42,1.42,1.4,1.4
2023-11-29 16:00:00,1.41,1.41,1.39,1.39
2023-11-29 20:00:00,1.39,1.39,1.38,1.38
2023-11-30 00:00:00,1.38,1.38,1.34,1.35
2023-11-30 04:00:00,1.35,1.35,1.35,1.35
2023-11-30 08:00:00,1.35,1.36,1.34,1.34
2023-11-30 12:00:00,1.34,1.34,1.32,1.32
2023-11-30 16:00:00,1.32,1.33,1.32,1.32
2023-11-30 20:00:00,1.32,1.32,1.31,1.32
2023-12-01 00:00:00,1.32,1.32,1.28,1.28
2023-12-01 04:00:00,1.29,1.3,1.29,1.3
2023-12-01 08:00:00,1.3,1.3,1.28,1.28
2023-12-01 12:00:00,1.28,1.28,1.27,1.28
2023-12-01 16:00:00,1.32,1.35,1.32,1.35
2023-12-01 20:00:00,1.35,1.35,1.32,1.33
2023-12-02 00:00:00,1.32,1.32,1.31,1.31
2023-12-02 04:00:00,1.3,1.3,1.3,1.3
2023-12-02 08:00:00,1.3,1.3,1.28,1.28
2023-12-02 12:00:00,1.28,1.28,1.27,1.28
2023-12-02 16:00:00,1.28,1.29,1.28,1.29
2023-12-02 20:00:00,1.28,1.29,1.28,1.29
2023-12-03 00:00:00,1.31,1.34,1.31,1.34
2023-12-03 04:00:00,1.34,1.35,1.33,1.33
2023-12-03 08:00:00,1.34,1.35,1.34,1.35
2023-12-03 12:00:00,1.35,1.39,1.35,1.35
2023-12-03 16:00:00,1.34,1.34,1.33,1.33
2023-12-03 20:00:00,1.33,1.34,1.33,1.34
2023-12-04 00:00:00,1.33,1.36,1.33,1.36
2023-12-04 04:00:00,1.38,1.38,1.36,1.36
2023-12-04 08:00:00,1.35,1.36,1.35,1.36
2023-12-04 12:00:00,1.37,1.39,1.37,1.39
2023-12-04 16:00:00,1.35,1.35,1.35,1.35
2023-12-04 20:00:00,1.35,1.36,1.35,1.35
2023-12-05 00:00:00,1.35,1.37,1.35,1.36
2023-12-05 04:00:00,1.37,1.37,1.36,1.36
2023-12-05 08:00:00,1.36,1.36,1.35,1.35
2023-12-05 12:00:00,1.35,1.36,1.35,1.36
2023-12-05 16:00:00,1.37,1.38,1.35,1.35
2023-12-05 20:00:00,1.36,1.36,1.36,1.36
2023-12-06 00:00:00,1.35,1.35,1.35,1.35
2023-12-06 04:00:00,1.34,1.35,1.33,1.33
2023-12-06 08:00:00,1.32,1.32,1.3,1.31
2023-12-06 12:00:00,1.32,1.32,1.3,1.3
2023-12-06 16:00:00,1.3,1.3,1.29,1.29
2023-12-06 20:00:00,1.3,1.3,1.29,1.3
2023-12-07 00:00:00,1.3,1.3,1.28,1.28
2023-12-07 04:00:00,1.28,1.28,1.25,1.25
2023-12-07 08:00:00,1.24,1.27,1.24,1.27
2023-12-07 12:00:00,1.27,1.27,1.24,1.24
2023-12-07 16:00:00,1.24,1.24,1.22,1.24
2023-12-07 20:00:00,1.28,1.29,1.26,1.26
2023-12-08 00:00:00,1.26,1.29,1.26,1.29
2023-12-08 04:00:00,1.29,1.29,1.27,1.28
2023-12-08 08:00:00,1.29,1.29,1.24,1.26
2023-12-08 12:00:00,1.25,1.26,1.25,1.25
2023-12-08 16:00:00,1.26,1.28,1.26,1.28
2023-12-08 20:00:00,1.33,1.34,1.33,1.34
2023-12-09 00:00:00,1.33,1.34,1.33,1.34
2023-12-09 04:00:00,1.33,1.35,1.33,1.35
2023-12-09 08:00:00,1.35,1.37,1.35,1.37
2023-12-09 12:00:00,1.39,1.39,1.35,1.36
2023-12-09 16:00:00,1.35,1.35,1.34,1.34
2023-12-09 20:00:00,1.34,1.34,1.31,1.31
2023-12-10 00:00:00,1.31,1.33,1.31,1.33
2023-12-10 04:00:00,1.32,1.33,1.32,1.33
2023-12-10 08:00:00,1.33,1.33,1.32,1.32
2023-12-10 12:00:00,1.33,1.33,1.31,1.31
2023-12-10 16:00:00,1.32,1.33,1.32,1.32
2023-12-10 20:00:00,1.33,1.33,1.32,1.32
2023-12-11 00:00:00,1.31,1.31,1.31,1.31
2023-12-11 04:00:00,1.3,1.3,1.26,1.26
2023-12-11 08:00:00,1.26,1.26,1.25,1.25
2023-12-11 12:00:00,1.25,1.26,1.25,1.26
2023-12-11 16:00:00,1.26,1.28,1.26,1.27
2023-12-11 20:00:00,1.28,1.3,1.28,1.28
2023-12-12 00:00:00,1.26,1.27,1.26,1.26
2023-12-12 04:00:00,1.26,1.26,1.24,1.24
2023-12-12 08:00:00,1.25,1.25,1.23,1.24
2023-12-12 12:00:00,1.24,1.29,1.24,1.29
2023-12-12 16:00:00,1.29,1.3,1.29,1.3
2023-12-12 20:00:00,1.29,1.35,1.27,1.27
2023-12-13 00:00:00,1.26,1.26,1.26,1.26
2023-12-13 04:00:00,1.27,1.28,1.26,1.26
2023-12-13 08:00:00,1.26,1.26,1.26,1.26
2023-12-13 12:00:00,1.25,1.26,1.25,1.26
2023-12-13 16:00:00,1.26,1.28,1.26,1.28
2023-12-13 20:00:00,1.28,1.29,1.28,1.29
2023-12-14 00:00:00,1.3,1.31,1.3,1.31
2023-12-14 04:00:00,1.31,1.32,1.31,1.31
2023-12-14 08:00:00,1.32,1.32,1.27,1.27
2023-12-14 12:00:00,1.29,1.32,1.29,1.32
2023-12-14 16:00:00,1.33,1.33,1.29,1.3
2023-12-14 20:00:00,1.3,1.39,1.3,1.39
2023-12-15 00:00:00,1.43,1.46,1.43,1.46
2023-12-15 04:00:00,1.5,1.5,1.46,1.46
2023-12-15 08:00:00,1.46,1.48,1.46,1.46
2023-12-15 12:00:00,1.44,1.47,1.44,1.47
2023-12-15 16:00:00,1.52,1.62,1.52,1.56
2023-12-15 20:00:00,1.55,1.68,1.55,1.68
2023-12-16 00:00:00,1.69,1.72,1.67,1.67
2023-12-16 04:00:00,1.66,1.76,1.66,1.76
2023-12-16 08:00:00,1.79,1.79,1.73,1.73
2023-12-16 12:00:00,1.66,1.67,1.63,1.63
2023-12-16 16:00:00,1.63,1.67,1.63,1.67
2023-12-16 20:00:00,1.72,1.81,1.72,1.76
2023-12-17 00:00:00,1.78,1.84,1.78,1.84
2023-12-17 04:00:00,1.87,1.87,1.82,1.82
2023-12-17 08:00:00,1.76,1.79,1.74,1.74
2023-12-17 12:00:00,1.72,1.81,1.71,1.81
2023-12-17 16:00:00,1.86,1.86,1.74,1.74
2023-12-17 20:00:00,1.71,1.74,1.7,1.73
2023-12-18 00:00:00,1.73,1.73,1.67,1.67
