date,open,high,low,close
2023-11-18 04:00:00,7.04e-06,7.04e-06,6.76e-06,6.78e-06
2023-11-18 08:00:00,6.82e-06,6.88e-06,6.77e-06,6.88e-06
2023-11-18 12:00:00,6.79e-06,7.05e-06,6.73e-06,6.87e-06
2023-11-18 16:00:00,6.78e-06,7.19e-06,6.78e-06,7.19e-06
2023-11-18 20:00:00,7.02e-06,7.14e-06,6.96e-06,7.14e-06
2023-11-19 00:00:00,7.18e-06,7.3e-06,6.86e-06,7.13e-06
2023-11-19 04:00:00,7.13e-06,7.18e-06,7.13e-06,7.16e-06
2023-11-19 08:00:00,7.05e-06,7.17e-06,7.05e-06,7.15e-06
2023-11-19 12:00:00,7.47e-06,7.47e-06,6.79e-06,6.79e-06
2023-11-19 16:00:00,7.05e-06,7.14e-06,7e-06,7.06e-06
2023-11-19 20:00:00,6.94e-06,1.781e-05,6.94e-06,1.71e-05
2023-11-20 00:00:00,1.401e-05,1.401e-05,1.23e-05,1.23e-05
2023-11-20 04:00:00,1.228e-05,1.228e-05,1.118e-05,1.132e-05
2023-11-20 08:00:00,1.279e-05,1.59e-05,1.101e-05,1.59e-05
2023-11-20 12:00:00,1.501e-05,1.696e-05,1.33e-05,1.696e-05
2023-11-20 16:00:00,1.302e-05,1.311e-05,1.27e-05,1.274e-05
2023-11-20 20:00:00,1.346e-05,1.387e-05,9.64e-06,9.64e-06
2023-11-21 00:00:00,9.57e-06,9.57e-06,9.3e-06,9.38e-06
2023-11-21 04:00:00,9.41e-06,1.104e-05,9.06e-06,1.104e-05
2023-11-21 08:00:00,1.105e-05,1.105e-05,1.018e-05,1.018e-05
2023-11-21 12:00:00,1.021e-05,1.281e-05,1.021e-05,1.281e-05
2023-11-21 16:00:00,1.107e-05,1.107e-05,1.047e-05,1.047e-05
2023-11-21 20:00:00,1.045e-05,1.045e-05,9.41e-06,1.029e-05
2023-11-22 00:00:00,9.45e-06,9.45e-06,8.92e-06,9.35e-06
2023-11-22 04:00:00,9.06e-06,9.08e-06,8.96e-06,8.96e-06
2023-11-22 08:00:00,8.9e-06,9.51e-06,8.9e-06,9.26e-06
2023-11-22 12:00:00,9.27e-06,9.27e-06,8.96e-06,8.96e-06
2023-11-22 16:00:00,9.21e-06,9.24e-06,9.15e-06,9.24e-06
2023-11-22 20:00:00,8.96e-06,9.19e-06,8.96e-06,9.19e-06
2023-11-23 00:00:00,9.19e-06,9.19e-06,8.98e-06,8.98e-06
2023-11-23 04:00:00,9.08e-06,9.08e-06,9e-06,9.05e-06
2023-11-23 08:00:00,9.01e-06,9.13e-06,9e-06,9.13e-06
2023-11-23 12:00:00,8.82e-06,8.82e-06,8.82e-06,8.82e-06
2023-11-23 16:00:00,8.6e-06,8.6e-06,7.72e-06,7.72e-06
2023-11-23 20:00:00,7.88e-06,8.59e-06,7.88e-06,8.54e-06
2023-11-24 00:00:00,8.63e-06,9.53e-06,8.63e-06,9.45e-06
2023-11-24 04:00:00,9.75e-06,9.75e-06,9.22e-06,9.58e-06
2023-11-24 08:00:00,9.49e-06,9.49e-06,7.96e-06,7.96e-06
2023-11-24 12:00:00,8.03e-06,8.6e-06,8.03e-06,8.29e-06
2023-11-24 16:00:00,8.11e-06,8.12e-06,7.8e-06,7.8e-06
2023-11-24 20:00:00,7.91e-06,8.09e-06,7.91e-06,8.09e-06
2023-11-25 00:00:00,7.86e-06,8.06e-06,7.86e-06,8.01e-06
2023-11-25 04:00:00,8e-06,8.05e-06,8e-06,8.03e-06
2023-11-25 08:00:00,8e-06,8e-06,7.94e-06,7.94e-06
2023-11-25 12:00:00,7.95e-06,7.98e-06,7.91e-06,7.94e-06
2023-11-25 16:00:00,7.87e-06,7.91e-06,7.81e-06,7.89e-06
2023-11-25 20:00:00,7.94e-06,7.94e-06,7.41e-06,7.52e-06
2023-11-26 00:00:00,7.37e-06,7.63e-06,7.37e-06,7.63e-06
2023-11-26 04:00:00,7.48e-06,7.8e-06,7.48e-06,7.8e-06
2023-11-26 08:00:00,7.52e-06,7.92e-06,7.52e-06,7.92e-06
2023-11-26 12:00:00,7.92e-06,7.92e-06,7.68e-06,7.77e-06
2023-11-26 16:00:00,7.68e-06,7.68e-06,7.24e-06,7.36e-06
2023-11-26 20:00:00,7.34e-06,7.34e-06,6.69e-06,6.89e-06
2023-11-27 00:00:00,7.16e-06,7.16e-06,7.05e-06,7.15e-06
