date,open,high,low,close
2023-11-18 04:00:00,1.012,1.012,1.008,1.008
2023-11-18 08:00:00,1.003,1.005,0.99735,0.99735
2023-11-18 12:00:00,1.006,1.013,1.006,1.013
2023-11-18 16:00:00,1.008,1.009,1.003,1.007
2023-11-18 20:00:00,1.018,1.018,1.008,1.014
2023-11-19 00:00:00,1.012,1.013,1.01,1.01
2023-11-19 04:00:00,1.011,1.011,1.005,1.01
2023-11-19 08:00:00,1.01,1.013,1.01,1.013
2023-11-19 12:00:00,1.016,1.016,1.012,1.012
2023-11-19 16:00:00,1.007,1.015,1.007,1.014
2023-11-19 20:00:00,1.016,1.018,1.013,1.018
2023-11-20 00:00:00,1.023,1.025,1.02,1.025
2023-11-20 04:00:00,1.021,1.021,1.013,1.013
2023-11-20 08:00:00,1.018,1.024,1.018,1.022
2023-11-20 12:00:00,1.02,1.031,1.02,1.031
2023-11-20 16:00:00,1.029,1.031,1.023,1.031
2023-11-20 20:00:00,1.03,1.03,1.014,1.025
2023-11-21 00:00:00,1.014,1.022,1.014,1.017
2023-11-21 04:00:00,1.013,1.024,1.013,1.016
2023-11-21 08:00:00,1.012,1.015,1.012,1.015
2023-11-21 12:00:00,1.01,1.019,1.01,1.013
2023-11-21 16:00:00,1.009,1.011,1.003,1.003
2023-11-21 20:00:00,1.003,1.013,1.003,1.005
2023-11-22 00:00:00,1.005,1.01,1.001,1.001
2023-11-22 04:00:00,1.002,1.012,1.001,1.012
2023-11-22 08:00:00,1.012,1.013,0.998373,0.998373
2023-11-22 12:00:00,0.996564,1.001,0.996564,1.0
2023-11-22 16:00:00,0.998906,1.003,0.998906,1.001
2023-11-22 20:00:00,1.0,1.005,0.99877,1.005
2023-11-23 00:00:00,1.004,1.007,1.004,1.005
2023-11-23 04:00:00,1.002,1.007,1.001,1.004
2023-11-23 08:00:00,1.004,1.005,1.003,1.003
2023-11-23 12:00:00,1.003,1.006,1.002,1.002
2023-11-23 16:00:00,1.001,1.001,0.999474,1.001
2023-11-23 20:00:00,0.997755,1.003,0.997755,1.003
2023-11-24 00:00:00,1.003,1.005,1.0,1.005
2023-11-24 04:00:00,1.006,1.009,1.006,1.008
2023-11-24 08:00:00,1.007,1.01,1.007,1.01
2023-11-24 12:00:00,1.013,1.017,1.009,1.017
2023-11-24 16:00:00,1.009,1.01,1.009,1.009
2023-11-24 20:00:00,1.01,1.01,1.007,1.007
2023-11-25 00:00:00,1.004,1.005,1.004,1.005
2023-11-25 04:00:00,1.005,1.011,1.005,1.011
2023-11-25 08:00:00,1.013,1.013,1.01,1.011
2023-11-25 12:00:00,1.019,1.019,1.005,1.005
2023-11-25 16:00:00,1.003,1.014,1.003,1.012
2023-11-25 20:00:00,1.01,1.011,1.009,1.011
2023-11-26 00:00:00,1.013,1.013,1.01,1.013
2023-11-26 04:00:00,1.01,1.01,1.004,1.007
2023-11-26 08:00:00,1.006,1.01,1.006,1.01
2023-11-26 12:00:00,1.01,1.01,1.006,1.006
2023-11-26 16:00:00,1.004,1.009,1.002,1.002
2023-11-26 20:00:00,1.002,1.006,0.99915,0.99915
2023-11-27 00:00:00,1.006,1.012,1.006,1.012
2023-11-27 04:00:00,1.01,1.013,1.004,1.004
2023-11-27 08:00:00,1.003,1.005,1.001,1.001
2023-11-27 12:00:00,1.002,1.003,0.999427,0.999427
2023-11-27 16:00:00,1.003,1.004,1.001,1.001
2023-11-27 20:00:00,1.0,1.001,0.998636,0.998636
2023-11-28 00:00:00,1.001,1.005,0.999698,1.004
2023-11-28 04:00:00,1.012,1.012,1.003,1.003
2023-11-28 08:00:00,1.001,1.002,0.997872,1.002
2023-11-28 12:00:00,1.006,1.007,1.006,1.006
2023-11-28 16:00:00,1.012,1.012,1.008,1.008
2023-11-28 20:00:00,1.008,1.019,1.003,1.003
2023-11-29 00:00:00,1.008,1.011,0.998641,0.998641
2023-11-29 04:00:00,1.001,1.002,0.99938,0.99938
2023-11-29 08:00:00,0.99942,1.003,0.998871,1.003
2023-11-29 12:00:00,1.003,1.005,1.0,1.0
2023-11-29 16:00:00,1.004,1.011,1.001,1.001
