date,open,high,low,close
2023-11-18 04:00:00,13.47,13.5,13.43,13.43
2023-11-18 08:00:00,13.43,13.43,13.4,13.4
2023-11-18 12:00:00,13.38,13.41,13.32,13.32
2023-11-18 16:00:00,13.25,13.25,13.17,13.19
2023-11-18 20:00:00,13.39,13.39,13.18,13.26
2023-11-19 00:00:00,13.18,13.21,13.07,13.07
2023-11-19 04:00:00,13.09,13.09,13.05,13.05
2023-11-19 08:00:00,13.07,13.11,13.04,13.11
2023-11-19 12:00:00,13.15,13.2,13.14,13.14
2023-11-19 16:00:00,13.03,13.1,13.03,13.03
2023-11-19 20:00:00,13.12,13.12,12.83,12.95
2023-11-20 00:00:00,12.98,12.98,12.85,12.85
2023-11-20 04:00:00,13.02,13.02,12.98,13.02
2023-11-20 08:00:00,12.9,12.94,12.9,12.92
2023-11-20 12:00:00,12.94,13.02,12.94,13.0
2023-11-20 16:00:00,12.95,12.98,12.88,12.92
2023-11-20 20:00:00,12.95,12.97,12.85,12.97
2023-11-21 00:00:00,13.03,13.03,12.9,12.95
2023-11-21 04:00:00,13.13,13.13,13.05,13.05
2023-11-21 08:00:00,13.05,13.05,12.99,13.0
2023-11-21 12:00:00,13.0,13.01,13.0,13.01
2023-11-21 16:00:00,12.96,12.96,12.56,12.56
2023-11-21 20:00:00,12.68,12.68,12.57,12.57
2023-11-22 00:00:00,12.6,12.6,12.42,12.42
2023-11-22 04:00:00,12.26,12.27,12.22,12.27
2023-11-22 08:00:00,12.3,13.05,11.92,12.33
2023-11-22 12:00:00,12.39,12.44,12.39,12.43
2023-11-22 16:00:00,12.46,12.53,12.42,12.46
2023-11-22 20:00:00,12.49,12.83,12.49,12.83
2023-11-23 00:00:00,12.91,13.07,12.91,13.05
2023-11-23 04:00:00,13.08,13.1,12.99,13.07
2023-11-23 08:00:00,13.08,13.08,13.06,13.06
2023-11-23 12:00:00,13.03,13.24,13.03,13.19
2023-11-23 16:00:00,13.11,13.11,13.0,13.0
2023-11-23 20:00:00,12.91,12.96,12.91,12.95
2023-11-24 00:00:00,13.0,13.1,12.99,12.99
2023-11-24 04:00:00,12.98,12.99,12.94,12.94
2023-11-24 08:00:00,12.98,13.03,12.98,13.03
2023-11-24 12:00:00,13.01,13.05,13.0,13.04
2023-11-24 16:00:00,13.15,13.15,12.99,13.05
2023-11-24 20:00:00,13.07,13.07,12.87,12.87
2023-11-25 00:00:00,12.78,12.82,12.76,12.82
2023-11-25 04:00:00,12.79,13.03,12.79,13.03
2023-11-25 08:00:00,12.87,13.03,12.87,12.93
2023-11-25 12:00:00,12.95,12.95,12.86,12.92
2023-11-25 16:00:00,12.95,12.95,12.81,12.81
2023-11-25 20:00:00,12.78,12.85,12.78,12.83
2023-11-26 00:00:00,12.78,12.78,12.72,12.72
2023-11-26 04:00:00,12.7,12.88,12.69,12.88
2023-11-26 08:00:00,12.7,12.86,12.65,12.86
2023-11-26 12:00:00,12.71,12.71,12.69,12.69
2023-11-26 16:00:00,12.69,13.24,12.67,13.18
2023-11-26 20:00:00,13.17,13.17,13.12,13.17
2023-11-27 00:00:00,13.11,13.2,13.11,13.18
2023-11-27 04:00:00,13.23,13.24,13.18,13.18
2023-11-27 08:00:00,12.63,13.07,12.53,12.53
2023-11-27 12:00:00,12.75,13.02,12.75,12.91
2023-11-27 16:00:00,12.96,12.96,12.64,12.64
2023-11-27 20:00:00,12.67,12.71,12.65,12.69
2023-11-28 00:00:00,12.64,12.64,12.51,12.6
2023-11-28 04:00:00,12.68,12.73,12.54,12.54
2023-11-28 08:00:00,12.48,12.63,12.48,12.61
2023-11-28 12:00:00,12.62,12.68,12.6,12.6
2023-11-28 16:00:00,12.64,12.64,12.59,12.61
2023-11-28 20:00:00,12.69,12.83,12.69,12.83
2023-11-29 00:00:00,12.82,12.82,12.68,12.68
2023-11-29 04:00:00,12.68,12.68,12.64,12.64
2023-11-29 08:00:00,12.65,12.71,12.6,12.67
2023-11-29 12:00:00,12.81,12.96,12.76,12.76
2023-11-29 16:00:00,12.8,12.8,12.69,12.69
2023-11-29 20:00:00,12.67,12.7,12.58,12.68
2023-11-30 00:00:00,12.65,12.65,12.54,12.56
2023-11-30 04:00:00,12.65,12.67,12.63,12.67
2023-11-30 08:00:00,12.66,12.7,12.62,12.69
2023-11-30 12:00:00,12.7,12.7,12.64,12.65
2023-11-30 16:00:00,12.7,12.7,12.55,12.59
2023-11-30 20:00:00,12.53,12.6,12.49,12.6
2023-12-01 00:00:00,12.59,12.59,12.05,12.07
2023-12-01 04:00:00,12.06,12.16,12.03,12.16
2023-12-01 08:00:00,12.17,12.22,12.17,12.22
2023-12-01 12:00:00,12.21,12.36,12.21,12.3
2023-12-01 16:00:00,12.34,12.34,12.14,12.14
2023-12-01 20:00:00,12.18,12.33,12.18,12.29
2023-12-02 00:00:00,12.24,12.27,11.8,11.8
2023-12-02 04:00:00,11.8,11.82,11.8,11.81
2023-12-02 08:00:00,11.87,11.88,11.87,11.87
2023-12-02 12:00:00,11.86,11.86,11.84,11.85
2023-12-02 16:00:00,11.85,11.85,11.82,11.82
2023-12-02 20:00:00,11.8,11.87,11.78,11.87
2023-12-03 00:00:00,11.94,12.01,11.94,11.96
2023-12-03 04:00:00,11.99,11.99,11.93,11.93
2023-12-03 08:00:00,11.92,12.05,11.92,12.03
2023-12-03 12:00:00,12.05,12.05,12.02,12.02
2023-12-03 16:00:00,11.99,11.99,11.41,11.5
2023-12-03 20:00:00,11.47,11.47,11.35,11.35
2023-12-04 00:00:00,11.35,11.53,11.35,11.53
2023-12-04 04:00:00,11.51,11.66,11.51,11.66
