date,open,high,low,close
2023-11-18 04:00:00,8.57,8.57,8.52,8.52
2023-11-18 08:00:00,8.42,8.47,8.2,8.2
2023-11-18 12:00:00,8.33,8.47,8.33,8.47
2023-11-18 16:00:00,8.46,8.48,8.34,8.45
2023-11-18 20:00:00,8.65,8.67,8.65,8.67
2023-11-19 00:00:00,8.77,8.77,8.69,8.69
2023-11-19 04:00:00,8.69,8.69,8.51,8.56
2023-11-19 08:00:00,8.55,8.94,8.55,8.94
2023-11-19 12:00:00,9.0,9.12,8.95,8.95
2023-11-19 16:00:00,8.94,8.94,8.83,8.88
2023-11-19 20:00:00,8.93,9.07,8.87,9.07
2023-11-20 00:00:00,9.09,9.09,9.03,9.05
2023-11-20 08:00:00,8.91,8.92,8.86,8.87
2023-11-20 12:00:00,8.83,9.0,8.83,9.0
2023-11-20 16:00:00,8.91,8.92,8.88,8.88
2023-11-20 20:00:00,8.79,8.79,8.52,8.52
2023-11-21 00:00:00,8.56,8.56,8.41,8.42
2023-11-21 08:00:00,8.3,8.36,8.3,8.36
2023-11-21 12:00:00,8.27,8.46,8.27,8.45
2023-11-21 16:00:00,8.36,8.36,8.25,8.25
2023-11-21 20:00:00,7.98,8.27,7.86,7.86
2023-11-22 00:00:00,8.07,8.07,7.96,7.96
2023-11-22 04:00:00,7.69,7.69,7.69,7.69
2023-11-22 08:00:00,8.09,8.13,8.05,8.13
2023-11-22 12:00:00,8.15,8.18,8.11,8.15
2023-11-22 16:00:00,8.13,8.18,8.13,8.14
2023-11-22 20:00:00,8.18,8.34,8.15,8.34
2023-11-23 00:00:00,8.5,8.5,8.5,8.5
2023-11-23 08:00:00,8.63,8.63,8.6,8.6
2023-11-23 12:00:00,8.58,8.67,8.58,8.62
2023-11-23 16:00:00,8.56,8.62,8.53,8.53
2023-11-23 20:00:00,8.45,8.46,8.42,8.43
2023-11-24 00:00:00,8.37,8.41,8.37,8.41
2023-11-24 04:00:00,8.41,84.94,8.41,84.94
2023-11-24 08:00:00,8.58,8.58,8.55,8.55
2023-11-24 12:00:00,8.58,8.73,8.58,8.7
2023-11-24 16:00:00,8.72,8.72,8.62,8.62
