date,open,high,low,close
2023-11-18 04:00:00,23.87,23.93,23.83,23.83
2023-11-18 08:00:00,23.83,23.83,23.76,23.76
2023-11-18 12:00:00,23.72,23.79,23.62,23.62
2023-11-18 16:00:00,23.49,23.49,23.36,23.39
2023-11-18 20:00:00,23.75,23.75,23.37,23.51
2023-11-19 00:00:00,23.37,23.43,23.25,23.25
2023-11-19 04:00:00,23.11,23.11,23.04,23.04
2023-11-19 08:00:00,23.07,23.15,23.02,23.15
2023-11-19 12:00:00,23.22,23.36,23.22,23.24
2023-11-19 16:00:00,23.06,23.17,23.06,23.06
2023-11-19 20:00:00,23.22,23.22,22.71,22.91
2023-11-20 00:00:00,22.98,22.98,22.9,22.9
2023-11-20 04:00:00,23.21,23.21,23.15,23.21
2023-11-20 08:00:00,23.0,23.09,23.0,23.05
2023-11-20 12:00:00,23.02,23.22,23.02,23.2
2023-11-20 16:00:00,23.09,23.14,23.03,23.09
2023-11-20 20:00:00,23.18,23.26,23.0,23.26
2023-11-21 00:00:00,23.37,23.37,23.13,23.29
2023-11-21 04:00:00,23.55,23.55,23.38,23.41
2023-11-21 08:00:00,23.4,23.4,23.31,23.33
2023-11-21 12:00:00,23.29,23.36,22.98,23.36
2023-11-21 16:00:00,23.24,23.24,22.49,22.49
2023-11-21 20:00:00,22.65,22.65,22.46,22.46
2023-11-22 00:00:00,22.51,22.51,22.13,22.13
2023-11-22 04:00:00,21.84,21.87,21.79,21.86
2023-11-22 08:00:00,21.86,21.97,21.68,21.97
2023-11-22 12:00:00,22.09,22.1,22.01,22.01
2023-11-22 16:00:00,22.14,22.21,22.04,22.2
2023-11-22 20:00:00,22.5,23.11,22.5,23.11
2023-11-23 00:00:00,23.64,23.89,23.64,23.76
2023-11-23 04:00:00,23.69,23.73,23.04,23.68
2023-11-23 08:00:00,23.7,23.84,23.66,23.84
2023-11-23 12:00:00,22.59,24.2,22.59,24.1
2023-11-23 16:00:00,23.71,23.71,23.51,23.51
2023-11-23 20:00:00,23.36,23.48,23.36,23.4
2023-11-24 00:00:00,23.43,23.61,23.41,23.42
2023-11-24 04:00:00,23.28,23.52,23.27,23.52
2023-11-24 08:00:00,23.31,23.58,23.31,23.58
2023-11-24 12:00:00,23.4,23.63,23.27,23.63
2023-11-24 16:00:00,23.61,23.61,23.53,23.61
2023-11-24 20:00:00,23.71,23.71,23.02,23.02
2023-11-25 00:00:00,23.26,23.36,23.26,23.36
2023-11-25 04:00:00,23.37,23.58,22.94,23.58
2023-11-25 08:00:00,23.45,23.74,23.16,23.56
2023-11-25 12:00:00,23.7,23.7,23.4,23.4
2023-11-25 16:00:00,23.17,23.53,23.17,23.47
2023-11-25 20:00:00,23.39,23.51,23.2,23.2
2023-11-26 00:00:00,23.38,23.38,23.24,23.24
2023-11-26 04:00:00,23.19,23.26,22.93,23.26
2023-11-26 08:00:00,23.19,23.23,23.01,23.01
2023-11-26 12:00:00,23.21,23.21,23.16,23.16
2023-11-26 16:00:00,23.1,23.1,22.67,22.73
2023-11-26 20:00:00,22.92,22.92,22.73,22.83
2023-11-27 00:00:00,22.72,22.87,22.72,22.84
2023-11-27 04:00:00,22.97,22.99,22.9,22.9
2023-11-27 08:00:00,22.59,22.72,22.43,22.43
2023-11-27 12:00:00,22.56,22.61,22.43,22.43
2023-11-27 16:00:00,22.5,22.5,22.17,22.17
2023-11-27 20:00:00,22.29,22.33,22.23,22.3
2023-11-28 00:00:00,22.22,22.22,21.99,22.15
2023-11-28 04:00:00,22.28,22.37,22.28,22.3
2023-11-28 08:00:00,22.19,22.19,22.13,22.17
2023-11-28 12:00:00,22.28,22.28,22.2,22.2
