date,open,high,low,close
2023-11-27 12:00:00,7.11,7.11,7.11,7.11
2023-11-27 16:00:00,7.1,7.1,6.99,6.99
2023-11-27 20:00:00,7.0,7.04,7.0,7.0
2023-11-28 00:00:00,6.94,7.01,6.93,6.93
2023-11-28 04:00:00,6.98,7.0,6.95,6.95
2023-11-28 08:00:00,6.92,6.92,6.79,6.82
2023-11-28 12:00:00,6.83,6.85,6.8,6.83
2023-11-28 16:00:00,6.87,6.97,6.87,6.97
2023-11-28 20:00:00,6.94,7.09,6.94,7.09
2023-11-29 00:00:00,7.05,7.05,7.01,7.01
2023-11-29 04:00:00,7.02,7.05,6.86,6.86
2023-11-29 08:00:00,6.86,6.92,6.86,6.92
2023-11-29 12:00:00,6.89,6.97,6.89,6.9
2023-11-29 16:00:00,6.9,6.9,6.8,6.8
2023-11-29 20:00:00,6.8,6.81,6.72,6.79
2023-11-30 00:00:00,6.79,6.82,6.78,6.82
2023-11-30 04:00:00,6.81,6.82,6.8,6.8
2023-11-30 08:00:00,6.82,6.84,6.82,6.82
2023-11-30 12:00:00,6.81,6.81,6.75,6.79
2023-11-30 16:00:00,6.91,6.91,6.79,6.79
2023-11-30 20:00:00,6.83,6.85,6.79,6.85
2023-12-01 00:00:00,6.85,6.92,6.85,6.92
2023-12-01 04:00:00,6.93,7.0,6.89,7.0
2023-12-01 08:00:00,7.0,7.03,6.99,7.03
2023-12-01 12:00:00,7.02,7.04,6.92,6.92
2023-12-01 16:00:00,6.94,6.94,6.85,6.85
2023-12-01 20:00:00,6.86,6.98,6.86,6.98
2023-12-02 00:00:00,7.06,7.06,6.98,6.98
2023-12-02 04:00:00,6.99,7.02,6.99,7.02
2023-12-02 08:00:00,7.04,7.06,7.03,7.06
2023-12-02 12:00:00,7.1,7.15,7.1,7.14
2023-12-02 16:00:00,7.12,7.2,7.1,7.17
2023-12-02 20:00:00,7.18,7.23,7.11,7.23
2023-12-03 00:00:00,7.26,7.3,7.26,7.26
2023-12-03 04:00:00,7.23,7.38,7.23,7.36
2023-12-03 08:00:00,7.29,7.34,7.25,7.25
2023-12-03 12:00:00,7.24,7.24,7.2,7.21
2023-12-03 16:00:00,7.19,7.2,7.09,7.09
2023-12-03 20:00:00,7.12,7.12,7.09,7.09
2023-12-04 00:00:00,7.12,7.2,7.12,7.2
2023-12-04 04:00:00,7.16,7.3,7.15,7.3
2023-12-04 08:00:00,7.28,7.36,7.28,7.36
2023-12-04 12:00:00,7.39,7.42,7.35,7.35
2023-12-04 16:00:00,7.03,7.16,7.03,7.12
2023-12-04 20:00:00,7.04,7.3,7.04,7.22
2023-12-05 00:00:00,7.24,7.29,7.24,7.28
2023-12-05 04:00:00,7.63,7.63,7.44,7.44
2023-12-05 08:00:00,7.6,7.6,7.44,7.44
2023-12-05 12:00:00,7.38,7.41,7.31,7.41
2023-12-05 16:00:00,7.4,7.4,7.31,7.32
2023-12-05 20:00:00,7.38,7.68,7.38,7.68
2023-12-06 00:00:00,7.76,7.76,7.71,7.71
2023-12-06 04:00:00,7.76,7.91,7.74,7.74
2023-12-06 08:00:00,7.66,7.68,7.63,7.64
2023-12-06 12:00:00,7.6,7.68,7.6,7.62
2023-12-06 16:00:00,7.53,7.64,7.47,7.47
2023-12-06 20:00:00,7.47,7.62,7.47,7.62
2023-12-07 00:00:00,7.62,7.62,7.52,7.52
2023-12-07 04:00:00,7.46,7.52,7.46,7.48
2023-12-07 08:00:00,7.45,7.66,7.45,7.6
2023-12-07 12:00:00,7.61,7.64,7.55,7.58
2023-12-07 16:00:00,7.65,7.69,7.64,7.65
2023-12-07 20:00:00,7.8,8.07,7.8,8.06
2023-12-08 00:00:00,7.92,8.03,7.92,7.98
2023-12-08 04:00:00,7.97,7.98,7.93,7.93
2023-12-08 08:00:00,8.06,8.25,8.06,8.17
2023-12-08 12:00:00,8.38,8.54,8.28,8.54
2023-12-08 16:00:00,8.61,8.61,8.48,8.48
2023-12-08 20:00:00,8.46,8.61,8.46,8.61
2023-12-09 00:00:00,8.49,8.52,8.44,8.44
2023-12-09 04:00:00,8.52,8.75,8.52,8.59
2023-12-09 08:00:00,8.67,8.7,8.58,8.58
2023-12-09 12:00:00,8.74,8.75,8.58,8.75
2023-12-09 16:00:00,8.73,8.73,8.57,8.57
2023-12-09 20:00:00,8.58,8.58,8.47,8.47
2023-12-10 00:00:00,8.51,8.55,8.48,8.53
2023-12-10 04:00:00,8.35,8.47,8.35,8.43
2023-12-10 08:00:00,8.41,8.41,8.33,8.33
2023-12-10 12:00:00,8.29,8.29,8.15,8.15
2023-12-10 16:00:00,8.2,8.25,8.2,8.2
2023-12-10 20:00:00,8.26,8.35,8.18,8.35
2023-12-11 00:00:00,8.36,8.49,8.36,8.49
2023-12-11 04:00:00,8.44,8.44,7.81,7.81
2023-12-11 08:00:00,7.94,7.94,7.83,7.83
2023-12-11 12:00:00,7.88,7.92,7.87,7.88
2023-12-11 16:00:00,7.84,7.84,7.73,7.73
2023-12-11 20:00:00,7.74,7.76,7.59,7.59
2023-12-12 00:00:00,7.68,7.89,7.68,7.81
2023-12-12 04:00:00,7.78,8.01,7.78,8.01
2023-12-12 08:00:00,8.0,8.0,7.96,7.96
2023-12-12 12:00:00,8.12,8.19,8.08,8.08
2023-12-12 16:00:00,8.06,8.6,8.06,8.6
2023-12-12 20:00:00,8.82,8.88,8.69,8.88
2023-12-13 00:00:00,8.78,8.93,8.78,8.93
2023-12-13 04:00:00,9.13,9.13,8.62,8.62
2023-12-13 08:00:00,8.79,8.81,8.35,8.35
2023-12-13 12:00:00,8.38,8.38,8.25,8.25
2023-12-13 16:00:00,8.21,8.4,8.21,8.34
