date,open,high,low,close
2023-12-16 16:00:00,1.53,1.53,1.48,1.48
2023-12-16 20:00:00,1.46,1.46,1.3,1.35
2023-12-17 00:00:00,1.32,1.32,1.26,1.26
2023-12-17 04:00:00,1.17,1.18,1.049,1.18
2023-12-17 08:00:00,1.15,1.15,0.83637,0.83637
2023-12-17 12:00:00,0.971681,0.971681,0.90981,0.90981
2023-12-17 16:00:00,0.736409,0.902479,0.698981,0.902479
2023-12-17 20:00:00,0.935554,0.962317,0.902868,0.902868
2023-12-18 00:00:00,0.939647,0.939647,0.781333,0.781333
2023-12-18 04:00:00,0.749732,0.749732,0.749732,0.749732
