date,open,high,low,close
2023-11-18 04:00:00,4.65e-06,4.65e-06,4.62e-06,4.64e-06
2023-11-18 08:00:00,4.6e-06,4.62e-06,4.59e-06,4.59e-06
2023-11-18 12:00:00,4.55e-06,4.77e-06,4.53e-06,4.77e-06
2023-11-18 16:00:00,5e-06,5.02e-06,5e-06,5.02e-06
2023-11-18 20:00:00,5.04e-06,5.12e-06,5.04e-06,5.11e-06
2023-11-19 00:00:00,5.1e-06,5.11e-06,5.05e-06,5.05e-06
2023-11-19 04:00:00,5.06e-06,5.06e-06,5.03e-06,5.03e-06
2023-11-19 08:00:00,5.03e-06,5.06e-06,5.03e-06,5.06e-06
2023-11-19 12:00:00,4.74e-06,4.74e-06,4.73e-06,4.73e-06
2023-11-19 16:00:00,4.71e-06,4.71e-06,4.27e-06,4.27e-06
2023-11-19 20:00:00,4.3e-06,4.33e-06,4.3e-06,4.33e-06
2023-11-20 00:00:00,4.33e-06,4.34e-06,4.33e-06,4.33e-06
2023-11-20 04:00:00,4.38e-06,4.38e-06,4.23e-06,4.23e-06
2023-11-20 08:00:00,4.22e-06,4.22e-06,4.22e-06,4.22e-06
2023-11-20 12:00:00,4.22e-06,4.29e-06,4.22e-06,4.29e-06
2023-11-20 16:00:00,4.28e-06,4.3e-06,4.19e-06,4.2e-06
2023-11-20 20:00:00,4.23e-06,4.25e-06,4.22e-06,4.23e-06
2023-11-21 00:00:00,4.17e-06,4.17e-06,4.12e-06,4.13e-06
2023-11-21 04:00:00,4.15e-06,4.15e-06,4.14e-06,4.14e-06
2023-11-21 08:00:00,4.13e-06,4.13e-06,4.13e-06,4.13e-06
2023-11-21 12:00:00,4.12e-06,4.14e-06,4.12e-06,4.13e-06
2023-11-21 16:00:00,4.12e-06,4.12e-06,4.02e-06,4.02e-06
2023-11-21 20:00:00,3.99e-06,4.03e-06,3.91e-06,3.91e-06
2023-11-22 00:00:00,3.9e-06,3.92e-06,3.81e-06,3.81e-06
2023-11-22 04:00:00,3.79e-06,3.82e-06,3.79e-06,3.81e-06
2023-11-22 08:00:00,3.77e-06,3.81e-06,3.77e-06,3.81e-06
2023-11-22 12:00:00,3.82e-06,3.83e-06,3.71e-06,3.71e-06
2023-11-22 16:00:00,3.72e-06,3.74e-06,3.72e-06,3.74e-06
2023-11-22 20:00:00,3.74e-06,3.74e-06,3.62e-06,3.66e-06
2023-11-23 00:00:00,3.68e-06,3.73e-06,3.68e-06,3.73e-06
2023-11-23 04:00:00,3.7e-06,3.7e-06,3.68e-06,3.69e-06
2023-11-23 08:00:00,3.7e-06,3.7e-06,3.69e-06,3.69e-06
2023-11-23 12:00:00,3.69e-06,3.77e-06,3.69e-06,3.77e-06
2023-11-23 16:00:00,3.72e-06,3.74e-06,3.72e-06,3.73e-06
2023-11-23 20:00:00,3.74e-06,3.74e-06,3.71e-06,3.71e-06
2023-11-24 00:00:00,3.72e-06,3.74e-06,3.72e-06,3.72e-06
2023-11-24 04:00:00,3.73e-06,3.74e-06,3.73e-06,3.74e-06
2023-11-24 08:00:00,3.69e-06,3.69e-06,3.67e-06,3.67e-06
2023-11-24 12:00:00,3.66e-06,3.75e-06,3.66e-06,3.75e-06
2023-11-24 16:00:00,3.69e-06,3.69e-06,3.68e-06,3.69e-06
2023-11-24 20:00:00,3.72e-06,3.72e-06,3.68e-06,3.68e-06
2023-11-25 00:00:00,3.66e-06,3.67e-06,3.58e-06,3.58e-06
2023-11-25 04:00:00,3.49e-06,3.49e-06,3.47e-06,3.48e-06
2023-11-25 08:00:00,3.48e-06,3.49e-06,3.48e-06,3.49e-06
2023-11-25 12:00:00,3.49e-06,3.49e-06,3.48e-06,3.48e-06
2023-11-25 16:00:00,3.43e-06,3.44e-06,3.43e-06,3.44e-06
2023-11-25 20:00:00,3.3e-06,3.32e-06,3.3e-06,3.32e-06
2023-11-26 00:00:00,3.32e-06,3.32e-06,3.32e-06,3.32e-06
2023-11-26 04:00:00,3.32e-06,3.32e-06,3.25e-06,3.25e-06
2023-11-26 08:00:00,3.25e-06,3.25e-06,3.25e-06,3.25e-06
2023-11-26 12:00:00,3.26e-06,3.27e-06,3.26e-06,3.27e-06
