date,open,high,low,close
2023-11-18 04:00:00,5.328e-05,5.411e-05,5.328e-05,5.411e-05
2023-11-18 08:00:00,5.4e-05,5.531e-05,5.4e-05,5.531e-05
2023-11-18 12:00:00,5.542e-05,5.742e-05,5.542e-05,5.742e-05
2023-11-18 16:00:00,5.713e-05,5.713e-05,5.652e-05,5.652e-05
2023-11-18 20:00:00,5.642e-05,5.741e-05,5.642e-05,5.741e-05
2023-11-19 00:00:00,5.875e-05,5.875e-05,5.844e-05,5.844e-05
2023-11-19 04:00:00,5.975e-05,5.975e-05,5.924e-05,5.924e-05
2023-11-19 08:00:00,6.102e-05,6.102e-05,6.041e-05,6.041e-05
2023-11-19 12:00:00,6.012e-05,6.012e-05,5.979e-05,5.987e-05
2023-11-19 16:00:00,5.952e-05,6.142e-05,5.952e-05,6.142e-05
2023-11-19 20:00:00,6.491e-05,6.503e-05,6.426e-05,6.426e-05
2023-11-20 00:00:00,6.405e-05,6.573e-05,6.376e-05,6.573e-05
2023-11-20 04:00:00,6.546e-05,6.833e-05,6.531e-05,6.833e-05
2023-11-20 08:00:00,6.833e-05,7.033e-05,6.813e-05,7.033e-05
2023-11-20 12:00:00,7.035e-05,7.035e-05,6.974e-05,6.974e-05
2023-11-20 16:00:00,6.785e-05,6.794e-05,6.783e-05,6.783e-05
2023-11-20 20:00:00,6.772e-05,6.772e-05,6.686e-05,6.693e-05
2023-11-21 00:00:00,6.695e-05,6.785e-05,6.695e-05,6.753e-05
2023-11-21 04:00:00,6.726e-05,6.726e-05,6.679e-05,6.679e-05
2023-11-21 08:00:00,6.674e-05,6.674e-05,6.603e-05,6.603e-05
2023-11-21 12:00:00,6.545e-05,6.642e-05,6.493e-05,6.642e-05
2023-11-21 16:00:00,6.624e-05,6.624e-05,6.406e-05,6.406e-05
2023-11-21 20:00:00,6.38e-05,6.402e-05,6.38e-05,6.387e-05
2023-11-22 00:00:00,6.4e-05,6.433e-05,6.4e-05,6.432e-05
2023-11-22 04:00:00,6.413e-05,6.416e-05,6.403e-05,6.403e-05
2023-11-22 08:00:00,6.399e-05,6.399e-05,6.379e-05,6.379e-05
2023-11-22 12:00:00,6.382e-05,6.382e-05,6.365e-05,6.365e-05
2023-11-22 16:00:00,6.36e-05,6.373e-05,6.359e-05,6.361e-05
2023-11-22 20:00:00,6.483e-05,6.483e-05,6.48e-05,6.48e-05
2023-11-23 00:00:00,6.431e-05,6.458e-05,6.431e-05,6.458e-05
2023-11-23 04:00:00,6.452e-05,6.501e-05,6.452e-05,6.501e-05
2023-11-23 08:00:00,6.501e-05,7.07e-05,6.501e-05,7.051e-05
2023-11-23 12:00:00,7.051e-05,7.051e-05,6.92e-05,6.934e-05
2023-11-23 16:00:00,6.953e-05,6.953e-05,6.912e-05,6.921e-05
2023-11-23 20:00:00,6.861e-05,6.872e-05,6.808e-05,6.808e-05
2023-11-24 00:00:00,6.809e-05,6.937e-05,6.799e-05,6.937e-05
2023-11-24 04:00:00,6.938e-05,6.938e-05,6.922e-05,6.922e-05
2023-11-24 08:00:00,6.926e-05,7.003e-05,6.921e-05,7.003e-05
2023-11-24 12:00:00,7.033e-05,9.502e-05,7.033e-05,8.776e-05
2023-11-24 16:00:00,8.574e-05,0.00010075,8.574e-05,9.287e-05
2023-11-24 20:00:00,9.253e-05,9.253e-05,9.213e-05,9.236e-05
2023-11-25 00:00:00,9.244e-05,9.279e-05,9.244e-05,9.279e-05
2023-11-25 04:00:00,9.281e-05,9.281e-05,7.907e-05,7.907e-05
2023-11-25 08:00:00,7.815e-05,7.815e-05,7.543e-05,7.543e-05
2023-11-25 12:00:00,7.524e-05,7.524e-05,7.453e-05,7.453e-05
2023-11-25 16:00:00,7.393e-05,7.393e-05,7.265e-05,7.265e-05
2023-11-25 20:00:00,7.295e-05,7.295e-05,7.204e-05,7.254e-05
2023-11-26 00:00:00,7.325e-05,7.435e-05,7.325e-05,7.435e-05
2023-11-26 04:00:00,7.444e-05,7.484e-05,7.444e-05,7.484e-05
2023-11-26 08:00:00,7.495e-05,9.15e-05,7.495e-05,9.125e-05
2023-11-26 12:00:00,9.133e-05,9.135e-05,9.057e-05,9.057e-05
2023-11-26 16:00:00,9.041e-05,9.095e-05,9.025e-05,9.095e-05
2023-11-26 20:00:00,9.257e-05,9.282e-05,7.424e-05,7.424e-05
2023-11-27 00:00:00,7.281e-05,7.336e-05,7.191e-05,7.191e-05
2023-11-27 04:00:00,8.794e-05,8.794e-05,8.678e-05,8.702e-05
2023-11-27 08:00:00,8.673e-05,8.673e-05,8.648e-05,8.648e-05
2023-11-27 12:00:00,7.6e-05,7.6e-05,7.379e-05,7.388e-05
2023-11-27 16:00:00,7.388e-05,7.473e-05,7.387e-05,7.473e-05
2023-11-27 20:00:00,7.369e-05,7.369e-05,7.338e-05,7.338e-05
2023-11-28 00:00:00,7.406e-05,7.751e-05,7.26e-05,7.751e-05
2023-11-28 04:00:00,7.93e-05,7.93e-05,7.25e-05,7.25e-05
2023-11-28 08:00:00,7.234e-05,7.274e-05,7.22e-05,7.229e-05
2023-11-28 12:00:00,7.227e-05,7.229e-05,7.201e-05,7.21e-05
2023-11-28 16:00:00,7.762e-05,7.762e-05,7.318e-05,7.318e-05
2023-11-28 20:00:00,7.272e-05,7.464e-05,7.23e-05,7.464e-05
2023-11-29 00:00:00,7.542e-05,7.603e-05,7.413e-05,7.413e-05
2023-11-29 04:00:00,7.241e-05,7.494e-05,7.241e-05,7.346e-05
2023-11-29 08:00:00,7.344e-05,7.445e-05,7.328e-05,7.328e-05
2023-11-29 12:00:00,7.332e-05,7.391e-05,7.332e-05,7.391e-05
2023-11-29 16:00:00,7.37e-05,7.37e-05,7.305e-05,7.305e-05
2023-11-29 20:00:00,7.255e-05,7.255e-05,7.031e-05,7.031e-05
2023-11-30 00:00:00,7.024e-05,7.694e-05,6.936e-05,7.694e-05
2023-11-30 04:00:00,7.207e-05,7.207e-05,6.841e-05,6.841e-05
2023-11-30 08:00:00,6.714e-05,6.801e-05,6.663e-05,6.801e-05
2023-11-30 12:00:00,6.776e-05,6.776e-05,6.622e-05,6.622e-05
2023-11-30 16:00:00,6.613e-05,6.793e-05,6.611e-05,6.611e-05
2023-11-30 20:00:00,6.591e-05,6.591e-05,6.582e-05,6.582e-05
2023-12-01 00:00:00,6.561e-05,7.078e-05,6.561e-05,6.975e-05
2023-12-01 04:00:00,6.721e-05,7.099e-05,6.721e-05,6.781e-05
2023-12-01 08:00:00,6.69e-05,6.69e-05,6.573e-05,6.573e-05
2023-12-01 12:00:00,6.525e-05,6.575e-05,6.522e-05,6.575e-05
2023-12-01 16:00:00,6.612e-05,6.839e-05,6.612e-05,6.839e-05
2023-12-01 20:00:00,6.834e-05,7.214e-05,6.832e-05,7.214e-05
2023-12-02 00:00:00,7.316e-05,7.844e-05,7.316e-05,7.844e-05
2023-12-02 04:00:00,7.843e-05,7.847e-05,7.695e-05,7.695e-05
2023-12-02 08:00:00,7.694e-05,7.694e-05,7.633e-05,7.636e-05
2023-12-02 12:00:00,7.637e-05,7.637e-05,7.622e-05,7.635e-05
2023-12-02 16:00:00,7.643e-05,7.643e-05,7.233e-05,7.317e-05
2023-12-02 20:00:00,7.317e-05,7.32e-05,7.303e-05,7.32e-05
2023-12-03 00:00:00,7.19e-05,7.19e-05,6.884e-05,6.884e-05
2023-12-03 04:00:00,6.935e-05,6.935e-05,6.864e-05,6.864e-05
2023-12-03 08:00:00,6.852e-05,7.185e-05,6.852e-05,7.185e-05
2023-12-03 12:00:00,7.103e-05,7.103e-05,7.002e-05,7.044e-05
2023-12-03 16:00:00,6.932e-05,6.932e-05,6.885e-05,6.886e-05
2023-12-03 20:00:00,6.831e-05,6.972e-05,6.831e-05,6.972e-05
2023-12-04 00:00:00,6.932e-05,6.932e-05,6.077e-05,6.077e-05
2023-12-04 04:00:00,5.847e-05,6.51e-05,5.847e-05,6.193e-05
2023-12-04 08:00:00,6.582e-05,6.711e-05,6.582e-05,6.711e-05
2023-12-04 12:00:00,6.706e-05,6.801e-05,6.706e-05,6.801e-05
2023-12-04 16:00:00,6.773e-05,7.203e-05,6.773e-05,7.203e-05
2023-12-04 20:00:00,7.118e-05,7.261e-05,7.118e-05,7.241e-05
2023-12-05 00:00:00,7.234e-05,7.319e-05,7.234e-05,7.319e-05
2023-12-05 04:00:00,7.056e-05,7.068e-05,7.01e-05,7.01e-05
2023-12-05 08:00:00,7.067e-05,7.067e-05,7.041e-05,7.061e-05
2023-12-05 12:00:00,6.949e-05,7.065e-05,6.843e-05,7.065e-05
2023-12-05 16:00:00,6.999e-05,6.999e-05,6.67e-05,6.67e-05
2023-12-05 20:00:00,6.549e-05,7.267e-05,6.549e-05,7.267e-05
2023-12-06 00:00:00,7.212e-05,7.282e-05,6.777e-05,7.282e-05
2023-12-06 04:00:00,7.848e-05,8.056e-05,7.848e-05,8.056e-05
2023-12-06 08:00:00,8.799e-05,9.363e-05,8.799e-05,9.19e-05
