date,open,high,low,close
2023-11-18 04:00:00,7.14,7.14,7.04,7.09
2023-11-18 08:00:00,6.98,7.01,6.83,6.83
2023-11-18 12:00:00,6.91,6.95,6.91,6.94
2023-11-18 16:00:00,6.92,6.92,6.86,6.92
2023-11-18 20:00:00,7.05,7.08,7.04,7.08
2023-11-19 00:00:00,7.06,7.06,7.04,7.06
2023-11-19 04:00:00,7.08,7.08,6.94,6.94
2023-11-19 08:00:00,6.97,7.05,6.97,7.05
2023-11-19 12:00:00,7.05,7.08,7.03,7.03
2023-11-19 16:00:00,6.99,7.03,6.99,7.01
2023-11-19 20:00:00,7.05,7.14,7.03,7.14
2023-11-20 00:00:00,7.18,7.18,7.11,7.11
2023-11-20 04:00:00,7.22,7.24,7.21,7.21
2023-11-20 08:00:00,7.17,7.23,7.17,7.23
2023-11-20 12:00:00,7.3,7.48,7.3,7.43
2023-11-20 16:00:00,7.34,7.44,7.34,7.44
2023-11-20 20:00:00,7.44,7.44,7.28,7.36
2023-11-21 00:00:00,7.33,7.33,7.25,7.26
2023-11-21 04:00:00,7.2,7.4,7.19,7.19
2023-11-21 08:00:00,7.28,7.4,7.27,7.4
2023-11-21 12:00:00,7.28,7.39,7.28,7.39
2023-11-21 16:00:00,7.29,7.31,7.13,7.13
2023-11-21 20:00:00,7.22,7.22,7.02,7.02
2023-11-22 00:00:00,7.07,7.15,6.92,6.92
2023-11-22 04:00:00,6.87,6.99,6.87,6.99
2023-11-22 08:00:00,7.12,7.18,7.09,7.18
2023-11-22 12:00:00,7.13,7.24,7.13,7.24
2023-11-22 16:00:00,7.16,7.21,7.13,7.13
2023-11-22 20:00:00,7.15,7.35,7.13,7.35
2023-11-23 00:00:00,7.37,7.39,7.35,7.35
2023-11-23 04:00:00,7.32,7.32,7.25,7.32
2023-11-23 08:00:00,7.28,7.29,7.27,7.27
2023-11-23 12:00:00,7.28,7.41,7.28,7.31
2023-11-23 16:00:00,7.31,7.31,7.21,7.22
2023-11-23 20:00:00,7.16,7.29,7.16,7.25
2023-11-24 00:00:00,7.23,7.26,7.22,7.26
2023-11-24 04:00:00,7.22,7.32,7.22,7.32
2023-11-24 08:00:00,7.3,7.3,7.28,7.28
2023-11-24 12:00:00,7.32,7.37,7.32,7.35
2023-11-24 16:00:00,7.35,7.38,7.33,7.33
2023-11-24 20:00:00,7.38,7.38,7.29,7.29
2023-11-25 00:00:00,7.35,7.42,7.35,7.42
2023-11-25 04:00:00,7.45,7.57,7.45,7.57
2023-11-25 08:00:00,7.52,7.52,7.43,7.43
2023-11-25 12:00:00,7.47,7.47,7.35,7.35
2023-11-25 16:00:00,7.34,7.38,7.34,7.38
2023-11-25 20:00:00,7.38,7.38,7.36,7.36
2023-11-26 00:00:00,7.38,7.39,7.35,7.37
2023-11-26 04:00:00,7.4,7.4,7.33,7.37
2023-11-26 08:00:00,7.34,7.42,7.34,7.42
2023-11-26 12:00:00,7.39,7.4,7.33,7.33
2023-11-26 16:00:00,7.33,7.36,7.31,7.31
2023-11-26 20:00:00,7.23,7.23,7.14,7.16
2023-11-27 00:00:00,7.2,7.31,7.2,7.31
2023-11-27 04:00:00,7.28,7.34,7.2,7.2
2023-11-27 08:00:00,7.17,7.19,7.13,7.13
2023-11-27 12:00:00,7.11,7.11,7.03,7.03
2023-11-27 16:00:00,7.03,7.03,6.9,6.9
2023-11-27 20:00:00,6.89,6.95,6.89,6.91
2023-11-28 00:00:00,6.87,6.91,6.85,6.91
2023-11-28 04:00:00,6.96,6.97,6.9,6.9
2023-11-28 08:00:00,6.88,6.88,6.76,6.79
2023-11-28 12:00:00,6.8,6.84,6.78,6.84
2023-11-28 16:00:00,6.89,6.93,6.88,6.92
2023-11-28 20:00:00,6.93,7.05,6.93,7.03
2023-11-29 00:00:00,7.06,7.07,7.01,7.01
2023-11-29 04:00:00,7.03,7.05,7.02,7.02
2023-11-29 08:00:00,7.03,7.05,7.03,7.05
2023-11-29 12:00:00,7.06,7.14,7.02,7.02
2023-11-29 16:00:00,7.03,7.03,6.94,6.94
2023-11-29 20:00:00,6.94,7.01,6.9,7.01
2023-11-30 00:00:00,6.97,7.03,6.97,7.03
2023-11-30 04:00:00,7.02,7.03,6.99,7.02
2023-11-30 08:00:00,7.04,7.04,7.02,7.02
2023-11-30 12:00:00,7.01,7.01,6.95,6.98
2023-11-30 16:00:00,7.08,7.08,7.0,7.0
2023-11-30 20:00:00,7.02,7.02,6.95,6.95
2023-12-01 00:00:00,6.95,6.97,6.95,6.97
2023-12-01 04:00:00,6.98,7.06,6.94,7.04
2023-12-01 08:00:00,7.05,7.05,7.03,7.05
2023-12-01 12:00:00,7.05,7.08,7.05,7.06
2023-12-01 16:00:00,7.05,7.05,7.0,7.0
2023-12-01 20:00:00,7.01,7.08,7.01,7.05
2023-12-02 00:00:00,7.07,7.07,7.04,7.04
2023-12-02 04:00:00,7.06,7.09,7.06,7.09
2023-12-02 08:00:00,7.11,7.14,7.11,7.14
2023-12-02 12:00:00,7.2,7.25,7.2,7.25
2023-12-02 16:00:00,7.22,7.33,7.22,7.28
2023-12-02 20:00:00,7.29,7.34,7.29,7.34
2023-12-03 00:00:00,7.36,7.4,7.31,7.31
2023-12-03 04:00:00,7.33,7.47,7.33,7.46
2023-12-03 08:00:00,7.43,7.43,7.35,7.35
2023-12-03 12:00:00,7.36,7.36,7.32,7.36
2023-12-03 16:00:00,7.34,7.34,7.25,7.25
2023-12-03 20:00:00,7.29,7.29,7.25,7.27
2023-12-04 00:00:00,7.27,7.36,7.27,7.36
2023-12-04 04:00:00,7.3,7.45,7.3,7.45
2023-12-04 08:00:00,7.42,7.52,7.42,7.52
2023-12-04 12:00:00,7.57,7.61,7.52,7.52
2023-12-04 16:00:00,7.21,7.38,7.21,7.28
2023-12-04 20:00:00,7.22,7.45,7.22,7.41
2023-12-05 00:00:00,7.45,7.49,7.45,7.48
2023-12-05 04:00:00,7.77,7.77,7.56,7.56
2023-12-05 08:00:00,7.67,7.67,7.55,7.55
2023-12-05 12:00:00,7.47,7.49,7.41,7.41
2023-12-05 16:00:00,7.4,7.41,7.36,7.38
2023-12-05 20:00:00,7.44,7.67,7.44,7.67
2023-12-06 00:00:00,7.71,7.71,7.63,7.63
2023-12-06 04:00:00,7.7,7.85,7.69,7.69
2023-12-06 08:00:00,7.6,7.63,7.53,7.53
2023-12-06 12:00:00,7.56,7.68,7.56,7.59
2023-12-06 16:00:00,7.56,7.64,7.49,7.49
2023-12-06 20:00:00,7.53,7.59,7.51,7.59
2023-12-07 00:00:00,7.6,7.6,7.39,7.39
2023-12-07 04:00:00,7.39,7.46,7.39,7.42
2023-12-07 08:00:00,7.41,7.63,7.41,7.58
2023-12-07 12:00:00,7.6,7.6,7.52,7.52
2023-12-07 16:00:00,7.59,7.65,7.58,7.65
2023-12-07 20:00:00,7.73,8.03,7.73,8.0
2023-12-08 00:00:00,7.84,7.99,7.84,7.93
2023-12-08 04:00:00,7.94,7.95,7.89,7.89
2023-12-08 08:00:00,8.02,8.26,8.02,8.26
2023-12-08 12:00:00,8.17,8.45,8.17,8.45
2023-12-08 16:00:00,8.48,8.48,8.4,8.4
2023-12-08 20:00:00,8.41,8.55,8.41,8.5
2023-12-09 00:00:00,8.46,8.49,8.39,8.39
2023-12-09 04:00:00,8.49,8.67,8.49,8.54
2023-12-09 08:00:00,8.62,8.66,8.55,8.6
2023-12-09 12:00:00,8.65,8.7,8.59,8.7
2023-12-09 16:00:00,8.64,8.7,8.56,8.56
2023-12-09 20:00:00,8.58,8.58,8.42,8.42
2023-12-10 00:00:00,8.46,8.46,8.38,8.38
2023-12-10 04:00:00,8.24,8.36,8.24,8.32
2023-12-10 08:00:00,8.32,8.33,8.28,8.28
2023-12-10 12:00:00,8.24,8.24,8.07,8.07
2023-12-10 16:00:00,8.14,8.15,8.13,8.14
2023-12-10 20:00:00,8.18,8.33,8.16,8.33
2023-12-11 00:00:00,8.38,8.43,8.38,8.4
2023-12-11 04:00:00,8.41,8.41,7.83,7.83
2023-12-11 08:00:00,7.91,7.91,7.78,7.78
2023-12-11 12:00:00,7.75,7.86,7.75,7.86
2023-12-11 16:00:00,7.89,7.89,7.73,7.73
2023-12-11 20:00:00,7.75,7.78,7.59,7.59
2023-12-12 00:00:00,7.65,7.78,7.65,7.78
2023-12-12 04:00:00,7.79,8.02,7.79,8.02
2023-12-12 08:00:00,7.99,8.02,7.92,8.02
2023-12-12 12:00:00,8.36,8.36,8.11,8.11
2023-12-12 16:00:00,8.06,8.64,8.06,8.64
2023-12-12 20:00:00,8.95,8.95,8.72,8.87
2023-12-13 00:00:00,8.81,9.01,8.81,9.01
2023-12-13 04:00:00,9.14,9.14,8.62,8.62
2023-12-13 08:00:00,8.72,8.72,8.28,8.28
2023-12-13 12:00:00,8.36,8.36,8.24,8.24
2023-12-13 16:00:00,8.19,8.4,8.19,8.32
2023-12-13 20:00:00,8.37,8.37,8.24,8.34
2023-12-14 00:00:00,8.52,8.6,8.52,8.6
2023-12-14 04:00:00,8.58,8.61,8.53,8.53
2023-12-14 08:00:00,8.47,8.47,8.34,8.42
2023-12-14 12:00:00,8.43,8.52,8.38,8.52
2023-12-14 16:00:00,8.55,8.55,8.19,8.19
2023-12-14 20:00:00,8.27,8.41,8.27,8.34
2023-12-15 00:00:00,8.36,8.46,8.3,8.46
2023-12-15 04:00:00,8.42,8.42,8.32,8.32
2023-12-15 08:00:00,8.33,8.33,8.19,8.19
2023-12-15 12:00:00,8.17,8.22,8.17,8.22
2023-12-15 16:00:00,8.21,8.28,8.15,8.28
2023-12-15 20:00:00,8.36,8.36,8.18,8.28
2023-12-16 00:00:00,8.27,8.3,8.27,8.28
2023-12-16 04:00:00,8.18,8.34,8.18,8.34
2023-12-16 08:00:00,8.36,8.45,8.36,8.38
2023-12-16 12:00:00,8.27,8.27,8.25,8.25
2023-12-16 16:00:00,8.32,8.39,8.32,8.34
2023-12-16 20:00:00,8.42,8.46,8.4,8.4
2023-12-17 00:00:00,8.3,8.33,8.24,8.25
2023-12-17 04:00:00,8.18,8.27,8.18,8.19
2023-12-17 08:00:00,8.17,8.21,8.08,8.08
2023-12-17 12:00:00,8.08,8.19,8.08,8.19
2023-12-17 16:00:00,8.17,8.17,8.07,8.07
2023-12-17 20:00:00,8.14,8.24,8.14,8.24
2023-12-18 00:00:00,8.31,8.31,8.13,8.13
2023-12-18 04:00:00,8.06,8.06,8.06,8.06
