date,open,high,low,close
2023-11-18 04:00:00,1.026,1.027,1.026,1.027
2023-11-18 08:00:00,1.017,1.021,1.0,1.0
2023-11-18 12:00:00,1.009,1.026,1.009,1.026
2023-11-18 16:00:00,1.021,1.024,1.018,1.023
2023-11-18 20:00:00,1.037,1.042,1.037,1.042
2023-11-19 00:00:00,1.04,1.04,1.029,1.029
2023-11-19 04:00:00,1.031,1.031,1.017,1.018
2023-11-19 08:00:00,1.019,1.033,1.019,1.033
2023-11-19 12:00:00,1.034,1.034,1.027,1.027
2023-11-19 16:00:00,1.02,1.024,1.02,1.022
2023-11-19 20:00:00,1.028,1.038,1.022,1.038
2023-11-20 00:00:00,1.045,1.045,1.027,1.027
2023-11-20 04:00:00,1.048,1.05,1.048,1.05
2023-11-20 08:00:00,1.043,1.049,1.043,1.046
2023-11-20 12:00:00,1.06,1.07,1.059,1.07
2023-11-20 16:00:00,1.056,1.06,1.05,1.06
2023-11-20 20:00:00,1.064,1.065,1.04,1.054
2023-11-21 00:00:00,1.05,1.05,1.034,1.034
2023-11-21 04:00:00,1.027,1.048,1.022,1.022
2023-11-21 08:00:00,1.026,1.026,1.02,1.026
2023-11-21 12:00:00,1.016,1.03,1.016,1.03
2023-11-21 16:00:00,1.019,1.021,1.008,1.008
2023-11-21 20:00:00,1.019,1.023,0.984477,0.984477
2023-11-22 00:00:00,0.998081,1.005,0.9743,0.9743
2023-11-22 04:00:00,0.960252,0.982144,0.960252,0.982144
2023-11-22 08:00:00,0.988535,0.993448,0.986577,0.993448
2023-11-22 12:00:00,0.987939,1.008,0.987939,1.008
2023-11-22 16:00:00,1.003,1.01,0.998017,0.998017
2023-11-22 20:00:00,0.997868,1.016,0.996081,1.016
2023-11-23 00:00:00,1.023,1.032,1.02,1.02
2023-11-23 04:00:00,1.019,1.026,1.015,1.024
2023-11-23 08:00:00,1.023,1.028,1.023,1.026
2023-11-23 12:00:00,1.032,1.045,1.032,1.034
2023-11-23 16:00:00,1.025,1.025,1.017,1.021
2023-11-23 20:00:00,1.008,1.019,1.008,1.019
2023-11-24 00:00:00,1.018,1.021,1.017,1.021
2023-11-24 04:00:00,1.017,1.029,1.017,1.029
2023-11-24 08:00:00,1.024,1.033,1.024,1.033
2023-11-24 12:00:00,1.04,1.054,1.04,1.047
2023-11-24 16:00:00,1.045,1.054,1.045,1.054
2023-11-24 20:00:00,1.069,1.069,1.056,1.056
2023-11-25 00:00:00,1.055,1.055,1.048,1.048
2023-11-25 04:00:00,1.049,1.067,1.049,1.067
2023-11-25 08:00:00,1.078,1.078,1.069,1.07
2023-11-25 12:00:00,1.076,1.076,1.058,1.058
2023-11-25 16:00:00,1.052,1.061,1.052,1.057
2023-11-25 20:00:00,1.06,1.064,1.06,1.064
2023-11-26 00:00:00,1.061,1.063,1.059,1.062
2023-11-26 04:00:00,1.067,1.07,1.059,1.063
2023-11-26 08:00:00,1.063,1.07,1.063,1.067
2023-11-26 12:00:00,1.065,1.067,1.055,1.055
2023-11-26 16:00:00,1.052,1.052,1.039,1.039
2023-11-26 20:00:00,1.034,1.034,1.02,1.024
2023-11-27 00:00:00,1.026,1.043,1.026,1.043
2023-11-27 04:00:00,1.037,1.04,1.024,1.024
2023-11-27 08:00:00,1.02,1.024,1.016,1.016
2023-11-27 12:00:00,1.01,1.012,1.001,1.001
2023-11-27 16:00:00,1.006,1.006,0.997259,0.997259
2023-11-27 20:00:00,0.99819,1.008,0.99819,1.008
2023-11-28 00:00:00,0.998369,1.008,0.996059,1.008
2023-11-28 04:00:00,1.017,1.018,1.012,1.013
2023-11-28 08:00:00,1.01,1.01,0.989317,0.994098
2023-11-28 12:00:00,0.997086,1.002,0.992489,1.002
2023-11-28 16:00:00,1.011,1.011,1.008,1.01
2023-11-28 20:00:00,1.011,1.029,1.011,1.021
2023-11-29 00:00:00,1.025,1.025,1.016,1.016
2023-11-29 04:00:00,1.017,1.02,1.017,1.017
2023-11-29 08:00:00,1.017,1.025,1.017,1.025
2023-11-29 12:00:00,1.022,1.027,1.008,1.008
2023-11-29 16:00:00,1.017,1.017,1.003,1.003
2023-11-29 20:00:00,1.003,1.006,1.001,1.006
2023-11-30 00:00:00,1.007,1.008,1.002,1.008
2023-11-30 04:00:00,1.006,1.01,1.002,1.009
2023-11-30 08:00:00,1.014,1.014,1.009,1.009
2023-11-30 12:00:00,1.007,1.007,1.002,1.006
2023-11-30 16:00:00,1.011,1.011,1.002,1.002
2023-11-30 20:00:00,1.003,1.007,1.003,1.007
2023-12-01 00:00:00,1.01,1.01,1.007,1.007
2023-12-01 04:00:00,1.006,1.025,1.003,1.025
2023-12-01 08:00:00,1.025,1.029,1.025,1.027
2023-12-01 12:00:00,1.03,1.044,1.03,1.036
2023-12-01 16:00:00,1.036,1.036,1.028,1.028
2023-12-01 20:00:00,1.031,1.035,1.031,1.034
2023-12-02 00:00:00,1.037,1.041,1.032,1.032
2023-12-02 04:00:00,1.033,1.037,1.033,1.034
2023-12-02 08:00:00,1.04,1.046,1.04,1.046
2023-12-02 12:00:00,1.044,1.055,1.044,1.054
2023-12-02 16:00:00,1.064,1.081,1.064,1.081
2023-12-02 20:00:00,1.082,1.11,1.08,1.11
2023-12-03 00:00:00,1.11,1.12,1.1,1.1
2023-12-03 04:00:00,1.11,1.11,1.11,1.11
2023-12-03 08:00:00,1.1,1.1,1.095,1.095
2023-12-03 12:00:00,1.1,1.11,1.1,1.11
2023-12-03 16:00:00,1.1,1.1,1.084,1.084
2023-12-03 20:00:00,1.089,1.094,1.089,1.091
2023-12-04 00:00:00,1.091,1.11,1.089,1.11
2023-12-04 04:00:00,1.098,1.12,1.098,1.11
2023-12-04 08:00:00,1.11,1.12,1.11,1.12
2023-12-04 12:00:00,1.12,1.15,1.12,1.13
2023-12-04 16:00:00,1.076,1.1,1.076,1.078
2023-12-04 20:00:00,1.07,1.079,1.07,1.07
2023-12-05 00:00:00,1.077,1.08,1.073,1.073
2023-12-05 04:00:00,1.091,1.11,1.074,1.074
2023-12-05 08:00:00,1.079,1.084,1.078,1.081
2023-12-05 12:00:00,1.063,1.072,1.063,1.063
2023-12-05 16:00:00,1.064,1.064,1.055,1.063
2023-12-05 20:00:00,1.073,1.09,1.072,1.088
2023-12-06 00:00:00,1.084,1.087,1.079,1.083
2023-12-06 04:00:00,1.092,1.1,1.091,1.091
2023-12-06 08:00:00,1.081,1.085,1.069,1.069
2023-12-06 12:00:00,1.076,1.084,1.076,1.079
2023-12-06 16:00:00,1.067,1.076,1.067,1.068
2023-12-06 20:00:00,1.069,1.079,1.069,1.079
2023-12-07 00:00:00,1.08,1.08,1.064,1.064
2023-12-07 04:00:00,1.059,1.068,1.059,1.068
2023-12-07 08:00:00,1.069,1.09,1.069,1.08
2023-12-07 12:00:00,1.079,1.079,1.051,1.051
2023-12-07 16:00:00,1.049,1.068,1.049,1.065
2023-12-07 20:00:00,1.13,1.19,1.13,1.17
2023-12-08 00:00:00,1.15,1.16,1.15,1.15
2023-12-08 04:00:00,1.17,1.19,1.17,1.19
2023-12-08 08:00:00,1.18,1.19,1.17,1.19
2023-12-08 12:00:00,1.16,1.16,1.15,1.16
2023-12-08 16:00:00,1.17,1.17,1.15,1.17
2023-12-08 20:00:00,1.16,1.16,1.16,1.16
2023-12-09 00:00:00,1.16,1.17,1.16,1.17
2023-12-09 04:00:00,1.17,1.18,1.16,1.16
2023-12-09 08:00:00,1.17,1.22,1.17,1.22
2023-12-09 12:00:00,1.22,1.22,1.19,1.19
2023-12-09 16:00:00,1.19,1.19,1.17,1.17
2023-12-09 20:00:00,1.19,1.19,1.16,1.17
2023-12-10 00:00:00,1.17,1.17,1.16,1.16
2023-12-10 04:00:00,1.14,1.15,1.14,1.15
2023-12-10 08:00:00,1.15,1.16,1.15,1.15
2023-12-10 12:00:00,1.15,1.15,1.13,1.13
2023-12-10 16:00:00,1.13,1.15,1.13,1.15
2023-12-10 20:00:00,1.15,1.15,1.14,1.15
2023-12-11 00:00:00,1.15,1.16,1.15,1.16
2023-12-11 04:00:00,1.16,1.16,1.074,1.074
2023-12-11 08:00:00,1.081,1.081,1.072,1.072
2023-12-11 12:00:00,1.07,1.096,1.07,1.096
2023-12-11 16:00:00,1.11,1.11,1.094,1.097
2023-12-11 20:00:00,1.1,1.1,1.075,1.075
2023-12-12 00:00:00,1.077,1.095,1.077,1.095
2023-12-12 04:00:00,1.097,1.14,1.097,1.14
2023-12-12 08:00:00,1.15,1.15,1.14,1.15
2023-12-12 12:00:00,1.16,1.17,1.16,1.17
2023-12-12 16:00:00,1.15,1.17,1.15,1.16
2023-12-12 20:00:00,1.15,1.15,1.11,1.13
2023-12-13 00:00:00,1.13,1.2,1.13,1.2
2023-12-13 04:00:00,1.25,1.25,1.17,1.17
2023-12-13 08:00:00,1.14,1.14,1.13,1.13
2023-12-13 12:00:00,1.13,1.14,1.13,1.13
2023-12-13 16:00:00,1.12,1.15,1.12,1.14
2023-12-13 20:00:00,1.16,1.16,1.14,1.15
2023-12-14 00:00:00,1.19,1.19,1.18,1.18
2023-12-14 04:00:00,1.18,1.18,1.17,1.17
2023-12-14 08:00:00,1.15,1.17,1.15,1.17
2023-12-14 12:00:00,1.17,1.19,1.17,1.19
2023-12-14 16:00:00,1.2,1.2,1.16,1.17
2023-12-14 20:00:00,1.17,1.18,1.17,1.17
2023-12-15 00:00:00,1.17,1.18,1.16,1.18
2023-12-15 04:00:00,1.18,1.18,1.16,1.16
2023-12-15 08:00:00,1.16,1.16,1.14,1.14
2023-12-15 12:00:00,1.14,1.15,1.14,1.15
2023-12-15 16:00:00,1.15,1.15,1.12,1.12
2023-12-15 20:00:00,1.13,1.13,1.12,1.13
2023-12-16 00:00:00,1.13,1.13,1.12,1.12
2023-12-16 04:00:00,1.098,1.12,1.097,1.12
2023-12-16 08:00:00,1.12,1.12,1.11,1.11
2023-12-16 12:00:00,1.11,1.11,1.11,1.11
2023-12-16 16:00:00,1.12,1.13,1.12,1.13
2023-12-16 20:00:00,1.13,1.15,1.13,1.14
2023-12-17 00:00:00,1.13,1.13,1.12,1.12
2023-12-17 04:00:00,1.12,1.13,1.11,1.11
2023-12-17 08:00:00,1.11,1.12,1.099,1.099
2023-12-17 12:00:00,1.098,1.11,1.098,1.11
2023-12-17 16:00:00,1.11,1.11,1.096,1.096
2023-12-17 20:00:00,1.11,1.12,1.11,1.12
2023-12-18 00:00:00,1.13,1.13,1.12,1.12
2023-12-18 04:00:00,1.11,1.11,1.11,1.11
