Txn Hash,Blockno,UnixTimestamp,DateTime (UTC),Action,Amount (Out),Token (Out),Amount (In),Token (In),Swapped Rate,Swapped Pair,DEX
0x5b86b94683d6c09c2d38f1461dd48385508da33f0f39bf7387192f646d115ff3,18687851,1701388811,2023-12-01 00:00:11,Sell,680.471241854281, PLSB, 118.197996, USDC,0.17370021,USDC per PLSB,Uniswap V3
0x5b86b94683d6c09c2d38f1461dd48385508da33f0f39bf7387192f646d115ff3,18687851,1701388811,2023-12-01 00:00:11,Buy,7.26516075570659, ETH, 1269995.76771702, μAZUKI,0.00000572,ETH per μAZUKI,Uniswap V3
0x8a386f2d9c5b84f91b63a7068294789e14a8c59636436de08cd013232800fcff,18687851,1701388811,2023-12-01 00:00:11,Buy,17.245203206089, ETH, 3000000, μAZUKI,0.00000575,ETH per μAZUKI,Uniswap V3
0xc8ad320d6d5f4da1d87382dd5ea6d233967fa9b77b4c4cc1d00bbc24cf1d7b7b,18687851,1701388811,2023-12-01 00:00:11,Buy,1.2592989, ETH, 305.3747456798, ENS,0.00412378,ETH per ENS,Uniswap V3
0xc8ad320d6d5f4da1d87382dd5ea6d233967fa9b77b4c4cc1d00bbc24cf1d7b7b,18687851,1701388811,2023-12-01 00:00:11,Swap,305.3747456798, ENS, 609640.355429366, RNG,0.00050091,ENS per RNG,Uniswap V3
0xc8ad320d6d5f4da1d87382dd5ea6d233967fa9b77b4c4cc1d00bbc24cf1d7b7b,18687851,1701388811,2023-12-01 00:00:11,Swap,609640.355429366, RNG, 106188.00170083, T,0.17418139,T per RNG,Uniswap V3
0x28af10c3db91b6f3097fcc8b539137a5dac67f5b5bbcc0235dec1e522807ce33,18687851,1701388811,2023-12-01 00:00:11,Buy,2187.6825043142, DAI, 88518.3577624408, T,0.02471445,DAI per T,Uniswap V3
0x3424c2d8af0ae15ac6832e5df876f6290d9653e4b255bf8ab3074def8deaea3b,18687851,1701388811,2023-12-01 00:00:11,Sell,89807.5808366901, STMX, 0.335890992245151, ETH,0.00000374,ETH per STMX,Uniswap V3
0x3424c2d8af0ae15ac6832e5df876f6290d9653e4b255bf8ab3074def8deaea3b,18687851,1701388811,2023-12-01 00:00:11,Buy,0.335890992245151, ETH, 678.685632315184, ARB,0.00049491,ETH per ARB,Uniswap V3
0x1cb508742a0c0ae0996e8b123d54e818d93e7f0c259dbcff76255846af1500e6,18687851,1701388811,2023-12-01 00:00:11,Buy,0.889810308486337, ETH, 234852.272216236, STMX,0.00000379,ETH per STMX,Uniswap V3
0x401eca07a83c7e56afe6b2f3f9a7e1aa3ea04f98d7da45be03cf1f54ef0b599f,18687851,1701388811,2023-12-01 00:00:11,Buy,0.338384889490631, ETH, 27981.3644447952, T,0.00001209,ETH per T,Uniswap V3
0x4565967b953fd3f33e3b12d46df7456665c223ce11c590ff1a0538bb66299484,18687851,1701388811,2023-12-01 00:00:11,Sell,61638.0075473716, GROKX, 0.25, ETH,0.00000406,ETH per GROKX,Uniswap V3
0x512a558021cc5e1ed1fd8778e134f696afb6a3756020c3197fd3f434d554d960,18687851,1701388811,2023-12-01 00:00:11,Buy,0.12, ETH, 10552084.1576319, GFY,0.00000001,ETH per GFY,Uniswap V3
0xd9122283da01bc6687ef5224d44443daf9887ae6e7c39c3bc7926a2c1d136df7,18687851,1701388811,2023-12-01 00:00:11,Buy,0.305673070515892, ETH, 73564.8124425338, GROKX,0.00000416,ETH per GROKX,Uniswap V3
0x06ccde000c43551d332f57f4e9a1dfcb6682a2a707105988d38b085ea74ac137,18687851,1701388811,2023-12-01 00:00:11,Sell,2.1563645295066, ETH, 4423.981839, USDT,2,051.59275181,USDT per ETH
0x0f8162f54996373144c73e0b97c1881fa329a514c852cc0f3078e1a551030318,18687851,1701388811,2023-12-01 00:00:11,Sell,13200, NEXT, 0.97782838407678, ETH,0.00007408,ETH per NEXT,Uniswap V3
0x0f8162f54996373144c73e0b97c1881fa329a514c852cc0f3078e1a551030318,18687851,1701388811,2023-12-01 00:00:11,Sell,0.97782838407678, ETH, 2006.047757, USDT,2,051.53357140,USDT per ETH
0x4366a69bd24a416427370f6aa219d9a8ee186c42a1c4573b6927fb0038d26f48,18687852,1701388823,2023-12-01 00:00:23,Sell,77991.8266314988, DYDX, 119.677445362926, ETH,0.00153449,ETH per DYDX,Uniswap V3
0x4366a69bd24a416427370f6aa219d9a8ee186c42a1c4573b6927fb0038d26f48,18687852,1701388823,2023-12-01 00:00:23,Sell,119.677445362926, ETH, 245429.79728, USDC,2,050.76066368,USDC per ETH
0x4366a69bd24a416427370f6aa219d9a8ee186c42a1c4573b6927fb0038d26f48,18687852,1701388823,2023-12-01 00:00:23,Sell,1999.79042644869, DYDX, 3.05972184584615, ETH,0.00153002,ETH per DYDX,Uniswap V3
0x4366a69bd24a416427370f6aa219d9a8ee186c42a1c4573b6927fb0038d26f48,18687852,1701388823,2023-12-01 00:00:23,Sell,3.05972184584615, ETH, 6247.088628, USDC,2,041.71782363,USDC per ETH
0x45c8a860982b3579908681e61b3c95b0d90a9d3cf59f17d56053b4752425aed8,18687852,1701388823,2023-12-01 00:00:23,Buy,46.3200659462174, ETH, 30482.4263150517, DYDX,0.00151957,ETH per DYDX,Uniswap V3
0x82d13b73ecfa8f0c89c58921054906b8be6c15b726d5c071a23258623fe13f7b,18687852,1701388823,2023-12-01 00:00:23,Sell,8.5, wTAO, 1.19454017128929, ETH,0.14053414,ETH per wTAO,Uniswap V3
0x3b40acba1e66fd84b5dff6d9e48b566535a489630fdadbef758d9199e87af005,18687852,1701388823,2023-12-01 00:00:23,Buy,1.69208902151936, ETH, 0.0907666065189084, tBTC,18.64219768,ETH per tBTC,Uniswap V3
0x527051b2ada9dbae3de7ddbef95d1d9686e4d26bc5f5df1e63031edb06e2ad16,18687852,1701388823,2023-12-01 00:00:23,Buy,142.52568, USDC, 0.06062194448153, wstETH,2,351.05754556,USDC per wstETH
0x822d12a548bedd0845a574510c9df7e4d66c3e9da9546c9db3eeaa2a125a551f,18687852,1701388823,2023-12-01 00:00:23,Buy,0.954006282398299, ETH, 454913.219423381, RNG,0.00000210,ETH per RNG,Uniswap V3
